genename	species	cancername	sample	method
RP11-838N2.4	Homo sapiens (human)	lung cancer	human NSCLC cell lines,HCC827 and HCC4006	RT-qPCR,Microarray,FISH,ChIP,Western blot,etc.
PART1	Homo sapiens (human)	esophageal cancer	human ESCC cell lines TE1,TE6,TE8,TTn,and KYSE-450	RT-qPCR,FISH,RIP,Western blot,etc.
PTENP1	Homo sapiens (human)	bladder cancer	Two bladder cancer cell lines (EJ and J82) and one normal human cell line (HEK 293A)	Western blot,etc.
APC1	Homo sapiens (human)	colorectal cancer	colorectal cell lines HCT116,DLD-1,SW480,LOVO,and SW1116.110 primary CRC tissue samples (including 30 adjacent healthy tissues)	Microarray,Northern blot,FISH,ChIP,RIP,etc.
H19	Homo sapiens (human)	lung cancer	human NSCLC cell lines HCC827 and HCC4006	RT-qPCR,RIP,Western blot,etc.
lncRUNX2-AS1	Homo sapiens (human)	Malignant Melanoma	human myeloma cell lines (U266and MM1S)	etc.
SNHG14	Homo sapiens (human)	breast cancer	human breast cancer cell lines SKBR-3 and BT474	FISH,Western blot,etc.
H19	Homo sapiens (human)	colorectal cancer	10 paired tumor tissues and adjacent normal tissues	RNA seq,RT-qPCR,Western blot,FISH,etc.
lncARSR	Mus musculus (mouse)	renal cancer	786-O and ACHN cells	RT-qPCR,Western blot,RIP,Luciferase,etc.
HOTAIR	Homo sapiens (human)	liver cancer	HepG2 (an HCC cells line)	RT-qPCR,RIP,etc.
H19	Homo sapiens (human)	pituitary adenoma	GH3 cell line	RT-qPCR,etc.
MALAT1	Homo sapiens (human)	bladder cancer	Training set (208 urine samples) and a validation set (160 urine samples). 	RT-qPCR,etc.
PCAT	Homo sapiens (human)	bladder cancer	Training set (208 urine samples) and a validation set (160 urine samples). 	RT-qPCR,etc.
UCA1	Homo sapiens (human)	bladder cancer	bladder cancer 5637 cells,bladder cancer UMUC2	Western blot,etc.
lncRNA-HEIH	Homo sapiens (human)	liver cancer	Patients with CHC,HCV-induced cirrhosis and92HCV-related hepatocellular carcinoma	RT-qPCR,etc.
H19	Homo sapiens (human)	liver cancer	liver CD90+ cells and hepatoma cell lines	RT-PCR,Western blot,etc.
lncUEGC1	Homo sapiens (human)	gastric cancer	four human primary stomach epithelial cells and four gastric cancer cells (GCCs)	RNA-seq,qPCR,etc.
linc-ROR	Homo sapiens (human)	thyroid cancer	The thyroid papillary carcinoma cell line TPC-1	qPCR,etc.
UCA1	Homo sapiens (human)	colorectal cancer	HCT-116 and Caco-2 cell lines	RT-qPCR,Western blot,etc.
LNCV6_116109	Homo sapiens (human)	colorectal cancer	Exosomes from the plasma of CRC patients (n = 50) and healthy individuals (n = 50) 	Western blot,RT-qPCR,etc.
LNCV6_98390	Homo sapiens (human)	colorectal cancer	Exosomes from the plasma of CRC patients (n = 50) and healthy individuals (n = 50) 	Western blot,RT-qPCR,etc.
LNCV6_38772	Homo sapiens (human)	colorectal cancer	Exosomes from the plasma of CRC patients (n = 50) and healthy individuals (n = 50)	Western blot,RT-qPCR,etc.
LNCV_108266	Homo sapiens (human)	colorectal cancer	Exosomes from the plasma of CRC patients (n = 50) and healthy individuals (n = 50)	Western blot,RT-qPCR,etc.
LNCV6_84003	Homo sapiens (human)	colorectal cancer	Exosomes from the plasma of CRC patients (n = 50) and healthy individuals (n = 50)	Western blot,RT-qPCR,etc.
LNCV6_98602	Homo sapiens (human)	colorectal cancer	Exosomes from the plasma of CRC patients (n = 50) and healthy individuals (n = 50)	Western blot,RT-qPCR,etc.
CCAT2	Homo sapiens (human)	colorectal cancer	A total of 75 resected tumor tissues and adjacent non-cancerous tissues	RT-qPCR,etc.
RPPH1	Homo sapiens (human)	colorectal cancer	The human CRC cell lines HCT8,SW620,HT29,and human embryonic kidney 293T cells	RNA seq,etc.
HOTTIP 	Homo sapiens (human)	gastric cancer	Human GC cell lines (MGC-803 and MKN-45)	Western blot,RT-qPCR,Luciferase,RIP,etc.
lnc-Sox2ot	Homo sapiens (human)	pancreatic cancer	The pancreatic ductal adenocarcinoma (PDAC) cell linesBxPC-3,Capan-1,Hs 766T,normal pancreaticductal epithelial cell line HPDE	Microarray,etc.
LINC00461	Homo sapiens (human)	Malignant Melanoma	plasma cells were collected from 79patients with MM and 31 healthy individuals	Luciferase,RT-qPCR,Western blot,etc.
HOTTIP 	Homo sapiens (human)	gastric cancer	SGC7901 cell line	RT-qPCR,etc.
MALAT1	Homo sapiens (human)	lung cancer	Human lung cancer epithelial cell lines (A549 and H1299)and human bronchial epithelial cell line (HBE)	RT-qPCR,Western blot,etc.
UCA1	Homo sapiens (human)	breast cancer	human breast cancer cell line MCF-7 cells	RT-qPCR,Western blot,etc.
CTD-2116N20.1	Homo sapiens (human)	liver cancer	HCC patient clinical	etc.
AC012074.2	Homo sapiens (human)	liver cancer	HCC patient clinical	etc.
RP11-538D16.2	Homo sapiens (human)	liver cancer	HCC patient clinical	etc.
LINC00501	Homo sapiens (human)	liver cancer	HCC patient clinical	etc.
RP11-136I14.5	Homo sapiens (human)	liver cancer	HCC patient clinical	etc.
UCA1	Homo sapiens (human)	ovarian cancer	The 56 paired ovarian cancer tissues and matched adjacent normal tissues;Human ovarian cancer cell lines (A2780 and SKOV-3) and normal ovarian epithelial cell line (IOSE-80).	RT-qPCR,Luciferase,RIP,Western blot,
ATB	Homo sapiens (human)	liver cancer	6 liver transplantation,24 radiofrequency ablation,9 chemoembolization,17 systemic therapy (sorafenib),and 14 received best supportive care. 	etc.
SPRY4-IT1	Homo sapiens (human)	gastric cancer	The normal gastric mucosa epithelial GES-1 cell line and three different differentiated GC cell lines,MKN28 (well-differentiated adenocarcinoma),SGC7901 (moderately differentiated adenocarcinoma),and BGC823 (poorly differentiated adenocarcinoma).	Western blot,RT-qPCR,Luciferase,RIP,etc.
HOTAIR	Homo sapiens (human)	glioblastoma	15 paired GBM tumor tissue and serum samples	RT-qPCR,Western blot,etc.
H19	Homo sapiens (human)	bladder cancer	52 preoperative serum samples and primary tissue specimens	RT-qPCR,etc.
ZFAS1	Homo sapiens (human)	gastric cancer	The human GC cell lines BGC-823,MGC-803,SGC-7901,MKN-28 and AGS	RT-qPCR,Western blot,etc.
MALAT1	Homo sapiens (human)	ovarian cancer	Two paired EOC cell lines that are metastatic (SKOV3.ip1,HO8910.PM) and their parental (SKOV3,HO8910) sublines.	RT-qPCR,Western blot,etc.
91H	Homo sapiens (human)	colorectal cancer	Cell lines HCT-8,HCT-116 and FHC (normal human intestinal epithelial cell line)	Western blot,RT-PCR,etc.
NONHSAT105177	Homo sapiens (human)	pancreatic cancer	normal human pancreatic cell line HPDE and PDAC cell lines,SW1990,Capan1,PATU8988,HS766T,BXPC3,and Panc1	qPCR,Western blot,FISH,etc.
LncRNA-CAF/interleukin-33	Homo sapiens (human)	oral squamous cell carcinoma	The human OSCC cell line,HSC-3	RT-qPCR,RIP,etc.
UFC1	Homo sapiens (human)	lung cancer	Human NSCLC cell lines (A549 and H1299) and human normal embryonic lung fibroblast (MRC-5)	Western blot,RIP,etc.
