Mixture	BRCA001	BRCA002	BRCA003	BRCA004	BRCA005	BRCA006	BRCA007	BRCA008	BRCA009	BRCA010	BRCA011	BRCA012	BRCA013	BRCA014	BRCA015	BRCA016	BRCA017	BRCA018	BRCA019	BRCA020	BRCA021	BRCA022	BRCA023	BRCA024	BRCA025	BRCA026	BRCA027	BRCA028	BRCA029	BRCA030	BRCA031	BRCA032	BRCA033	BRCA034	BRCA035	BRCA036	BRCA037	BRCA038	BRCA039	BRCA040	BRCA041	BRCA042	BRCA043	BRCA044	BRCA045	BRCA046	BRCA047	BRCA048	BRCA049	BRCA050	BRCA051	BRCA052	BRCA053	BRCA054	BRCA055	BRCA056	BRCA057	BRCA058	BRCA059	BRCA060	BRCA061	BRCA062	BRCA063	BRCA064	BRCA065	BRCA066	BRCA067	BRCA068	BRCA069	BRCA070	BRCA071	BRCA072	BRCA073	BRCA074	BRCA075	BRCA076	BRCA077	BRCA078	BRCA079	BRCA080	BRCA081	BRCA082	BRCA083	BRCA084	BRCA085	BRCA086	BRCA087	BRCA088	BRCA089	BRCA090	BRCA091	BRCA092	BRCA093	BRCA094	BRCA095	BRCA096	BRCA097	BRCA098	BRCA099	BRCA100	BRCA101	BRCA102	BRCA103	BRCA104	BRCA105	BRCA106	BRCA107	BRCA108	BRCA109	BRCA110	BRCA111	BRCA112	BRCA113	BRCA114	BRCA115	BRCA116	BRCA117	BRCA118	BRCA119	BRCA120	BRCA121	BRCA122	BRCA123	BRCA124	BRCA125	BRCA126	BRCA127	BRCA128	BRCA129	BRCA130	BRCA131	BRCA132	BRCA133	BRCA134	BRCA135	BRCA136	BRCA137	BRCA138	BRCA139	BRCA140
B_cells_naive	0.075356997	0	0.071894092	0.005019799	0.002981079	0.046510496	0.00614519	0	0.030025132	0	0	0.050205386	0.185081628	0	0	0	0	0	0.080747241	0	0.102355365	0.096061919	0.037160922	0.084300444	0.073903709	0.075095122	0.078088571	0.015768393	0.077741293	0.05521711	0.039947678	0.045663304	0.068268951	0	0	0.038203285	0.048344859	0.028552391	0.047061451	0.062280163	0.043908077	0.027072987	0.000298808	0.046587887	0.005076981	0.055810482	0.047080165	0.013334198	0.077858467	0.006451513	0.051840092	0.007336147	0.030879436	0	0	0.024295207	0	0.0371393	0.007103162	0	0	0.001746111	0	0	0	0	0	0.072538896	0	0	0.021375838	0.074814772	0.052147234	0.031451453	0.103035075	0.029716553	0	0.076080768	0.059808888	0.040307685	0.009367733	0	0	0.165538103	0.025984642	0.029457621	0	0.035617908	0.121007337	0	0.058337379	0	0.058804628	0	0.013777186	0.057469423	0.084474603	0.006993944	0	0.01461796	0.013682237	0.050361748	0	0.106128109	0.067969059	0.028106919	0	0.053313613	0.035395562	0	0.059906636	0.043069426	0.162407876	0	0.058411527	0.032439361	0	0.013406486	0	0.0664729	0	0	0.068549798	0	0.058990355	0.003448741	0.036159363	0	0.02317856	0.079013462	0.148544714	0.01262098	0	0.085197058	0.04084019	0.090027953	0.00104727	0.028852202	0.055844278	0.091263344
B_cells_memory	0.009681634	0.20201266	0.031341572	0.032822656	0.056152447	0	0.105861229	0.206800504	0.034674088	0.175624539	0.22087687	0.113957029	0	0.066429405	0.131063139	0.185980108	0.215371868	0.239590719	0	0.111628448	0.011311772	0.071524713	0.148210022	0.090983157	0.019613039	0.037908573	0.03095555	0.168513869	0.024828639	0.063756044	0.098470728	0.126305	0.121510243	0.148294083	0.116510448	0.239022702	0.086874851	0.04276665	0.073882068	0	0	0	0.150323536	0.03749045	0.134057536	0.094813943	0.067723048	0.055259529	0.00158493	0.187712693	0.069194737	0.147589148	0.077180548	0.127133294	0.081085487	0.182952434	0.17498813	0.105990599	0.08874824	0.181526421	0.137233725	0.313321531	0.096684092	0.22131707	0.185403899	0.094666371	0.069004694	0.152653824	0.123060804	0.040208001	0.18961698	0.12665568	0.101211525	0.079039412	0.050558367	0.092359216	0.128040805	0.044082029	0.080040034	0.191662044	0.158949828	0.188859807	0.134653617	0.008052524	0.073486722	0.086234493	0.226060051	0.124205101	0	0.137490426	0.153082623	0.225896204	0.050828234	0.250070373	0.215664262	0.069828513	0.073469945	0.16035445	0.061721641	0.068652076	0.163449785	0.034513068	0.094970831	0.048244588	0.171175201	0.070472734	0.202611567	0.07123592	0.078274794	0.166398263	0.115827062	0.098005142	0.1340898	0.19307786	0.082595221	0.055960106	0.204443077	0.114844466	0.184154904	0.058785443	0.166473066	0.123854583	0.065899525	0.180661154	0.056546593	0.080782972	0.204771223	0.148854371	0.264302427	0.027769758	0.009756421	0.18514928	0.189922419	0.071638484	0.084771375	0.040225941	0.169556746	0.05716918	0.200393659	0.214658346
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.231201626	0.092056746	0.008781752	0.278892372	0.15796334	0.171210018	0.111466252	0.001899913	0.144480336	0.076571796	0.059098778	0.185076377	0.205195318	0.094963202	0.076928962	0.109627252	0.040979908	0.004117219	0.252430342	0.050346707	0.167360474	0.157915932	0.071760951	0.041631493	0.324283591	0.233311164	0.147246749	0.211707814	0.237255517	0.332083865	0.138659998	0.294314418	0.153273315	0.189740451	0.11654108	0.180542622	0.123297516	0.11431823	0.262159776	0.218285489	0.281658239	0.177698682	0.160948872	0.232688126	0.240717289	0.067878669	0.092981472	0.119346328	0.18508941	0.061549621	0.10350362	0.084647128	0.102805315	0.096319798	0.162178722	0.048568807	0.095980064	0.150502687	0.242705106	0.076257116	0.017661172	0.022899424	0.123966338	0.060910687	0.142059574	0.172739325	0.0882214	0.035138905	0.092614272	0.168395033	0.06693279	0.039771285	0.154044362	0.198856431	0.046682808	0.078597166	0.094474472	0.122854727	0.222384048	0.072753767	0.009663419	0.064047313	0.075301147	0.038489228	0.033953882	0.140371852	0.072439531	0.111922984	0.003894742	0.175538136	0.057184354	0.137820848	0.048630017	0.036306144	0.213040193	0.071178968	0.082245323	0.141983862	0.315206363	0.231643382	0.195098826	0.122755042	0.187776627	0	0.025043582	0.174120972	0.03338706	0.154750593	0.099077211	0.156886771	0.059588308	0.203745347	0.041081138	0.026931667	0.176848006	0.068461176	0.05018291	0.044013005	0.109457913	0.185782542	0.217299747	0.057619721	0.131969604	0.106989713	0.184548177	0.144540386	0.031493647	0.253078854	0.046659421	0.198285333	0.01372212	0.031686451	0.100191342	0.162796587	0.140700608	0.151348623	0.081525914	0.085644408	0.061155765	0.056870768
T_cells_CD4_naive	0	0	0.015776196	0	0	0	0.034974404	0	0	0	0	0	0.080371383	0	0	0	0	0	0	0	0	0	0	0.097571495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020713695	0.006993064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041907607	0	0	0.048775246	0.023269071	0	0	0	0	0	0	0	0	0	0.029168173	0	0	0	0	0	0	0	0	0	0	0	0.004707702	0	0	0	0.005105901	0.01728538	0	0.039558699	0	0	0	0	0	0	0	0	0	0	0.006073291	0	0	0	0	0	0	0.022148002	0
T_cells_CD4_memory_resting	0.077201656	0.177886558	0.164687263	0.146688719	0.127741331	0.1740226	0.185567361	0.427778022	0.213330969	0.214739868	0.247754682	0	0	0.153902086	0.164132209	0.077751549	0.211011543	0.421897436	0.149544576	0.103262006	0.137224683	0.136689233	0.183637503	0.127641287	0.01600354	0.071798172	0.15768525	0.187423093	0.079135857	0	0.162344812	0.101403241	0.236824733	0.137484419	0.274811832	0.142399497	0.266219831	0.196574446	0.088371975	0.232745675	0.067843556	0.175627638	0.110167042	0.177325772	0.173976009	0.189887039	0.28766123	0.151738066	0.187005101	0.120806819	0.157771255	0.120235202	0.106374545	0.324198305	0.176149447	0.148120487	0.263033355	0.276698573	0.185311455	0.138128925	0.205829633	0.119723573	0.140636146	0.18552229	0.139026501	0.166225137	0.170639581	0.176953671	0.26155709	0.233312817	0.195036616	0.255747958	0.190102699	0.061189683	0.161529584	0.129533835	0.197452671	0.192525609	0.191135783	0.282731206	0.172301343	0.184327183	0.200126061	0.158716386	0.190705323	0.201990199	0.278464873	0.010276643	0.290540218	0.187648985	0.073009065	0.105649935	0.252302933	0.206606233	0.185064992	0.32708553	0.25533799	0.184692018	0	0.204921884	0.121809865	0.277934691	0.163309512	0.21558215	0.259188232	0.132922775	0.213118263	0.148174907	0.131630059	0.233153225	0.20738549	0.252832066	0.166299927	0.252927162	0.150750275	0.16281049	0.189455373	0.246081163	0.076984824	0.168196056	0.08810949	0.209745276	0.135982215	0.115244547	0.08523497	0.099093057	0.25433966	0.145078512	0.207084047	0.073739161	0.158922913	0.273708437	0.139369784	0.134242507	0.121643161	0.177193881	0.216460968	0.190918604	0.096063695	0.26520881
T_cells_CD4_memory_activated	0.157892734	0.202771383	0.137949228	0.059096331	0.177442075	0.169134746	0.162387168	0.109675498	0.075249515	0.094417152	0.012362203	0.214284959	0.187382502	0.119282635	0.091310176	0.175656004	0.083376677	0.02694726	0.137926149	0.07852532	0.114457104	0.160734795	0.112690543	0.159375044	0.201941299	0.124048166	0.155540729	0.052605606	0.18806809	0.196644528	0.117827774	0.146760285	0.105060931	0.139001199	0.125594167	0.037435972	0.080397644	0.104978607	0.167937634	0.144466133	0.185158423	0.136337445	0.088334449	0.133014767	0.059846475	0.185743827	0.111127903	0.184468363	0.234935693	0.089858736	0.160724579	0.175492979	0.154624214	0.065963378	0.12411934	0.133059614	0.03785817	0.066351106	0.125912689	0.019053515	0.076644522	0.081491049	0.0162738	0.098829986	0.110636516	0.161381324	0.085094445	0.134983498	0.108749157	0.049504231	0.123942367	0.066184281	0.140565507	0.164020301	0.112960091	0.12994047	0.119928689	0.202877793	0.166355599	0.069306624	0.15422323	0.111409032	0.09540101	0.101087184	0.17698192	0.085186526	0.075086245	0.185642287	0.07936092	0.06596639	0.107751547	0.137238821	0.106079341	0.105959584	0.051253505	0.102554822	0.142659936	0.098379944	0.173048107	0.112333092	0.10547652	0.10806805	0.140507664	0.062288989	0.058182834	0.139640448	0.104742516	0.138293742	0.057121731	0.046732584	0.108320963	0.076738735	0.042793209	0.014773111	0.107725514	0.13860166	0.090852595	0.102616923	0.067835962	0.103680777	0.165548659	0.111621644	0.126954681	0.11279231	0.051745596	0.089131437	0.078038778	0.096724627	0.079017109	0.213285685	0.199796345	0.094200883	0.166447734	0.138700159	0.149930697	0.127814372	0.152515593	0.166936685	0.129257321	0.023321128
T_cells_follicular_helper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146649	0.000304881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008635122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000967027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012043484	0	0	0	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019863522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011183293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013162887	0	0	0	0	0	0	0	0	0	0	0	0.006875388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015351789
T_cells_gamma_delta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213234	0	0	0	0	0	0.006674812	0	0	0	0.073824937	0	0.028305812	0.022332803	0	0.000512993	0	0	0	0	0	0	0.029233205	0	0	0	0	0	0	0	0	0	0	0	0.019116335	0	0	0	0	0	0.008967391	0.016912563	0	0.008949517	0	0	0	0	0	0.042500155	0	0	0	0	0	0.00963003	0	0	0	0	0	0.024824066	0	0	0	0.015801314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057320906	0	0	0	0	0.001905764	0	0	0.006891648	0	0.007179715	0	0	0	0	0	0	0.048949322	0.020509097	0	0.045529226	0	0	0.005313519	0	0	0	0	0	0	0	0	0.042365277	0	0	0	0	0	0	0	0	0
