Mixture	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
B_cells_naive	0.019858706	0	0.072325011	0	0.103590678	0	0.134092014	0	0.00996645	0	0	0.084741171	0	0.021748436	0.037827205	0	0.062278344	0	0	0	0.03319356	0.043462498	0.008308159	0.059195688	0.063097157	0	0	0	0.009102726	0.01530159	0	0.126956042	0.011720978	0.002615248	0
B_cells_memory	0.050834999	0.041059308	0.05298782	0.094331242	0.080354468	0.156891052	0.029614038	0.081148148	0.050877074	0.132394078	0.062090345	0	0.109187584	0.028446278	0.057658676	0.084121673	0	0.068011245	0.037489367	0.152550691	0.09726341	0.063536509	0.149552327	0.053080375	0.021025341	0.149758782	0.235814203	0.174259223	0.054664906	0.122439881	0.169596094	0.085249788	0.035439856	0.085378533	0.078281736
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007470835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.146409142	0.075989708	0.118095855	0.065949442	0.015716004	0.050419618	0.094308962	0.234562583	0.223784772	0.175952348	0.01353878	0.184428624	0.071330993	0.133561414	0.20104403	0.120310416	0.2029728	0.011914862	0.242849695	0.180373869	0.051336208	0.085287398	0.14184555	0.078795974	0.06912537	0.036819175	0.253993002	0.083949069	0.216055195	0.049740639	0.075588631	0	0.231468732	0.074818566	0.126111528
T_cells_CD4_naive	0	0	0	0.13877252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005761995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD4_memory_resting	0.124177198	0.148679493	0.230331146	0.214500946	0.142268516	0.154070104	0.017940414	0.085750879	0.132007256	0.080652749	0.146522898	0.136331622	0.147375661	0.115960624	0.235083535	0.165311792	0.130961846	0.098732439	0	0.037048038	0.153934747	0.156944349	0.164380198	0.181371367	0.299584188	0.318112925	0.120177853	0.201944379	0.115970185	0.179654225	0.226009116	0.265524294	0	0.187122985	0.198097873
T_cells_CD4_memory_activated	0.148634093	0.129346365	0.114206717	0.118286724	0.101253469	0.182710669	0.095838718	0.176447949	0.088174743	0.088729533	0.042471	0.06451325	0.139520506	0.123063489	0.097201514	0.106623514	0.14035688	0.094862005	0.161429178	0.108110254	0.158911941	0.159143505	0.079116372	0.134832627	0.079535197	0.047653181	0.00838148	0.120153343	0.148357455	0.031962599	0.087877343	0.052358983	0.17749781	0.181079371	0.113174078
T_cells_follicular_helper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010105107	0.001133138	0	0
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0.006158961	0.019512011	0	0	0	0	0	0	0	0	0	0	0	0	0.026586703	0	0	0.024754333	0	0	0	0	0	0	0	0
T_cells_gamma_delta	0.017268924	0	0	0.02684572	0.015546114	0	0	0	0	0	0	0.158674021	0	0	0.013846916	0	0	0.007740502	0.002207859	0	0	0	0	0	0.006437167	0	0	0	0	0.029604431	0	0	0	0	0
