Mixture	ESCC1	ESCC2	ESCC3	ESCC4	ESCC5	ESCC6
B_cells_naive	0.024888483	0	0	0.074993937	0.039981901	0
B_cells_memory	0.0737159	0.069256251	0.153178532	0.025971925	0	0.120732312
Plasma_cells	0	0	0	0	0	0
T_cells_CD8	0.433275517	0.169901688	0.229802217	0.171108967	0.242729117	0.349781045
T_cells_CD4_naive	0	0	0	0	0	0
T_cells_CD4_memory_resting	0	0.089707074	0	0.042454321	0.020061714	0
T_cells_CD4_memory_activated	0.016703628	0	0	0	0	0
T_cells_follicular_helper	0	0	0.011957835	0	0	0
T_cells_regulatory_Tregs	0.1189734	0.159140844	0.11649459	0.181529374	0.155635303	0.183896409
T_cells_gamma_delta	0	0	0	0	0	0
NK_cells_resting	0.047708749	0.002706771	0.047002667	0.092831269	0.095794005	0.045478091
NK_cells_activated	0.046851995	0.135121478	0.076487403	0.061289459	0.076674584	0.087965391
Monocytes	0.113671425	0.152251237	0.183306228	0.111353557	0.224689751	0.105059813
Macrophages_M0	0.062039008	0.109491035	0.103817775	0.068053899	0.094611661	0.085906731
Macrophages_M1	0.004904374	0.009815873	0.005350473	0.00214761	0	0.005572855
Macrophages_M2	0	0	0	0	0.008425252	0
Dendritic_cells_resting	0.005548162	0	0	0.03316173	0	0
Dendritic_cells_activated	0	0	0	0	0	0
Mast_cells_resting	0.037341495	0.065229754	0.052955947	0.020423225	0.041396711	0.012231468
Mast_cells_activated	0	0	0	0	0	0
Eosinophils	0.014377864	0	0.019646335	0.064118624	0	0
Neutrophils	0	0.037377995	0	0.050562103	0	0.003375885
