Mixture	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
B_cells_naive	0.004551093	0	0.000139905	0	0	0	0.080723631	0	0	0	0	0.048728498	0.033252723
B_cells_memory	0.022403224	0.206468565	0	0.076396496	0.152390802	0.21358031	0	0.196630936	0.109897324	0.124176653	0.069289355	0.035410608	0
Plasma_cells	0	0	0	0	0.086968326	0	0.033090034	0	0	0	0	0	0
T_cells_CD8	0	0	0.01590711	0	0	0	0.01443263	0.040221037	0.019615138	0.174591721	0.036886376	0.014510968	0.035536454
T_cells_CD4_naive	0.076294224	0	0.077048353	0.056059525	0	0.042678627	0.087425553	0.093935566	0.052360878	0.075538166	0.10163622	0.073014587	0.123205669
T_cells_CD4_memory_resting	0	0.114330751	0	0.006990016	0.037176731	0	0	0	0.069147032	0	0	0	0.027867911
T_cells_CD4_memory_activated	0.024939988	0	0.090767763	0.01434176	0	0	0.02653036	0	0.039116073	0	0.065113352	0.1580586	0.115716809
T_cells_follicular_helper	0.000758711	0	0	0	0	0	0.045778804	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	5.65E-05	0	0	0.011253857	0	0	0.052908165	0.029797515	0.174026115	0	0	0
T_cells_gamma_delta	0.044438884	0.150651641	0.03769553	0	0.07471406	0.053668863	0.063999246	0.018545642	0	0	0.065651874	0.023380262	0
NK_cells_resting	0	0	0.041427958	0.053182618	0	0	0.042902509	0.130285314	0.09610666	0.00644695	0.256350207	0.103984386	0.035790402
NK_cells_activated	0	0.114853295	0	0	0.054218334	0	0	0	0	0	0	0	0.022518467
Monocytes	0	0.001375369	0.568996454	0.101847863	0	0.078498538	0.447118829	0.234248725	0.099871389	0.241630839	0.087121645	0.231941525	0.57010876
Macrophages_M0	0	0	0	0	0.045493654	0	0	0	0	0	0	0	0
Macrophages_M1	0.003845088	0.007838458	0	0	0	0	0	0.009902541	0	0	0	0	0
Macrophages_M2	0	0	0.019556964	0	0	0.011365653	0.090728073	0.057860892	0.000507001	0	0	0.013392515	0
Dendritic_cells_resting	0	0.026058236	0.013413107	0.001113856	0	0.007110383	0.001145554	0	0.011464087	0	0.019182441	0.006215383	0
Dendritic_cells_activated	0	0.002747911	0	0.001302465	0.024056816	0	0.004951602	0.006063769	0	0.045298507	0.014189248	0.024603595	0
Mast_cells_resting	0.044951642	0.029227148	0.022130753	0.002725475	0.074056353	0	0.04244644	0	0.073410756	0	0.089099677	0	0.020738645
Mast_cells_activated	0	0	0	0	0	0.017581132	0	0.100724414	0	0.15829105	0	0	0
Eosinophils	0	0.113488119	0	0	0	0	0.018726735	0.002438014	0	0	0	0	0
Neutrophils	0.777817148	0.232904049	0.112916103	0.686039925	0.439671067	0.575516493	0	0.056234983	0.398706148	0	0.195479604	0.266759074	0.015264158
