Mixture	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9
B_cells_naive	0	0.055613208	0.003451338	0.027744518	0.018513423	0	0.035117868	0.03933404	0.104251063
B_cells_memory	0.06226436	0.054959306	0.107062832	0.021369896	0.164862267	0.133461918	0.043965222	0.03626187	0.031259121
Plasma_cells	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.202247794	0.132720093	0.161361431	0.381409127	0.015513274	0.166770962	0.253379655	0.204905312	0.386251541
T_cells_CD4_naive	0	0	0	0	0	0	0	0	0
T_cells_CD4_memory_resting	0.133761132	0.230648783	0.125792595	0.029319431	0.269570156	0.165796329	0.089782226	0.108245953	0.112196322
T_cells_CD4_memory_activated	0.077902551	0.137999771	0.1021114	0.211623703	0.023468457	0.118814336	0.185320169	0.174384994	0.116748326
T_cells_follicular_helper	0	0	0	0.008346649	0	0	0	0	0.010657147
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0
T_cells_gamma_delta	0	0	0	0	0	0	0.043581661	0	0.045415351
NK_cells_resting	0.236497093	0.089944024	0.181826685	0.087503529	0.150502604	0.173907983	0.123193195	0.197159265	0
NK_cells_activated	0.039408978	0.025108807	0.027034562	0.01919138	0	0	0.009988183	0.003456688	0.021838303
Monocytes	0.102447146	0.165756908	0.093367627	0.074405203	0.167894459	0.091881293	0.06008662	0.100531784	0.086727814
Macrophages_M0	0.025939479	0.037653761	0.013472959	0.009725953	0.00498782	0.012928779	0.019672874	0.010676921	0.01818418
Macrophages_M1	0.005624036	0.002080012	0.0039287	0.002861474	0.011238589	0	0.000601737	0.001957164	0.000199709
Macrophages_M2	0	0	0	0.005748879	0	0.001520469	0.009532841	0	0.003582895
Dendritic_cells_resting	0.006628743	0	0.008999026	0.002682316	0.000543309	0	0.004162975	0.004508154	0
Dendritic_cells_activated	0	0	0	0.003379961	0.005922565	0	0.001247834	0.0046322	0.006438098
Mast_cells_resting	0.025414576	0.049322364	0.068146822	0.042887209	0.017232667	0.03009993	0.035053036	0.037406463	0
Mast_cells_activated	0	0	0	0	0	0	0	0	0
Eosinophils	0.048617991	0.006835931	0.018956754	0.043727169	0.053672486	0.051031542	0.051966525	0.034224531	0.029085192
Neutrophils	0.033246119	0.011357033	0.084487269	0.028073603	0.096077923	0.05378646	0.033347378	0.042314663	0.027164936
