Mixture	HD1_AD	HD2_AD	HD3_AD	HD4_AD	HD5_AD	HD6_AD	GBM_A1	GBM_A2	GBM_A4	GBM_A5	GBM_A6	GBM_A7	GBM_A8
B_cells_naive	0.172142154	0.005244477	0.071008889	0.012135351	0	0.011336435	0.083808815	0.080226604	0.031744764	0.067432173	0.030057996	0	0
B_cells_memory	0.1750463	0	0	0.5942389	0.144667665	0.027356479	0.030856733	0	0.04205752	0	0	0.100315963	0.181047433
Plasma_cells	0	0.017721541	0.008232019	0	0.066058489	0.000221299	0	0.008757363	0.023166731	0.001560166	0.009101981	0.019477339	0.005107406
T_cells_CD8	0.016128972	0.198692941	0.190356649	0.0098899	0.286089372	0	0.033961233	0.088590135	0.127832954	0.085203184	0.013015872	0	0.001274373
T_cells_CD4_naive	0.057304578	0	0	0.049703207	0.056274215	0.055826152	0.072441152	0.008250274	0.024373638	0.062753509	0.050368052	0.118092269	0.053620919
T_cells_CD4_memory_resting	0	0	0	0	0	0	0	0	0	0.030403995	0	0	0
T_cells_CD4_memory_activated	0	0.113865212	0.079901559	0	0	0	0.171344497	0	0.12183286	0.097236361	0.088939941	0.004765312	0.250873219
T_cells_follicular_helper	0	0.049961765	0.120261173	0	0	0	0	0.012126529	0	0	0	0.004778029	0
T_cells_regulatory_Tregs	0.049240475	0	0	0.004561475	0	0.009372692	0	0	0	0	0	0.027423449	0.010921997
T_cells_gamma_delta	0.025680892	0	0	0	0.048373845	0	0.014072013	0.287042328	0	0	0.054347749	0.083215801	0
NK_cells_resting	0	0.124774196	0.033181179	0	0.059525128	0.041451856	0.13645895	0	0.289244809	0	0.035458022	0.01555978	0.093149849
NK_cells_activated	0.048583991	0	0	0.0088246	0.038529071	0	0	0	0	0.113847045	0	0	0
Monocytes	0.136180581	0.119909577	0.026791973	0.282744876	0	0.256176399	0.155996783	0.094007237	0.127035017	0.37623171	0.634405043	0.519073384	0.076313166
Macrophages_M0	0	0	0	0	0	0	0	0	0.009421033	0	0	0.013895062	0.013315938
Macrophages_M1	0	0	0.034041175	0	0.054884434	0.008677869	0	0.002440331	0	0	0	0	0.016616157
Macrophages_M2	0.040265008	0.048796289	0.16160508	0.006246062	0.045798189	0	0.028026404	0.098154133	0	0.034159693	0.001517613	0	0
Dendritic_cells_resting	0	0.034043651	0.105140103	0	0.059045778	0	0.017390291	0	0.020183256	0	0.000265707	0.031667624	0.058036264
Dendritic_cells_activated	0.017474571	0.024217157	0.00660861	0.00563891	0.057839871	0	0.023896094	0.020680568	0.013010839	0	0.000679881	0.035563061	0.070717651
Mast_cells_resting	0	0	0	0	0.004524095	0	0.008309963	0	0.09133047	0	0.023079093	0	0
Mast_cells_activated	0.074754472	0.012900552	0.053632593	0.014573904	0	0.058328992	0	0.208544872	0	0.105938374	0	0.026172929	0.024714479
Eosinophils	0	0.125914666	0.009216761	0	0.020375348	0	0	0	0	0	0	0	0
Neutrophils	0.187198004	0.123957977	0.100022237	0.011442816	0.058014499	0.531251825	0.223437072	0.091179626	0.078766109	0.025233789	0.05876305	0	0.14429115
