Mixture	Utest1_RPKM	Utest10_RPKM	Utest2_RPKM	Utest3_RPKM	Utest4_RPKM	Utest5_RPKM	Utest6_RPKM	Utest7_RPKM	Utest8_RPKM	Utest9_RPKM	ctrl1_RPKM	ctrl10_RPKM	ctrl2_RPKM	ctrl3_RPKM	ctrl4_RPKM	ctrl5_RPKM	ctrl6_RPKM	ctrl7_RPKM	ctrl8_RPKM	ctrl9_RPKM
B_cells_naive	0.184255227	0.044696695	0.215904959	0	0.133925606	0.259579069	0.14281647	0	0	0	0	0.205608908	0	0.17998753	0.086714932	0.254015166	0	0.07427639	0.02316245	0.053080463
B_cells_memory	0	0	0	0.181358853	0	0	0	0.304687319	0	0	0.277803595	0	0.330433483	0	0.011617312	0	0.213023814	0	0	0
Plasma_cells	0.00820963	0.001057008	0.19131127	0	0.057102682	0	0.109834008	0	0	0	0.024033702	0.035357528	0	0	0.076829177	0.035400073	0	0.083223764	0.055697575	0.075679755
T_cells_CD8	0	0.111956623	0.096435334	0.015832497	0.193866721	0	0.150652835	0.046325334	0.096274866	0.016227084	0.024037646	0.290018026	0	0	0.273513246	0.003439188	0.306800171	0.203697917	0.055804621	0.097703394
T_cells_CD4_naive	0	0	0	0.036379812	0.123108608	0.166351547	0	0	0	0	0.007113353	0	0.136134776	0.117987629	0	0.126041473	0	0.032408588	0.227093928	0.216666913
T_cells_CD4_memory_resting	0.338123058	0.095684378	0	0.158834295	0	0	0.033224198	0.12351861	0	0.112703703	0.331719669	0	0	0.081281873	0	0	0.125280848	0	0	0
T_cells_CD4_memory_activated	0	0	0	0	0	0.187974136	0	0.151015211	0	0	0	0	0	0	0	0.037650139	0	0.123259945	0	0
T_cells_follicular_helper	0	0	0.023149744	0	0.039371385	0	0	0	0.061381123	0.015976245	0.022395945	0	0.032309243	0.005734644	0.06760762	0.055155919	0	0.008716921	0	0.052736328
T_cells_regulatory_Tregs	0.259992508	0	0.10087403	0.140575187	0.023360695	0.019663422	0.200001354	0	0.049060307	0	0.008498755	0.199772699	0	0.064256656	0	0	0.129720279	0	0.121857036	0.116344981
T_cells_gamma_delta	0	0	0	0	0	0.044624119	0	0	0	0	0	0	0.081308856	0	0	0	0	0	0	0
NK_cells_resting	0.145073645	0	0	0.147301513	0.14618685	0	0.134844225	0.045212386	0	0	0	0.188945169	0	0.152456392	0.056211009	0.068158696	0	0.146741422	0.014131238	0.173450909
NK_cells_activated	0	0.017276798	0.053290723	0.003291859	0	0	0.037015149	0	0.115715708	0.041517546	0.062841305	0	0.121062769	0.099993104	0.034648267	0.112657359	0	0	0.063034302	0.028540517
Monocytes	0.017165828	0	0.096934985	0	0.102825399	0.076467588	0.072011717	0.055722171	0	0	0.016234799	0.037453698	0.019003275	0.041471393	0.124542104	0.143686668	0.116564193	0.171631479	0.057484067	0.060686589
Macrophages_M0	0.008778782	0.172896869	0.116505806	0.072838786	0.115041583	0.067717394	0.068223943	0.069016046	0.23280934	0.288188553	0.019441958	0.019082901	0.230454117	0.100639044	0.210281156	0.107970855	0.049718569	0.133153441	0.009530336	0.104371384
Macrophages_M1	0	0.00595015	0.035763516	0	0.033031559	0.049329383	0.004147789	0	0.025280433	0	0.031774106	0	0	0	0.018926902	0	0	0	0	0
Macrophages_M2	0	0	0	0	0	0	0	0	0	0.040532925	0	0.021098597	0	0	0	0	0	0	0	0
Dendritic_cells_resting	0	0.047133416	0	0	0	0.10609533	0	0	0	0.012103245	0	0	0	0	0	0	0	0	0	0
Dendritic_cells_activated	0	0.058754672	0	0	0	0	0.023803464	0.02345282	0	0.125797998	0	0	0.025230101	0	0	0	0	0	0	0.020738766
Mast_cells_resting	0	0	0	0	0.032178912	0	0	0	0	0	0	0	0.00290233	0.156191734	0.039108275	0.055824466	0.058892127	0	0	0
Mast_cells_activated	0.038401322	0.364640319	0.069829633	0.241759711	0	0.022198013	0.023424849	0	0.359434887	0.236876504	0.128607795	0.002662474	0	0	0	0	0	0	0.322277615	0
Eosinophils	0	0.012417883	0	0	0	0	0	0	0	0	0.045497373	0	0.021161047	0	0	0	0	0.022890132	0	0
Neutrophils	0	0.06753519	0	0.001827486	0	0	0	0.181050104	0.060043337	0.110076198	0	0	0	0	0	0	0	0	0.04992683	0
