Mixture	GSM4289946	GSM4289947	GSM4289948	GSM4289949	GSM4289950	GSM4289951	GSM4289952	GSM4289953	GSM4289954	GSM4289955	GSM4289956	GSM4289957	GSM4289958	GSM4289959	GSM4289960	GSM4289961	GSM4289962	GSM4289963	GSM4289964	GSM4289965	GSM4289966	GSM4289967	GSM4289968	GSM4289969	GSM4289970	GSM4289971	GSM4289972	GSM4289973	GSM4289974	GSM4289975	GSM4289976	GSM4289977	GSM4289978	GSM4289979	GSM4289980	GSM4289981	GSM4289982	GSM4289983	GSM4289984	GSM4289985	GSM4289986	GSM4289987	GSM4289988	GSM4289989	GSM4289990	GSM4289991	GSM4289992	GSM4289993	GSM4289994	GSM4289995	GSM4289996	GSM4289997	GSM4289998	GSM4289999	GSM4290000	GSM4290001	GSM4290002	GSM4290003	GSM4290004	GSM4290005	GSM4290006	GSM4290007	GSM4290008	GSM4290009	GSM4290010	GSM4290011	GSM4290012	GSM4290013	GSM4290014	GSM4290015	GSM4290016	GSM4290017	GSM4290018	GSM4290019	GSM4290020	GSM4290021	GSM4290022	GSM4290023	GSM4290024	GSM4290025	GSM4290026	GSM4290027	GSM4290028	GSM4290029	GSM4290030	GSM4290031	GSM4290032	GSM4290033	GSM4290034	GSM4290035	GSM4290036	GSM4290037	GSM4290038	GSM4290039	GSM4290040	GSM4290041
B_cells_naive	0	0	0	0	0.045156358	0	0	0.111911501	0.21323699	0	0	0.070254001	0	0.005134126	0	0.099022974	0	0.093461132	0	0	0	0.003645389	0.06968785	0	0	0.007236713	0	0	0.020566871	0	0.085141883	0	0	0	0	0	0	0.082663307	0	0.164521262	0.024305468	0.061905128	0	0	0	0.005767434	0.321086803	0	0	0	0	0.158814384	0	0.056217304	0	0	0.16948382	0.001933553	0	0.175409316	0.060248565	0	0.056816958	0	0	0	0	0	0	0.170087122	0	0	0	0.211765988	0.071142541	0	0	0	0	0.074040743	0.106750658	0	0	0.005015133	0	0.060121193	0.032129145	0	0.042994212	0.059627	0.012423384	0.133814957	0.105141019	0.011707938	0.11433345	0.046665772
B_cells_memory	0.033808455	0.039611327	0.042476757	0.043859637	0	0.08756085	0	0	0	0.030784356	0.00090329	0	0.111534318	0	0.256239682	0	0.059635866	0.042895936	0.14178503	0.137960458	0.095435854	0	0	0.003135336	0.049484152	0.054006673	0.024905371	0.003148084	0	0.061030281	0	0.020334466	0.039482876	0.09748575	0.090265324	0.027565849	0.008494474	0	0.100406037	0	0	0.104525823	0	0.053428338	0.026580161	0.006022378	0	0.079911339	0	0.041042169	0.114680553	0	0.105483928	0	0	0.05453588	0	0.196098891	0.101439968	0	0	0.018971116	0	0.260527617	0	0.012929472	0.144668863	0.141531232	0	0	0.065966715	0	0.213493042	0	0	0.03959233	0.065982076	0.020780843	0	0	0	0.046017112	0.042724994	0.011260033	0	0	0	0	0	0	0	0	0	0	0	0
Plasma_cells	0.0618589	0.066001119	0.164839539	0	0	0.04337914	0	0.106413197	0.275675164	0.022857443	0.222018699	0.121371311	0	0.098071468	0.038146405	0	0	0.002210134	0.004523186	0.026292899	0	0	0.009462531	0.194686152	0.001437262	0	0	0.102961666	0.164469029	0.008936809	0.27059155	0	0	0.074788775	0.181478527	0	0.216227846	0	0	0.072278116	0.198722802	0	0.338662674	0.152397082	0.332212092	0	0	0.209506372	0.270128871	0	0	0.161280495	0	0.137751247	0.219754778	0.122661286	0.226821732	0.0488956	0.065490968	0.057417745	0.12050921	0.084908443	0.143271531	0.104245567	0.130776074	0	0.202604663	0	0.291480538	0.129948816	0.039680999	0.04906804	0	0.175571815	0.059677918	0.009189985	0	0.118838784	0.135041953	0.060717402	0.094931864	0.030715071	0.006824734	0.033945299	0.101553078	0.120850172	0.079622459	0.324895926	0.280939716	0.283182416	0.222739884	0.187895319	0.13352304	0.188480588	0.006522962	0.2587147
T_cells_CD8	0	0.281727604	0	0	0.024572401	0.002721646	0.186828187	0	0	0	0	0.168500763	0	0.006693723	0.162088752	0.043557721	0.083405554	0.042799628	0.022093964	0	0	0	0.03997156	0	0	0	0	0.109449762	0.006937863	0	0.0992502	0.4022887	0	0	0	0.019748249	0.194737154	0.003468053	0	0	0	0	0	0.002672453	0	0.334678936	0.184562948	0.132538996	0	0.058421988	0.143014261	0.147560045	0.048368926	0.139051465	0.178034725	0	0.001759794	0	0	0.11265333	0.021846582	0	0	0.094581833	0	0.021608387	0.018736053	0.082060812	0.137627885	0.001618636	0	0.023353296	0.078599302	0.32602316	0.021500682	0	0.166249405	0.186318206	0.19867109	0.00204888	0.042425244	0	0	0.045932481	0	0	0	0	0	0	0	0	0	0	0	0.034809101
T_cells_CD4_naive	0.240481885	0.014656863	0	0	0	0.102922174	0	0.355710542	0	0.07003848	0	0.134276499	0.01301564	0	0	0.079279517	0.148608332	0.121458279	0	0.04344862	0	0.043249434	0	0.156997116	0.134101542	0	0.224842625	0.044550794	0.237764518	0	0	0	0	0	0.11707808	0.027493069	0	0	0	0	0	0	0.178341148	0.06369907	0	0	0	0	0	0	0	0.110672754	0.119089772	0.060495736	0	0	0	0.105797208	0	0	0	0.183941729	0	0	0.253489042	0	0	0	0	0	0.040622474	0	0	0	0	0	0.039741645	0	0	0.202287244	0.028166942	0.264662015	0.141975466	0.227819398	0	0	0	0	0	0	0	0	0	0	0.146599767	0
T_cells_CD4_memory_resting	0.126138414	0	0.141366861	0.167378503	0	0	0	0	0.035941332	0.105824844	0.130423371	0	0.055974117	0.071426204	0.084413365	0.101539699	0	0	0.014778989	0	0.091206215	0.132759922	0.290359649	0.088579585	0	0.15103332	0	0.039603023	0.061166082	0.059616704	0	0	0.101566131	0.195996177	0	0	0	0.168342586	0.090634298	0.233460507	0.106363291	0.141750906	0.135237673	0.093042414	0.188110936	0	0.07313709	0.062612286	0.048348138	0.254540599	0.113844819	0	0	0.202002808	0.033694833	0.289707973	0.11033792	0	0.011910679	0	0	0.244251689	0.179068673	0.046534533	0	0.144042932	0	0	0.065216667	0.053783549	0	0.606053342	0	0	0.091939239	0	0	0.127737498	0.106410778	0	0.001070284	0.172896426	0.266754045	0.079247243	0.609234234	0.437242099	0.623716101	0.361477853	0.410662603	0.403960796	0.429956194	0.372341528	0.370514094	0.10886732	0	0.216788785
T_cells_CD4_memory_activated	0.003328525	0.059221698	0.206033674	0	0	0.039829899	0.050364583	0.13124262	0.001709051	0.016023946	0	0.09159515	0	0.030451508	0.020157133	0.241710404	0	0.143121169	0.236966916	0.256587269	0.017878655	0.184129668	0.307791937	0.030279357	0	0	0.082994374	0.027708196	0.092985421	0	0.111110529	0	0	0.041322836	0.073876383	0.225925809	0.326393903	0.044014535	0	0	0.131583137	0	0	0.019443872	0.062440957	0.068357099	0.023507038	0.073253915	0.01748415	0.007978403	0	0.013540551	0.040093079	0	0.011326353	0.031129045	0	0.182996211	0.139945625	0.025417596	0.05757786	0	0	0	0	0	0	0	0	0	0.169194294	0.033863139	0.001232089	0	0.165798062	0.054072644	0.188006404	0.070642325	0.087675139	0.114601897	0	0	0.021047816	0.012031636	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_follicular_helper	0	0	0.02253338	0	0	0.026110054	0	0	0	0	0.023542188	0	0	0.058462349	0.072223245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020143948	0.102260783	0.216689349	0.123220279	0.207714898	0	0.010204131	0	0	0.0112441	0.044402532	0.165216097	0	0	0	0	0	0	0.056979186	0	0.01876173	0.068244712	0	0	0	0	0.073411707	0.010581504	0	0	0.099259171	0.009627558	0	0.124701356	0.092343098	0	0	0.164641962	0.086558135	0.022441393	0.080352723	0	0	0.049751674	0	0	0	0	0.045114947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177577454	0.082774648	0
T_cells_regulatory_Tregs	0	0	0	0.306746158	0.253161959	0	0.067347978	0	0.005842576	0.028808886	0.05826738	0	0.161381829	0.084092744	0.025739211	0	0	0	0.054528602	0	0.086553551	0.037635661	0	0	0	0.079546386	0.020662022	0.144521403	0.015654347	0.01263464	0	0	0.033749277	0	0.11244765	0	0	0.012727647	0.105055524	0	0	0.103690577	0	0	0	0.004545004	0	0	0.035603301	0	0.059172464	0	0	0	0	0.007586826	0	0	0.082861695	0	0.03482403	0	0.051156803	0	0	0	0	0	0.010613244	0	0.055854826	0	0.009056572	0.023660724	0.046880246	0.081038875	0	0.049461188	0	0	0.015716086	0	0	0.040364629	0	0	0	0	0	0	0	0	0	0.051396147	0.122179128	0.118360635
T_cells_gamma_delta	0	0	0	0.002708733	0	0.128316296	0.155476854	0.073860405	0.258323708	0.052601082	0.027413191	0	0.106598051	0	0	0	0	0.298153368	0.005975625	0.111803063	0.121008968	0.168343829	0	0.319208112	0.382165708	0.064601241	0.309672793	0.169798767	0	0.084096673	0.19409748	0	0.082136751	0.0115441	0.246688242	0	0	0.149572064	0	0.055016622	0.063188812	0.000740817	0.146342615	0.072672044	0.127671417	0	0	0.033478735	0.369439624	0	0.014249162	0	0.331702591	0	0	0.013052286	0	0.147397822	0.102566435	0	0.003697696	0.05004014	0	0	0.241014141	0.022511052	0	0.08019401	0.136613538	0.009832264	0.11314444	0	0.187935844	0	0.146282003	0.221806139	0	0	0.073152677	0.176199758	0.108823952	0.112594987	0.130821896	0.135961491	0	0	0	0	0	0	0	0	0	0.026973664	0.181880798	0
