Mixture	MRC5_1	MRC5_2	Cocx_1	Cocx_2
B_cells_naive	0.104198982	0.034037078	0	0.053186372
B_cells_memory	0	0.166328125	0.077751056	0
Plasma_cells	0.013376619	0.004643253	0	0
T_cells_CD8	0.001660259	0.044055466	0	0.265687403
T_cells_CD4_naive	0.009449115	0.107426264	0	0
T_cells_CD4_memory_resting	0.12252128	0.024298081	0.187937154	0
T_cells_CD4_memory_activated	0.056015286	0	0.044114858	0
T_cells_follicular_helper	0	0	0	0
T_cells_regulatory_Tregs	0	0.030032471	0	0.076105208
T_cells_gamma_delta	0	0	0	0
NK_cells_resting	0.09963852	0.131975301	0.233643588	0.054368687
NK_cells_activated	0	0	0.01016015	0
Monocytes	0.087786582	0.089507449	0	0
Macrophages_M0	0.064027895	0	0.028728227	0.256708692
Macrophages_M1	0	0	0.048088123	0.064507744
Macrophages_M2	0.073141483	0.034148646	0.141367762	0.059217922
Dendritic_cells_resting	0.281388254	0.15631271	0.136097816	0.037251943
Dendritic_cells_activated	0	0	0	0
Mast_cells_resting	0	0	0.09109379	0
Mast_cells_activated	0.086795725	0.177235156	0	0.030973777
Eosinophils	0	0	0	0.053866642
Neutrophils	0	0	0.001017476	0.048125609
