Mixture	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
B_cells_naive	0.0181461	0.083429053	0	0.042932467	0	0.043982805	0	0.158816722	0.069268876	0	0.079151921	0	0	0.018817227	0	0.029123685	0.103128026	0	0.04749158	0.016368788	0.043550272	0	0	0.021861426	0	0.029031401	0.068064494	0.076396482	0.025567481	0.002530035	0.043170099	0.02926445	0.019849377	0.011972932	0.030281937	0	0.090215014	0	0	0.065059375	0.050799765	0	0.214780557	0.094562856	0.042173018	0	0.067638025	0.122403245	0.034746148	0.181641669	0.106161349	0.046592579	0.043784591	0.048801265	0.044431707	0.093324443	0.04835373	0	0.010839142	0	0.094408304	0.115686534	0.044265242	0	0	0	0.002711742	0.01988887	0	0.007353074	0.072714728	0.023049929	0.121735741	0	0.082445837	0.002449122	0.040502558	0	0.013603956	0	0.064411689	0	0.009869265	0.014201333	0	0.00949295	0.048113727	0	0.043672424	0.012814555	0.043622691	0.046939293	0	0.074670157	0	0.032305529	0	0.098209824	0.039654997	0.039741577	0.045517792	0.009434786	0.143439683	0.06721144	0.038478804	0.014614553	0.070724289	0.064999797	0.052194118	0.005341956	0.046934115	0.036653031
B_cells_memory	0	0	0.101509194	0.048208959	0.09689367	0.037571694	0.0705678	0.009450393	0.007985286	0.096189011	0.010512621	0.145484727	0.051511877	0	0.058363168	0.125763197	0.07402339	0.001598717	0.069175905	0.150397773	0.092235648	0.100261887	0.067659848	0.052663212	0.086476001	0.125555021	0.022927262	0.077911129	0.092416922	0.148219734	0.109536776	0.028185853	0.024021832	0.060380151	0.008798701	0.100375955	0.005415862	0.008553903	0.092137266	0.076865608	0.059805747	0.134365028	0	0.021087958	0.04044847	0.138003132	0	0	0.123944893	0.016421965	0.032149167	0.04156675	0.010210186	0.028080654	0.03973555	0.043283795	0.110435565	0.10165445	0.017529321	0.084595173	0.013540917	0	0	0.114917217	0.095510368	0.084411868	0.066775729	0.133183915	0.090236258	0.131382229	0	0.224472576	0	0.120343561	0.03379575	0.091558285	0.099656828	0.178189251	0.075216761	0.122620681	0	0.203031132	0.059022076	0.078462742	0.093484058	0.090503671	0.05137385	0.100557435	0.07819145	0.159463583	0.03122203	0.002372821	0.059666787	0.021402044	0.069482354	0	0.053273882	0	0	0.027030421	0.051220867	0.012987495	0	0	0	0.021410492	0.074625404	0.020445966	0.154271713	0.101318097	0.124937611	0.066895023
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008331151	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.124379994	0.06775805	0.190589893	0.053361618	0.140819692	0.183535309	0.111988195	0	0.251745227	0.14817991	0.275307319	0.223714114	0.116215905	0.383158041	0.252640555	0.114742223	0.098528037	0.231786928	0.054129157	0.163794973	0.032845764	0.055879332	0.096552491	0.123571927	0.115904978	0.298901415	0.1858873	0.177372279	0.174406005	0.172809351	0.08456501	0.206465954	0.169091992	0.195655208	0.219921296	0.243590217	0.332865599	0.4437978	0.24589477	0.10837933	0.020652667	0.019078514	0.053472316	0.077304973	0.081151291	0.002282979	0.077486425	0.214207218	0.032526041	0.103366864	0.182110995	0.165188266	0.153693439	0.114892684	0.084814404	0.143429774	0.078027046	0.141754907	0.249688699	0.174192535	0.187386102	0.290579537	0	0.200725671	0.393048952	0.094703087	0.195359263	0.050684649	0.132875808	0.09255581	0.059746939	0.060014879	0.349847274	0.155792601	0.03622125	0.151065849	0.11577896	0.066190217	0.011677077	0.033508966	0.083746861	0.23483187	0.177165947	0.018755956	0.197715723	0.204246918	0.251947351	0.119527402	0.034847842	0.164665648	0.089075704	0.172584207	0.187438424	0.1901757	0.047487166	0.117132051	0.134193939	0.167410562	0.228470992	0.195964432	0.03775515	0.071033477	0	0.102518165	0.200562523	0.203055463	0.146567114	0.049467582	0.080688978	0.090747053	0.049771908	0.352368391
T_cells_CD4_naive	0	0	0	0	0	0	0.034751679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084270089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052861576	0.008345035	0	0	0.026757117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060606191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD4_memory_resting	0.368566076	0.292797096	0.209382781	0.150898222	0.127282963	0.16905391	0.077325494	0.189426655	0.045020966	0.152139459	0	0	0.086637627	0.097817605	0.069274183	0.116901762	0.174363488	0.021352081	0.206568861	0.074784427	0.184471978	0.300965095	0.007150713	0.155831339	0.070339411	0.085880684	0.205960803	0.10753951	0.182102804	0.136758522	0.166624515	0.077154102	0.219930028	0.118651215	0.074348039	0.02715595	0.089903477	0.046675668	0	0.342604182	0.286705141	0.063264994	0.140795244	0.284766737	0.323864415	0.104193522	0.187698952	0.056633989	0.172136373	0.142785915	0.097230582	0.099442065	0.140124213	0.037429648	0.326374231	0.130826895	0.232599923	0.07535857	0.164310915	0.083710218	0.108401091	0.180751986	0.077496584	0.070510919	0.080682609	0.036105052	0.113150789	0.155594672	0.059015893	0.196413589	0.305167066	0.28016569	0.029788684	0.065290051	0.271810853	0.304971689	0.236493211	0.255359871	0.246301288	0.219231604	0.35643387	0.087708782	0.095479302	0.174372956	0.222024115	0.25902122	0.08862865	0.128342334	0.257284228	0.147647869	0.266818853	0.170349538	0.104466131	0.153741185	0.025668034	0.322872755	0.260627103	0.068617972	0.072930991	0.169747651	0.296438853	0.15431689	0.221459843	0.373142827	0.024763874	0.041554605	0.254373649	0.279557452	0.160946744	0.136703739	0.216797651	0.067386058
T_cells_CD4_memory_activated	0.138452419	0.096629021	0.074069622	0.099640967	0.157177347	0.232921574	0.169393137	0.038498099	0.163422631	0.157423628	0.201686766	0.186561452	0.120736463	0.16106242	0.124735336	0.073179224	0.123618541	0.070154219	0.203703146	0.144243162	0.111853735	0.095849934	0.089813501	0.11331475	0.02176268	0.11415994	0.035380809	0.029580875	0.128273404	0.068859419	0.030396159	0.129027782	0.11311944	0.00082887	0.127011929	0.142491032	0.184375019	0.11366219	0.14086968	0.058725078	0.074230284	0.098106763	0.057084603	0.065872271	0.09407823	0.157815533	0.204256834	0.108728683	0.174258809	0.16199489	0.130170261	0.126350287	0.185307748	0.154632123	0.127298243	0.168228617	0.062883975	0.072800026	0.074317091	0.101714657	0.102918413	0.070380148	0.087996391	0.029858252	0.103588475	0.121240348	0.081611119	0.109735349	0.114033207	0.097740173	0.041926694	0.019651695	0.064003244	0.189217809	0.155758734	0.152436176	0.111542313	0	0.070776208	0.045527466	0.059134301	0.02129162	0.095280048	0.021341868	0.047662331	0.045319197	0.042892106	0.076802886	0.142234099	0.067706431	0.13582781	0.061821821	0.094752185	0.132841768	0.042612626	0.068745476	0.044418912	0.12124324	0.106479506	0.088706421	0.02766018	0.114002988	0	0.084531528	0.123934927	0.136484875	0.124113609	0.126941157	0.092562664	0.072907149	0.127921262	0.19535107
T_cells_follicular_helper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010250453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017980511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013283907	0	0	0	0	0	0	0	0	0	0	0	0.01605494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_gamma_delta	0	0	0.001794501	0	0	0	0	0	0	0	0	0	0.074900416	0	0	0	0	0.066430207	0.025150928	0	0.044936608	0.012488179	0.07174249	0	0.048007244	0	0.070933757	0.068848638	0.050570999	0	0	0.027756318	0.006380431	0	0	0.00833129	0	0	0	0.131644728	0.026714513	0.051503078	0.025773779	0	0.019482407	0	0	0	0	0	0	0	0	0.012008417	0	0	0.013593947	0	0.007294705	0.025584828	0	0	0.106704387	0	0.045339083	0	0	0.003299922	0	0	0.044863999	0	0.062911296	0	0	0.114269519	0	0.12169484	0.12925434	0.036430908	0.021353202	0	0	0.026672793	0.037445467	0	0.021203148	0	0.090765314	0	0.034911959	0	0.125334926	0	0.05786497	0	0	0.024532419	0.015629126	0	0.037994804	0	0.057318701	0	0.029925432	0.068869322	0	0	0	0	0.060677275	0.023836132
