Mixture	KIRC01	KIRC02	KIRC03	KIRC04	KIRC05	KIRC06	KIRC07	KIRC08	KIRC09	KIRC10	KIRC11	KIRC12	KIRC13	KIRC14	KIRC15
B_cells_naive	0.032745565	0.038730604	0	0	0	0	0.022558601	0.000500249	0.07259368	0	0.106818332	0.018428507	0.020073564	0	0.105981293
B_cells_memory	0.045861832	0.019945598	0.080437898	0.075062818	0.085315056	0.095679669	0.054949269	0.083719203	0	0.09547959	0.002481768	0.018870071	0.106141152	0.093074624	0
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.149958177	0.148760884	0.223921154	0.224544574	0.117919767	0.110107335	0.240953193	0.186059823	0.131141857	0.078172043	0.18107766	0.200198203	0.142560131	0.050407131	0.006292051
T_cells_CD4_naive	0	0	0	0	0	0.062459259	0	0	0	0	0	0	0	0	0
T_cells_CD4_memory_resting	0.155744841	0.080430975	0.048171089	0	0.134553656	0	0.200586269	0.192214299	0.248877903	0.190760297	0.134096135	0.144018003	0.157016684	0.228208039	0.244400059
T_cells_CD4_memory_activated	0.143636637	0.232830192	0.210643317	0.209925098	0.215688259	0.160605214	0.129975753	0.156242932	0.166689683	0.083436966	0.152453477	0.175250333	0.171698879	0.109636537	0.171742019
T_cells_follicular_helper	0.00436283	0	0	0	0	0.002218856	0	0	0	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_gamma_delta	0.100659362	0	0	0	0	0	0	0.058778007	0.044359597	0	0	0	0	0	0
NK_cells_resting	0.108324995	0.192665789	0.241908986	0.260338064	0.146837936	0.353901035	0.106201971	0.124699061	0.038763188	0.235311535	0.229721816	0.261475354	0.121562601	0.252460404	0.189733372
NK_cells_activated	0	0.01769885	0	0	0	0	0.033958492	0	0	0.031359942	0	0	0.044762116	0.005113481	0
Monocytes	0.133583143	0.096394709	0.075231951	0.099179171	0.199407741	0.085273456	0.155918743	0.072948903	0.082487106	0.122868431	0.098850563	0.091741997	0.062397351	0.146619212	0.061314633
Macrophages_M0	0.005947169	0.024868985	0.012319225	0.005961174	0.01876944	0.014686184	0.018655498	0.002835999	0	0.011347563	0.011384555	0.008933517	0.009198084	0.002242736	0.001407079
Macrophages_M1	0.004503123	0.005985489	0.003021059	0.0039562	0	0.005038556	0.01892946	0.005369927	0	0.006848259	0.00378772	0.001643804	0.003548826	0	0
Macrophages_M2	0	0	0.009903972	0.018399708	0.003301985	0.015764147	0	0.005259484	0	0.018053543	0.008964835	0	0.013151032	0	0
Dendritic_cells_resting	0.002831531	0.004718934	0.007563987	0.008592211	0	0.006985094	0.006825592	0.014657997	0.002620239	0.005429232	0	0.003571944	0.00340009	0.002548084	0.008970732
Dendritic_cells_activated	0.007277083	0	0	0	0	0	0	0	0.009526647	0.005310294	0.00119086	0	0	0	0.006104382
Mast_cells_resting	0.010065566	0.071853491	0.034915959	0.044280903	0	0.036916104	0	0.023338265	0	0.023350055	0.013108741	0.006676403	0.061972077	0.037728416	0.030472396
Mast_cells_activated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eosinophils	0.046686986	0	0.01303407	0	0.015046967	0.03061629	0.007646252	0.041528223	0	0.061501639	0.013664795	0.031455122	0.025577938	0.012612412	0.018618768
Neutrophils	0.047811159	0.065115499	0.038927332	0.049760077	0.063159192	0.019748801	0.002840908	0.031847629	0.2029401	0.03077061	0.042398741	0.037736743	0.056939474	0.059348925	0.154963215
