Mixture	MEL01	MEL02	MEL03	MEL04	MEL05	MEL06	MEL07	MEL08	MEL09	MEL10	MEL11	MEL12	MEL13	MEL14	MEL15	MEL16	MEL17	MEL18	MEL19	MEL20	MEL21
B_cells_naive	0	0	0.082435123	0.109213551	0.102641068	0	0	0.10200246	0.104188643	0	0	0	0	0.12793843	0.183749494	0	0	0.20071746	0.043760676	0.125937421	0.007793844
B_cells_memory	0.048036363	0.085332188	0.018650972	0	0.058069476	0.095596279	0.156325725	0	0	0.076699924	0.027495131	0.108254956	0.107988604	0	0	0.05029568	0.065816181	0	0	0	0.085233105
Plasma_cells	0	0	0	0.003917437	0	0	0	0	0	0	0	0	0	0	0.002491352	0	0	0	0	0	0
T_cells_CD8	0	0.011141919	0.187900123	0.018270208	0.027142467	0.148367314	0.135598708	0.111569099	0.119161553	0.19958389	0.068501791	0.006394384	0.043335926	0.058349147	0.03865397	0.12719543	0.024530792	0.191565033	0.129556071	0.31611693	0.077181301
T_cells_CD4_naive	0.059714672	0	0.07109541	0.020836042	0.093253064	0	0.083643885	0	0	0.029158227	0	0	0	0.012384383	0	0	0	0	0.047142233	0	0.031850339
T_cells_CD4_memory_resting	0	0.333794676	0	0.043728721	0	0.077757367	0	0	0.104100982	0	0.269104566	0.149929146	0.119454694	0.096957899	0.406713122	0	0.280369733	0.012970153	0	0.019735681	0
T_cells_CD4_memory_activated	0.028832224	0.003856027	0.008932712	0.15450561	0.112167126	0	0	0.046926894	0.024166612	0	0.014794716	0.04295624	0.122104703	0.148222312	0	0.082884534	0.005987503	0.043153836	0.1116714	0.008205356	0.014037865
T_cells_follicular_helper	0.004072366	0.006559194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013383344	0	0	0.063838885
T_cells_regulatory_Tregs	0.011061456	0.016662144	0.030134231	0	0	0.13007877	0.060743675	0.062036248	0.001064091	0.013568703	0.014633076	0.016941197	0	0	0	0.070147133	0	0.021913146	0.012615442	0.010678515	0.013257285
T_cells_gamma_delta	0.10406126	0.016196966	0	0	0.03839744	0	0	0	0	0	0.129960579	0	0	0	0	0	0	0	0	0	0
NK_cells_resting	0.156120762	0.139064512	0.19380401	0.165562721	0.133359604	0.320588053	0.256686533	0.308548642	0.27216925	0.298661361	0.114810768	0.25395115	0.132938078	0.155505557	0.140398592	0.152882748	0.252413612	0.147556433	0.219788385	0.209220861	0.265669939
NK_cells_activated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monocytes	0.391285096	0.246584031	0.242483524	0.337019811	0.343263819	0.111952013	0.11963303	0.182072801	0.192966797	0.164426449	0.295119542	0.222822438	0.366431159	0.189956679	0.130695219	0.36938941	0.263036876	0.197666522	0.220901109	0.17362946	0.329938729
Macrophages_M0	0.086352312	0.047060204	0.0274609	0.02254768	0.01224018	0.065610358	0.068171526	0.061512637	0.089780454	0.069151244	0.031394936	0.058839229	0.051701375	0.019826839	0.032592021	0.060605463	0.05000012	0.091251555	0.029353614	0.072146686	0.045760163
Macrophages_M1	0.012431601	0.012371849	0.020101677	0.001753157	0.00196575	0.005144576	0.011554968	0.016742803	0.02985844	0.021247746	0.00087567	0.026302691	0.018101772	0.003371119	0	0.023256464	0	0.004212843	0.015677765	0	0
Macrophages_M2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019583927	0	0.007841224	0
Dendritic_cells_resting	0.007952957	0.050559039	0.035828702	0	0	0	0.012816331	0.097865472	0	0.044870658	0	0.017498683	0	0.005565125	0	0.013572806	0.002471514	0	0	0	0
Dendritic_cells_activated	0	0	0	0	0.006607086	0	0	0	0	0	0.002867291	0	0	0	0	0	0	0	0	0	0.005785549
Mast_cells_resting	0.028922604	0	0	0.039599317	0.048558077	0	0	0	0	0.027364909	0	0	0.012906601	0.08827081	0	0.030058742	0	0	0	0	0
Mast_cells_activated	0	0.011980527	0.078544704	0	0	0	0	0	0	0	0.013822422	0	0	0	0.021135955	0	0.006338075	0	0	0	0.05383215
Eosinophils	0.061156328	0.01240431	0.002627911	0.0809141	0.022334843	0.029189935	0.06936695	0	0	0.05526689	0.016619511	0.056178898	0.025037088	0.081509846	0	0.019711591	0.049035593	0.056025747	0.058913183	0.050226329	0.005820847
Neutrophils	0	0.006432415	0	0.002131645	0	0.015715334	0.02545867	0.010722944	0.062543178	0	0	0.039930989	0	0.012141853	0.043570277	0	0	0	0.110620122	0.006261537	0
