Mixture	ML01	ML02	ML03	ML04	ML05	ML06	ML07	ML08	ML09	ML10	ML11	ML12	ML13	ML14	ML15	ML16	ML17	ML18	ML19	ML20	ML21	ML22	ML23	ML24	ML25	ML26	ML27	ML28
B_cells_naive	0.122075387	0.068319256	0	0.139285222	0.008148571	0	0	0.029207307	0.013450697	0.008540328	0.017443902	0	0	0.015062633	0.127992318	0	0.0849845	0.029438144	0	0.079205803	0	0	0	0	0.02766862	0.030192005	0	0
B_cells_memory	0	0.027209881	0.144935851	0	0.007632189	0.017426494	0.514089772	0.005194354	0.096082966	0.021075093	0.115934447	0.346030404	0.062776946	0.069971899	0.105535348	0.071032013	0	0.119951128	0.085922902	0	0.083876716	0.107371483	0.035288538	0.038309872	0.079833714	0	0.1325243	0.168126111
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008271405	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.339536615	0.064931102	0.0497712	0.251743372	0.363981532	0.19125795	0	0.032689967	0.114126926	0.333749799	0.059672757	0.128886634	0.236531483	0.192715746	0.192056148	0.047088613	0.003166214	0.11659596	0.102423988	0.154547768	0.412545811	0.202562225	0.151025941	0.050465696	0.136403812	0.172330054	0.058597922	0.189127676
T_cells_CD4_naive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD4_memory_resting	0	0.375402409	0	0	0	0.097526944	0.144168403	0.085382751	0.131927547	0	0.060853738	0	0	0.054642819	0.07149565	0.135468136	0.139630529	0.142268307	0.269526236	0.149210476	0	0.17776855	0	0.08133989	0.232711665	0.179797257	0.04830851	0.015274786
T_cells_CD4_memory_activated	0.034262693	0	0.130299033	0.165227139	0.109565944	0.106089105	0.093743332	0.124398728	0.045851808	0.131930371	0.052531057	0.101263442	0.221863987	0.172380828	0.119662571	0.071928326	0.176914012	0.017914712	0.081224447	0.102562173	0.141149961	0.090040319	0.244941091	0.103772304	0.029194209	0.090335406	0.141993394	0.171326919
T_cells_follicular_helper	0.033189021	0	0	0.003501017	0	0	0	0.000918906	0	0	0	0.00303163	0	0.003993415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	0	0	0	0.004758684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00780254	0	0.011821288	0	0	0.023084483	0	0	0
T_cells_gamma_delta	0.081896314	0.033411098	0.007235474	0	0	0	0	0	0	0.065513997	0	0	0	0	0	0	0.158485345	0	0	0	0	0	0	0.042347359	0	0	0	0
NK_cells_resting	0.013386194	0.204582373	0.091591073	0.113744102	0.257551244	0.254465347	0	0.312221061	0.383959542	0.041278276	0.295221969	0.092066931	0.113007542	0.088469604	0.116453395	0.120963783	0.213709127	0	0.278655082	0.139045901	0.111613913	0	0.127338731	0.151918531	0.104872248	0.238449702	0.106487657	0.130377694
NK_cells_activated	0.05639461	0.053299438	0.025921288	0.019047455	0	0	0.076826202	0.106123467	0	0.002481694	0.051930928	0.009739581	0	0	0	0.011066989	0	0.135019909	0	0.031222152	0	0.055816038	0.030482779	0	0.069098957	0.062342518	0	0
Monocytes	0.13748152	0.077254783	0.348168713	0.115226345	0.128629887	0.149559386	0.053422677	0.036829735	0.151205053	0.168372413	0.274020785	0.142535068	0.217314709	0.232071784	0.20072568	0.313760175	0.10094691	0.113599368	0.104854287	0.109219648	0.076244377	0.115109545	0.157440835	0.393451923	0.163890115	0.125533464	0.176333661	0.179330875
Macrophages_M0	0.013308932	0.004559836	0.078152092	0.054500057	0.000404809	0	0.012440657	0.008654749	0	0.01785546	0	0.013965933	0.011366896	0.02744145	0.00147058	0	0.01937122	0.018152134	0.002540311	0.021375987	0.008731258	0.055950339	0.044657871	0.011759367	0.015231085	0.026311905	0.00718404	0.018293712
Macrophages_M1	0.000887046	0	0.000467643	0.010453813	0.002735587	0.017685414	0	0	0	0.008830386	0.012689237	0.001344281	0.024634898	0.001808262	0	0.004227494	0	0.014105602	0	0.002144516	0.018148787	0.015913051	0.039977486	0.005630275	0.004703584	0.002536168	0.07579215	0.007546657
Macrophages_M2	0.003877662	0.014362772	0	0	0.015286082	0.018638671	0.01182613	0.031859022	0.002579206	0	0.000764134	0	0	0	0.003032479	0.001482258	0	0	0.006700235	0.014102878	0.013600663	0	0	0	0.00774524	0.009630627	0	0
Dendritic_cells_resting	0.110019084	0	0	0.007025899	0.003497554	0.008904882	0.006024148	0.004778209	0.001528027	0.0025665	0	0.000248585	0.001041976	0.006913623	0	0.006774909	0.006564465	0.001226215	0	0	0	0.00829045	0.004136938	0.004285655	0.005597245	0.002429187	0	0.012836013
Dendritic_cells_activated	0	0.003657038	0.000246375	0	0.002307779	0	0.003144611	0.005931263	0.003635266	0	0.019960616	0.01558356	0	0.00261332	0	0.002246476	0.001305052	0	0	0	0	0	0	0.000758864	0.000783991	0	0	0
Mast_cells_resting	0.024964341	0.054950618	0.07731508	0.069814165	0.029001259	0	0.061095698	0.18209286	0.017407806	0.042963259	0.008773379	0.043466485	0.042230624	0	0	0.064628194	0	0.098246841	0.03342281	0.087567798	0.05667953	0.05300067	0.097481521	0.049156451	0.017666605	0.039947221	0.069000429	0.023553927
Mast_cells_activated	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003915711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eosinophils	0.00213159	0	0	0.036974602	0.00287849	0.116777156	0	0	0.003605705	0.062392172	0.016704107	0.059344654	0.021716889	0.094310922	0.050148432	0.088511959	0.041962666	0.046643269	0.00445316	0.060635473	0.054447536	0.030118998	0.027208529	0.028273421	0.053232201	0.009128567	0.116302886	0.039808302
Neutrophils	0.026588991	0.018059397	0.04589618	0.01345681	0.063620387	0.02166865	0.023218369	0.033717621	0.03463945	0.092450252	0.013498944	0.042492812	0.047514051	0.033687984	0.011427398	0.060820674	0.044688555	0.146838412	0.030276541	0.041356886	0.022961448	0.076237044	0.04001974	0.038530391	0.028282225	0.011035919	0.067475051	0.044397326
