Mixture	OV01	OV02	OV03	OV04	OV05	OV06	OV07	OV08	OV09	OV10	OV11	OV12	OV13	OV14	OV15	OV16	OV17	OV18	OV19	OV20	OV21	OV22	OV23	OV24	OV25	OV26	OV27	OV28	OV29	OV30
B_cells_naive	0	0.056550508	0.035917162	0.046024907	0.004260165	0.058884241	0	0	0.035732985	0.094925814	0.077435009	0.028797425	0	0.077033997	0.022537035	0.103764679	0.153887623	0.030243167	0.071261465	0	0.006178488	0.041606179	0.026083401	0.01354178	0.007134262	0	0.036191757	0.160819057	0.04060883	0.055296611
B_cells_memory	0.176827442	0.077046168	0.034548429	0.108617311	0.105288098	0.05769896	0.101440568	0.214572335	0.039034829	0.043369766	0.110254377	0.026859459	0.237292573	0.102628446	0.045695311	0.007148083	0.091396913	0.038052755	0.033068477	0.121248678	0.091660192	0.09397302	0.081652996	0.020115379	0.139119263	0.133825814	0.060565601	0	0.135207374	0.01734962
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.110883136	0.127083843	0.152281254	0.166542373	0.060761938	0.052686997	0.100092756	0.186708141	0.153025888	0.121696572	0.134023949	0.171491574	0.115342425	0.2270703	0.191195018	0.288753773	0.15622133	0.268805796	0.151190473	0.157384509	0.093522343	0.055426103	0.076074112	0.304237021	0.173058214	0.198370401	0.137939956	0.138369749	0.237093507	0.362795508
T_cells_CD4_naive	0	0	0	0	0.036762199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094903434	0	0	0.042832929	0
T_cells_CD4_memory_resting	0.07217748	0.088958515	0.256839423	0.128577337	0.168359001	0.251354778	0.062828867	0.101125644	0.155641212	0.126308911	0.227878593	0.16131211	0.182104515	0.129124308	0.199540622	0.072739798	0.111368246	0.097734301	0.19141448	0.079434036	0.132751031	0.27821257	0.29812143	0.094056769	0.153845527	0	0.155877282	0.217297131	0	0.086581789
T_cells_CD4_memory_activated	0.132403185	0.089825422	0.135896606	0.148903773	0.096692907	0.148601388	0.093780837	0.07483574	0.147476176	0.115341363	0.116275413	0.119781246	0.070479805	0.111427479	0.112957563	0.113145999	0.108884718	0.143213603	0.133866753	0.154695905	0.180842542	0.106832732	0.059864003	0.121398963	0.087633599	0.073290471	0.162430757	0.091975766	0.10204635	0.065224138
T_cells_follicular_helper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001946805
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_gamma_delta	0.004711177	0	0.060759719	0	0	0	0.014357487	0	0.018705436	0	0.026143187	0	0	0.000241795	0.008828916	0	0	0	0	0	0	0	0	0	0	0	0	0.071390531	0	0
NK_cells_resting	0.07110861	0.319575476	0.036272294	0.081761122	0.151950649	0.155497443	0.207811271	0.052117811	0.068291296	0.065446947	0.00674583	0.318329336	0.021823495	0.079713889	0.16572316	0.145035427	0.051869412	0.088081591	0.136275403	0.275148419	0.148661143	0.197287456	0.180175757	0.099849537	0.174933459	0.266061913	0.130029996	0.040611814	0.11902629	0.225503514
NK_cells_activated	0.049811361	0	0.035827874	0.013025459	0.020109434	0	0	0.057187485	0.003130482	0.069656308	0.000329595	0	0.066518682	0.038731788	0	0	0.021193204	0.007781608	0.017792983	0	0	0	0.000274073	0	0.00391119	0	0.000607758	0.00220897	0.001414289	0.01435096
Monocytes	0.163587636	0.119751401	0.101863811	0.176150685	0.115532771	0.168297682	0.096662325	0.198745378	0.123299539	0.20804803	0.156815924	0.079749263	0.12106689	0.076136099	0.124485304	0.135384282	0.142872509	0.140512337	0.101406688	0.080125259	0.168166721	0.104677316	0.184434236	0.155366519	0.148395372	0.161917301	0.202777671	0.131705977	0.148023742	0.072101087
Macrophages_M0	0.016849524	0.02396459	0.003931408	0.03146762	0.00969778	0.014613185	0	0.02515309	0	0.028275701	0	0.007713722	0.01483823	0.01344413	0.01093888	0	0	0.012591619	0.021669239	0.018158164	0.006303402	0.0068885	0.014914894	0.01820375	0	0	0.017546229	0.016107781	0.003001348	0.016871483
Macrophages_M1	0.003911649	0.002465384	0.004479824	0.003175415	0.003688894	0.003444697	0.003385005	0.001887868	0.003231276	0.007426404	0.003656387	0.002311717	0	0.001513448	0	0.002027004	0	0.002199332	0.003401817	0.001401784	0.007350013	0.003121499	0.014591031	0.007528915	0.00616371	0	0.023073207	0.003857426	0	0.00216902
Macrophages_M2	0	0	0.02033727	0	0	0	0.027623981	0	0	0	0.017078973	0.012766076	0	0	0	0.012068315	0	0	0	0.011632733	0	0	0	0	0.005317277	0.003245767	0	0	0	0.005820379
Dendritic_cells_resting	0.004952186	0	0.00470581	0	0.010368811	0.003077575	0.008659301	0.013332393	0.005493651	0	0	0.00213421	0	0	0.000466641	0.004001091	0	1.21E-05	0	0.001582005	0.004394051	0	0.008021315	0.002447519	0	0	0.004963109	0	0.003892679	0
Dendritic_cells_activated	0.003100955	0.005209539	0.00198422	0	0	0.000937124	0.005052486	4.70E-05	0.007852404	0	0.005777128	0	0.005099632	0	0.003579138	6.72E-06	0	0.002857417	0	0	0.006717565	0.000767738	0	0	0	0	0	0.004889217	0.001828317	0
Mast_cells_resting	0.068613981	0	0.051005907	0.047981819	0.030145149	0.024172342	0.036780396	0.047846357	0.052338445	0.076177778	0.01717157	0.023256615	0.039127007	0.012618201	0.019942025	0.032160126	0.025812328	0.069149073	0.011626882	0.048021549	0.034745901	0	0.018829918	0.043308033	0.010906862	0.007180719	0.014862092	0.025040513	0.027005405	0.061359288
Mast_cells_activated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eosinophils	0	0.046697398	0.011068263	0.012601757	0.018784879	0.006381966	0.02134088	0.012949498	0	0	0	0.011819847	0	0.044116278	0.03312047	0.015716988	0.021972317	0.034639144	0.067711023	0.035077733	0.007177151	0.055192053	0.011381985	0.017154473	0.060701416	0.026540469	0.016443807	0.009516955	0.017214353	0.003021841
Neutrophils	0.121061678	0.042871756	0.052280724	0.035170422	0.167597326	0.054351621	0.220183841	0.01349122	0.18674638	0.043326404	0.100414064	0.033677401	0.126306746	0.086199842	0.060989917	0.068047717	0.1145214	0.064126202	0.059314316	0.016089227	0.111529458	0.056014836	0.025580849	0.102791342	0.02887985	0.034663712	0.036690776	0.086209114	0.120804587	0.009607959
