Mixture	PAAD001	PAAD002	PAAD003	PAAD004	PAAD005	PAAD006	PAAD007	PAAD008	PAAD009	PAAD010	PAAD011	PAAD012	PAAD013	PAAD014	PAAD015	PAAD016	PAAD017	PAAD018	PAAD019	PAAD020	PAAD021	PAAD022	PAAD023	PAAD024	PAAD025	PAAD026	PAAD027	PAAD028	PAAD029	PAAD030	PAAD031	PAAD032	PAAD033	PAAD034	PAAD035	PAAD036	PAAD037	PAAD038	PAAD039	PAAD040	PAAD041	PAAD042	PAAD043	PAAD044	PAAD045	PAAD046	PAAD047	PAAD048	PAAD049	PAAD050	PAAD051	PAAD052	PAAD053	PAAD054	PAAD055	PAAD056	PAAD057	PAAD058	PAAD059	PAAD060	PAAD061	PAAD062	PAAD063	PAAD064	PAAD065	PAAD066	PAAD067	PAAD068	PAAD069	PAAD070	PAAD071	PAAD072	PAAD073	PAAD074	PAAD075	PAAD076	PAAD077	PAAD078	PAAD079	PAAD080	PAAD081	PAAD082	PAAD083	PAAD084	PAAD085	PAAD086	PAAD087	PAAD088	PAAD089	PAAD090	PAAD091	PAAD092	PAAD093	PAAD094	PAAD095	PAAD096	PAAD097	PAAD098	PAAD099	PAAD100	PAAD101	PAAD102	PAAD103	PAAD104	PAAD105	PAAD106	PAAD107	PAAD108	PAAD109	PAAD110	PAAD111	PAAD112	PAAD113	PAAD114	PAAD115	PAAD116	PAAD117	PAAD118	PAAD119	PAAD120	PAAD121	PAAD122	PAAD123	PAAD124	PAAD125	PAAD126	PAAD127	PAAD128	PAAD129	PAAD130	PAAD131	PAAD132	PAAD133	PAAD134	PAAD135	PAAD136	PAAD137	PAAD138	PAAD139	PAAD140	PAAD141	PAAD142	PAAD143	PAAD144	PAAD145	PAAD146	PAAD147	PAAD148	PAAD149	PAAD150	PAAD151	PAAD152	PAAD153	PAAD154	PAAD155	PAAD156	PAAD157	PAAD158	PAAD159	PAAD160	PAAD161	PAAD162	PAAD163	PAAD164
B_cells_naive	0.067654211	0.034605369	0.053968905	0.073706194	0	0	0.004181437	0.013504433	0.047331397	0.002183259	0.12643424	0.030019891	0.046882794	0	0.049533707	0	0.007899301	0.045692321	0.035608221	0.108029928	0	0.073786133	0.080122831	0	0.039605841	0.106958389	0.112252321	0	0.11401907	0.00634941	0.025678975	0.049006892	0.020646592	0.043873906	0.067583187	0.097589291	0.047497249	0.043446711	0.049105609	0	0.009688494	0	0.004878928	0.124514391	0	0	0.009950896	0	0	0.043202741	0.02244252	0.050944153	0	0	0	0.01007142	0	0	0.090161559	0.096406408	0.125940881	0.01140539	0	0	0	0.105409579	0.093131722	0.041635389	0	0.047136308	0.104399107	0	0.018387228	0	0	0.03032646	0	0.039312666	0	0.039037086	0.039991836	0	0.061524224	0.036460808	0.070648902	0	0	0.049013527	0.110846585	0	0.032072228	0.079203116	0	0	0.020416787	0.162618353	0	0	0.125240647	0.088707747	0.040044347	0.043533776	0	0.093301632	0.018592444	0	0.027756645	0.039973599	0.226436536	0.10804871	0.031688035	0.022476794	0.012832073	0.06968604	0	0.010236729	0.029999442	0.056011665	0.014084013	0	0.096293124	0.021091618	0	0	0.053898425	0.117645028	0.065908506	0.015377953	0.018528824	0	0.005903104	0.066568447	0.138327302	0	0.097511927	0.0770892	0	0	0.092385641	0.041426395	0	0.056077655	0.060758728	0.060900508	0.060347728	0.043288527	0.082971162	0.016486789	0.031326502	0.026204764	0.029204854	0.049950575	0.020002662	0.082046544	0	0.057927193	0	0	0.012581187	0.013123219	0	0.040071837	0.117992128	0.105226798
B_cells_memory	0	0.106721597	0	0.039454673	0.123244847	0.103001627	0	0.083872976	0.080108062	0.045836128	0	0.052503756	0.018099732	0.103735656	0.084655555	0.042290306	0.044426689	0.028481536	0.04933917	0.0373649	0.075545162	0	0.165469799	0.043403832	0.031131405	0	0.08548215	0.050252441	0	0.102015955	0.058239766	0.070850229	0.030756983	0.020613982	0	0.041663645	0.079750448	0	0.090362786	0.071661773	0.07306668	0.070907713	0.045235372	0.082725559	0.075336505	0.163169579	0.065218961	0.035152892	0.07803902	0.013470408	0.011284186	0.041779676	0.157315768	0.067993577	0.052992339	0	0.070710097	0.073300866	0.018104359	0.09045539	0.13259609	0.045451695	0.067393302	0.064402214	0.106358146	0	0.012644568	0	0.113240278	0.022858376	0	0.178514623	0.052099048	0.031971743	0.039312362	0.023342619	0.08116032	0.103518812	0.065090664	0.022026978	0.014212934	0.047710268	0.058092476	0.044423742	0	0.096593253	0.012903026	0.020072231	0.014020309	0.039963542	0.120933343	0.122370533	0.086438866	0.237108719	0.027772266	0	0.074420425	0.111473446	0	0.04074444	0.021668231	0.031996659	0.062458283	0	0.062723303	0.128508505	0.078278352	0.074818384	0.043746652	0	0	0.086103042	0.029158814	0	0.110912368	0.083758326	0.055566145	0.065071914	0.028386252	0.022873789	0	0.035364001	0.104879169	0.144681092	0.048266849	0	0	0.051244731	0.106636721	0.043408004	0.049219418	0.045606827	0	0.066941279	0.039367021	0.061231502	0.036694462	0.106058007	0.070471048	0.103309958	0.131866304	0.029831888	0.134945418	0.040528075	0.071467817	0.0419616	0.059301885	0.108199611	0.006688052	0.037262086	0.100476098	0.024456357	0.057547592	0	0.127000352	0.062270173	0.068330302	0.101749702	0.013812661	0.04975515	0.033612662	0	0	0.05604254
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169474	0	0	0	0	0	0.000520757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003084735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.333603154	0.072564428	0.032960033	0.101936912	0.008317912	0.050826871	0.067635032	0.115717145	0.064284896	0.006429288	0	0.077940456	0.108715997	0.19613529	0.072146025	0.187543827	0.176625022	0.145030882	0.115667763	0.120418104	0.099169599	0.076327143	0.056801566	0.050924391	0.162995796	0.033403726	0.08912791	0.000776358	0.006889005	0.015206858	0.11982175	0.084644129	0.125556903	0.199324683	0.179040411	0.024258822	0.047315825	0.056169544	0.185687396	0.171063475	0.022078053	0.136052134	0.216607404	0	0.145868251	0.10231925	0.122272989	0.123869497	0.11717861	0.128710315	0.232166548	0.050272784	0.204028669	0.179738076	0.023153409	0.148464205	0.18544639	0.167209971	0.032591923	0.041946947	0	0.064454526	0.058644404	0	0.053904658	0	0.125614723	0	0.135704831	0.364971311	0.152787894	0.113414269	0.059226333	0.000202025	0.083327502	0.272644502	0.247884292	0.138903457	0.093328911	0.06820614	0.02737264	0.123587336	0.032513414	0.291725632	0.449793123	0.368051276	0.062822534	0.120863725	0.146688619	0.066903477	0.106974958	0.198693187	0.126628016	0.049139837	0.181973617	0.221913711	0.090776615	0.107658686	0.309476513	0.260060665	0.182060833	0.274832499	0.302261773	0.111462682	0.121181021	0.247368064	0.164692138	0.095243731	0.209929295	0.057656424	0.173440383	0	0.142090245	0.11650565	0.187401171	0.107733727	0.146824172	0.133382062	0.07366446	0.007952124	0.111628296	0.042237754	0.31090336	0.117800372	0.174669262	0.12962979	0.193869725	0.136642662	0.262949421	0.109121084	0.034727651	0.019272608	0.057369589	0.046331196	0.109680803	0.085834532	0.25042484	0.204015675	0.0643583	0.063127641	0.100358768	0.072418648	0.072268907	0.226920405	0.107355602	0.079770094	0.023169882	0.170621094	0.195465835	0.429161109	0.131285627	0.060857008	0.00047603	0.009154564	0.132831114	0.199410854	0.042886264	0.336671094	0.073552512	0.288270368	0.012927379	0.000659682	0.165502903	0.101786048
T_cells_CD4_naive	0	0	0	0	0.169651968	0	0	0	0	0.010592417	0	0	0	0.022793669	0	0	0	0	0	0	0	0	0.058359452	0	0.004643992	0	0	0	0.053382975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008059826	0	0	0	0	0	0.120856466	0	0	0.001180814	0	0	0.020582787	0	0.043470867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035379243	0	0	0.074197038	0	0	0	0	0	0	0	0.032377081	0	0	0	0	0	0.003067412	0.024101498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06627413	0	0	0	0.078635851	0.012683991	0	0	0.210753226	0	0	0	0	0	0	0	0	0	0	0.001466085	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081710534	0.041445941	0.006638747	0	0.022752974	0	0	0	0.027596565	0	0	0
T_cells_CD4_memory_resting	0.18745446	0.312300422	0.221090577	0.277025899	0.002119549	0.325429294	0.112482255	0.072797807	0.267840637	0.171766776	0.198084373	0.366320208	0.331577681	0.015031244	0.196266097	0.18710031	0.06582246	0.175260504	0.085791803	0.087611041	0.194668703	0.134227722	0.147664987	0.242215146	0.039974916	0.168980102	0.272859113	0.147033607	0.271827251	0.239716214	0.094547006	0.130363404	0.16822566	0.08423538	0.074983252	0.293983837	0.204213178	0.070294544	0.22411036	0.160496482	0.330069438	0.238016727	0.296128066	0.352007039	0.231097453	0.157471031	0.077143901	0.317541898	0.232533594	0.176066467	0.221690073	0.01324536	0	0.11331731	0.222699637	0	0.076212337	0	0.251676743	0.280545117	0.16415353	0.138323365	0.18198503	0.05941321	0.087711869	0.086728964	0.213864625	0.203957915	0.133932343	0.025363494	0	0.18780526	0.125016137	0.041363119	0.086652009	0.070316078	0.187588171	0.170056489	0.196395521	0.217457998	0.224170386	0.107053944	0.287719453	0.23575088	0	0.027764466	0.062131565	0.324262813	0.164343202	0	0.082950249	0	0.020087098	0.091095144	0	0.07687676	0.29252888	0	0.04354691	0.098803318	0.262466927	0.139312714	0.057064469	0.10123797	0	0.010841454	0.055813471	0.377055486	0.007072918	0.26143608	0.071372673	0.130114009	0.151331654	0.064475825	0.105192168	0.214487881	0.164601542	0.21026727	0.287667922	0.042177473	0.134091146	0.110256102	0.090167865	0	0	0.14145363	0.080316368	0.083907929	0.126641142	0	0.060479185	0.188056449	0.111751839	0.118948364	0.095135294	0.126431063	0	0.007487813	0.084596837	0.208386171	0.08858504	0.084471979	0.182157381	0	0.231573972	0.140575525	0.176289407	0.088401672	0.189867703	0	0.140823742	0.198259818	0	0.119561015	0.202036567	0.073040996	0.017274852	0.047190858	0.270104696	0.020720137	0.018656447	0.045877487	0.066101842	0.143076451
T_cells_CD4_memory_activated	0.05570012	0.15680204	0.15298504	0.082352099	0.127238472	0.118914571	0.05789	0.191659641	0.187474886	0.168805494	0.036555599	0.076526292	0.119644681	0.146404996	0.086637919	0.14322514	0.078945336	0.113552583	0.109372873	0	0.045875155	0.02501888	0.058819542	0.074244412	0.065116431	0.00085242	0	0.016642043	0.129019681	0.164391037	0.140534995	0.118718851	0.08662509	0.125406143	0.215540946	0.020499297	0.157463518	0.05711038	0.106064113	0.031602937	0.136574377	0.083738172	0.04951854	0	0.036266373	0.158003586	0.021693134	0.194482407	0.114888081	0.009391609	0.082553744	0.056353898	0.085361874	0.167340481	0.201263242	0.183229333	0.043899148	0.05198834	0.146387076	0.097687046	0	0.072705703	0.141055229	0.129173757	0.098221125	0.304158812	0.085123292	0.164131124	0.053049962	0.065667016	0.165719279	0.216743637	0.101719354	0.121436698	0.052722125	0.17819748	0.046126611	0.105037516	0.020633474	0.246304184	0.008820974	0.123411808	0.060955171	0	0.18758792	0.087390271	0.029100058	0.100505683	0.076852732	0.102824838	0.006291098	0.218741018	0.165851201	0.089058154	0.109649006	0.141224858	0.166602999	0.106831797	0.095237351	0.156007569	0.118010723	0.100897361	0.112499412	0.13897327	0.253081945	0.103781164	0.119811183	0.006877672	0.020307013	0.039945438	0.140360455	0.119891417	0.108278216	0.120242254	0.13277677	0.131116068	0.203509367	0.081955872	0.042624375	0.08897916	0.109554449	0.205810654	0.07556522	0.156539753	0.190008752	0.157856186	0.121053327	0.171370425	0.145289154	0.097147808	0.177334141	0.171821329	0.185655613	0.12369174	0.146879556	0.18394541	0.086424207	0.11803064	0.162001596	0.074559889	0.184467906	0.195070095	0.150690603	0.183672788	0.125078925	0.200781986	0.065961834	0.112036335	0.033942349	0.154773356	0.231024082	0.195865078	0.230410887	0.128988912	0.086890274	0.187633657	0.116370457	0.055962456	0.043277379	0.210774366	0.066048104	0.141173269	0.173737672	0.151853769
T_cells_follicular_helper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008164857	0	0	0	0.001787571	0	0	0	0	0	0	0	0	0	0	0	0.019690307	0	0	0	0	0	0	0	0.022095895	0	0.000910921	0.010514846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009322473	0	0.000465213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010220943	0	0	0	0.014677926	0	0	0.004888189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000574273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01274013	0	0	0	0	0	0	0	0	0	0	0	0	0.020227838	0	0	0	0	0	0.028618099	0	0	0	0	0	0.031415188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047394982	0	0	0.001494806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018935112	0	0	0	0	0	0	0	0	0	0.017617901	0.02523455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014256236	0	0	0	0	0	0	0.002621216	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026686611	0	0.010288026	0	0	0	0	0	0	0.016771815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_gamma_delta	0	0	0	0.021797589	0	0.020338056	0	0	0.039503921	0.089910099	0	0.038711255	0.014488113	0.068035308	0.032099969	0	0	0.046145505	0	0.048065721	0	0	0	0.041609563	0	0	0	0.112019715	0	0	0	0	0	0.066460815	0	0.048217086	0	0	0	0	0	0.031782771	0	0	0	0.013468064	0.10773018	0	0.063320041	0	0.065158594	0.002686018	0	0	0	0	0	0	0.127508705	0	0.039892455	0	0.042256193	0.056814044	0	0	0	0	0.052271103	0	0	0	0	0.034469731	0.000449372	0	0	0	0	0	0	0	0	0	0.002252154	0	0	0.059110898	0	0	0.047317062	0	0.061087279	0.002657421	0.065717355	0	0	0	0	0	0.066506447	0	0	0	0	0.028089102	0.072552957	0.079566901	0.038173788	0	0	0	0	0	0.041011161	0.023067296	0	0	0	0	0	0.0439051	0.054137447	0	0	0	0	0	0	0	0.011526174	0	0	0	0	0	0	0.086265773	0.012514809	0	0	0	0	0	0	0	0.008030897	0.167009389	0	0	0	0	0.0182177	0	0	0	0.040524305	0.054926507	0	0.025207464	0	0	0	0
