Mixture	SCLC01	SCLC02	SCLC03	SCLC04	SCLC05	SCLC06	SCLC07	SCLC08	SCLC09	SCLC10	SCLC11	SCLC12	SCLC13	SCLC14	SCLC15	SCLC16	SCLC17	SCLC18	SCLC19	SCLC20	SCLC21	SCLC22	SCLC23	SCLC24	SCLC25	SCLC26	SCLC27	SCLC28	SCLC29	SCLC30	SCLC31	SCLC32	SCLC33	SCLC34	SCLC35	SCLC36
B_cells_naive	0.003061282	0	0.08433256	0.022838438	0	0	0.019674986	0.042115422	0.010433849	0	0	0.004658584	0.008301254	0.000941589	0	0.021530467	0	0.021531951	0.038483516	0.032193719	0	0	0.035908432	0	0	0	0.038635825	0.029892079	0.013092381	0	0.064098362	0	0	0.010934771	0	0.013230819
B_cells_memory	0.006526896	0.096435156	0	0	0.083713068	0.101368591	0.028442447	0.018992239	0.052695211	0.080996698	0.057677092	0.070026286	0.071767701	0.04177095	0.146871219	0.085546244	0.114296863	0.036210169	0	0.026854622	0.050536863	0.076481786	0.031963837	0.050335851	0.101238851	0.087648948	0.038256254	0	0.03281061	0.083564614	0.029793524	0.125319641	0.069817412	0.068201269	0.109859884	0.08879378
Plasma_cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD8	0.123002539	0.044773982	0.154682318	0.158258368	0.163992545	0.214833319	0.256263365	0.232566124	0.242453405	0.135008924	0.047486912	0.19262587	0.176376036	0.220307139	0.060332935	0.101978868	0.180418539	0.105725388	0.348704808	0.169359922	0.080987851	0.201438244	0.138488402	0.17947119	0.152981942	0.135474529	0.042499708	0.299998386	0.231388666	0.097369636	0.12839637	0.081920056	0.222131129	0.216279001	0.079529504	0.245419831
T_cells_CD4_naive	0	0.03340619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_CD4_memory_resting	0.173470042	0.089162153	0.039168704	0.188552416	0.251347934	0.087984937	0.21145202	0.126345811	0.015204492	0.089742895	0.090777994	0.053698711	0.217530827	0.10624359	0.197909461	0.217452633	0.079164306	0.107889704	0.103279789	0.128387148	0.113985232	0.13245308	0.101968887	0.129478349	0.116919342	0.123536837	0.252386847	0.015634709	0.1259854	0.027116682	0.199305182	0.201813909	0.029437369	0.042946712	0.107147535	0.122064017
T_cells_CD4_memory_activated	0.110091015	0.166923578	0.163166896	0.192391168	0.100058168	0.193060034	0.1156598	0.173851895	0.079265826	0.166032792	0.114421299	0.077728752	0.113341147	0.100166179	0.176280139	0.125834582	0.165434228	0.201552599	0.11503967	0.155524183	0.158795746	0.0538629	0.154140641	0.162581755	0.186450069	0.153201705	0.090226118	0.217262621	0.120671913	0.135350928	0.117753463	0.098770011	0.116114917	0.148427125	0.169274285	0.091315067
T_cells_follicular_helper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005743831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_cells_regulatory_Tregs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010760183	0	0.003788502	0	0	0	0	0	0	0
T_cells_gamma_delta	0	0	0	0.014592485	0	0	0.000794526	0	0	0	0	0	0	0	0	0	0.052603258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070248547	0	0
NK_cells_resting	0.290437311	0.106638478	0.164070688	0.223639638	0.168725634	0.133008197	0.148339933	0.197021835	0.24043725	0.252386961	0.124631398	0.356357639	0.187901112	0.29064458	0.178339597	0.17060354	0.126131271	0.170687826	0.225170768	0.2745981	0.220797534	0.0602185	0.246930352	0.221426665	0.193064133	0.22482406	0.150090244	0.254599833	0.228162648	0.299970945	0.167076206	0.146605125	0.210963834	0.110755702	0.22704332	0.256976369
NK_cells_activated	0.011358222	0.019374939	0.022544094	0.015807139	0	0.00035651	0	0	0	0	0	0	0	0	0	0.01843489	0	0.015128429	0	0	0	0	0	0	0	0.018761085	0	0	0	0.056476716	0	0	0	0	0	0
Monocytes	0.153488208	0.249581888	0.192556654	0.065282761	0.148422554	0.133695049	0.11326971	0.126849086	0.229711723	0.140142285	0.310779987	0.142687998	0.140303293	0.117075893	0.097958031	0.140161516	0.148382838	0.14084133	0.060990544	0.066553624	0.187595075	0.385240671	0.150332441	0.16961243	0.13520913	0.140713349	0.242935678	0.092562589	0.143694378	0.146258668	0.170936761	0.276144796	0.196518411	0.143675298	0.179879479	0.13752152
Macrophages_M0	0.003749441	0.012196512	0.000924405	0.01251115	0.004287319	0	0.004536762	0.002361581	0	0.002647423	0.040766982	0	0.001990334	0.004862998	0.004280751	0.008340321	0	0.017154144	0.00698197	0.018022414	0.010901744	0.013983056	0.003302571	0.010941771	7.97E-05	0.021043404	0.015005653	0.000370684	0	0.010971472	0.014582258	0.018471729	0.029949639	0	0.00345267	0
Macrophages_M1	0.003167119	0.008294225	0.012676325	0.003059321	0.003020705	0.00124766	0.00340822	0.004675231	0	0.007646427	0.017154581	0	0.003006179	0.003926085	0.008714775	0.00716673	0.000933408	0.032068366	0.006518784	0.002072339	0.007482197	0.010032693	0.000776453	0.002782537	0.011342677	0.003381857	0.004962295	0	0.003979319	0	0.012901143	0	0.005374187	0.001758384	0.002813014	0.002882368
Macrophages_M2	0.000929853	0.020099553	0.039847345	0.011955769	0	0.01645606	0	0.011784313	0	0.006246304	0	0.021378426	0	0.005205625	0	0	0.011320729	0.004289448	0.011785145	0.009879169	0	0	0.030750099	0	0.012822497	0.002441227	0	0.014462878	0	0.012164915	0	0	0	0.006306332	0.01137755	0.006153316
