Mixture	BRCA001	BRCA002	BRCA003	BRCA004	BRCA005	BRCA006	BRCA007	BRCA008	BRCA009	BRCA010	BRCA011	BRCA012	BRCA013	BRCA014	BRCA015	BRCA016	BRCA017	BRCA018	BRCA019	BRCA020	BRCA021	BRCA022	BRCA023	BRCA024	BRCA025	BRCA026	BRCA027	BRCA028	BRCA029	BRCA030	BRCA031	BRCA032	BRCA033	BRCA034	BRCA035	BRCA036	BRCA037	BRCA038	BRCA039	BRCA040	BRCA041	BRCA042	BRCA043	BRCA044	BRCA045	BRCA046	BRCA047	BRCA048	BRCA049	BRCA050	BRCA051	BRCA052	BRCA053	BRCA054	BRCA055	BRCA056	BRCA057	BRCA058	BRCA059	BRCA060	BRCA061	BRCA062	BRCA063	BRCA064	BRCA065	BRCA066	BRCA067	BRCA068	BRCA069	BRCA070	BRCA071	BRCA072	BRCA073	BRCA074	BRCA075	BRCA076	BRCA077	BRCA078	BRCA079	BRCA080	BRCA081	BRCA082	BRCA083	BRCA084	BRCA085	BRCA086	BRCA087	BRCA088	BRCA089	BRCA090	BRCA091	BRCA092	BRCA093	BRCA094	BRCA095	BRCA096	BRCA097	BRCA098	BRCA099	BRCA100	BRCA101	BRCA102	BRCA103	BRCA104	BRCA105	BRCA106	BRCA107	BRCA108	BRCA109	BRCA110	BRCA111	BRCA112	BRCA113	BRCA114	BRCA115	BRCA116	BRCA117	BRCA118	BRCA119	BRCA120	BRCA121	BRCA122	BRCA123	BRCA124	BRCA125	BRCA126	BRCA127	BRCA128	BRCA129	BRCA130	BRCA131	BRCA132	BRCA133	BRCA134	BRCA135	BRCA136	BRCA137	BRCA138	BRCA139	BRCA140
aDC	0.015151024	0.038613121	0.064889269	0.0092805	0.02126044	0.005763603	0.011487505	0.105930945	0.022696237	0.039488699	0.085624737	0.100510237	0.062732477	0.019636052	0.091192517	0.010319908	0	0.103230924	0.083810434	0.012173042	0.010776937	0.008277307	0.028729408	0.017550274	0.006355209	0	0.004429493	0	0.019803376	0.044572866	0.021536129	0.033387929	0.022406783	0	0.017222711	0.01144554	0.000470122	9.04E-20	0.022428429	0.057420225	0.013235369	1.39E-18	0.0073472	0.018473492	1.56E-18	0.040453907	0.013457675	1.18E-18	0.049087612	0.03034655	0.018796219	0.03148093	0.019618068	0.005388894	0.019616726	0.017114568	0.048424508	0.001454529	0	0.042614507	0.01849642	0.020617422	0.04744051	0.035182354	4.25E-19	0.014908374	0.035493819	0.012830733	0.011379254	0	0.015496185	0	0.01741578	2.30E-20	0.051613542	0	0.000154255	0.003254195	0.023361634	0.001905292	0.035609179	0.005607796	0.024244581	0.012646144	0.071340779	0.04088015	0.006817431	0.05391399	0.096004803	0.0600772	0.024781661	0.029961635	0.005012317	1.19E-06	0.032686549	0.015038044	0.017871018	0.022012819	0.032062933	0.046771766	0.021167897	0.02144947	0.004268103	0.057870557	0.022599601	0.017943257	0.007667179	0.054760993	0.00590684	0.054981694	0.015927934	0.026947034	0.028149858	0.069757328	0.013222049	0.050215107	0.015848245	0.03507497	0.024630137	0.01396956	0.021411114	0.019526928	0.033560219	0.027048228	0.061018846	0.051087187	0.09515733	0.030820451	4.39E-19	0.024798581	0.041515756	0.035898718	0.020468683	0.041533567	0.049460885	0.093108615	0.055396899	0.032522095	0.023387682	0.011137759
Adipocytes	1.01E-19	0.001513648	6.64E-20	8.62E-19	2.50E-19	0.003346695	0	5.91E-20	0	0	6.86E-20	0	9.63E-20	1.45E-19	0	5.46E-19	0	0.010612523	0	4.59E-19	0	1.28E-20	2.28E-19	0	3.98E-19	0	1.13E-19	2.09E-19	0	3.13E-19	2.87E-20	0	0	5.54E-20	3.05E-19	2.40E-20	0	8.40E-20	0	0	0	2.32E-18	0	0	2.87E-19	3.62E-21	0.000146385	1.38E-21	5.90E-19	2.68E-20	4.20E-19	7.41E-21	0	0	0	1.75E-19	0	0	0	1.68E-20	8.62E-20	0	7.17E-21	0	1.52E-19	0	0	1.06E-20	4.10E-19	0	0	0	6.24E-20	0	0	4.37E-19	1.55E-19	0	2.12E-19	3.03E-20	1.49E-19	1.94E-19	4.29E-19	0.000367962	2.00E-20	2.66E-20	0	0	5.34E-19	0	0	0	3.38E-19	0	0	0	0	0	0	2.15E-19	0	1.84E-20	2.18E-19	1.70E-20	0	3.73E-19	0	3.27E-19	6.34E-20	0	2.78E-19	1.73E-19	0	0	0	0	0	2.45E-19	0	3.92E-20	2.56E-19	7.15E-20	0	0	0	0	0	7.34E-05	0	0	0.000175513	1.76E-19	1.02E-20	7.45E-20	0	0	0	2.15E-19	0	3.90E-20
Astrocytes	5.32E-18	0	0	0	1.20E-19	0	2.24E-17	3.83E-20	6.31E-18	2.52E-18	0	0	0	1.50E-18	2.15E-18	0	8.85E-19	0	0	0	0	2.05E-18	4.34E-18	0	0	3.48E-18	1.21E-18	5.06E-18	1.69E-17	5.51E-18	4.01E-18	5.12E-18	0	9.16E-18	5.81E-18	6.29E-18	4.51E-19	5.58E-18	5.15E-18	0	7.25E-20	6.16E-19	0	7.93E-18	3.70E-18	0	9.90E-20	5.43E-18	0	0	0	1.64E-18	0	2.19E-18	1.29E-17	1.75E-17	6.94E-18	1.49E-18	0	8.98E-19	4.60E-19	0	2.23E-17	6.73E-18	0	1.10E-17	0	5.76E-18	1.50E-17	0	2.81E-18	0	6.47E-18	1.73E-18	9.24E-18	8.53E-18	2.59E-18	8.28E-18	7.13E-19	5.95E-18	5.28E-20	5.49E-18	0	6.87E-19	5.67E-18	1.16E-17	0	2.88E-18	4.51E-18	0	4.57E-18	0	1.05E-18	6.96E-18	3.50E-18	1.11E-17	0	6.19E-18	3.02E-18	1.70E-17	1.23E-17	7.55E-18	0	1.86E-18	3.82E-18	0	0	6.73E-18	0	1.23E-17	4.56E-18	4.17E-18	2.51E-17	2.37E-18	0	5.82E-18	0	1.05E-17	6.83E-18	2.91E-18	0	1.48E-17	6.29E-18	9.52E-19	0	6.00E-18	4.15E-18	0	0	0	1.77E-18	0	7.60E-18	4.58E-18	6.54E-18	2.08E-19	6.85E-18	0	1.26E-17	2.35E-18
B_cells	0.013369569	0.052014817	0.112550513	0	0.085502799	0.002415631	0.133558789	0.127971583	0.019389368	0.122775423	0.068422801	0.109411943	0.105230834	0.049221703	0.0242104	0.084867433	0.036807199	0.073822335	0.162688857	0.070949556	0.096142231	0.158018689	0.151325342	0.172317068	0.09151656	0.144475604	0.095258455	0.211825361	0.064567605	0.13064839	0.106117814	0.161232803	0.192156599	0.10392564	0.137752999	0.196123278	0.079635091	0.086970072	0.158098835	0.014389446	0.099299167	0.057075162	0.124579562	0.100797187	0.1796006	0.187943996	0.121536441	0.09601012	0.131781881	0.152949943	0.130934635	0.103300831	0.086198769	0.03289144	0.057653462	0.095216549	0.087003938	0.083934283	0.10266818	0.075570837	0.063347843	0.149003428	0	0.038955355	0.120096074	0.06781379	0.050310794	0.17757013	0.020116684	0.026608234	0.155193633	0.136816042	0.184895186	0.156553206	0.147836828	0.118494206	0.119129423	0.119957762	0.140306303	0.179488308	0.128565879	0.095596823	0.098842444	0.031615802	0.104286121	0.084690458	0.172114859	0.041168531	0.096847462	0.0704218	0.113637836	0.142398165	0.09962943	0.197284888	0.13876262	0.149001093	0.125403911	0.164903029	0.027764673	0.071159978	0.15722155	0.076987567	0.137391054	0.07255591	0.196380198	0.072721007	0.128142564	0.127127748	0.161344447	0.129200886	0.108062111	0.119578679	0.122479596	0.07731858	0.070302089	0.08326373	0.120431192	0.092476399	0.089633661	0.094253816	0.109762051	0.004444543	0.142972155	0.052046087	0.018944343	0.069497795	0.138864023	0.110839607	0.145162184	0.10050673	0.089189706	0.154495438	0.087606351	0.096747222	0.085621841	0.111780803	0.123145256	0.075546616	0.119793673	0.126602693
Basophils	0.04702867	0.062340411	0.202813165	0.061303956	0.105040158	0.079166351	0.061080637	0	0.052233068	0.035917943	0	0.006424015	3.24E-18	2.14E-18	0.083368869	0.073249466	0.049818739	0.065226822	0.078473591	0.108982421	4.53E-18	0.035181161	0.03767804	0.070760602	0.035388891	0.015003399	0.01526186	0.042748574	0.110219178	0.043175833	0.080450926	0.041816115	0.01100092	0.069463027	0.048119788	0.027783819	0	0.065302514	0.073657575	0.060803078	0.08491895	0.084591533	0.065155677	0.116448895	0.043942737	0.012392742	0.048786312	0.07529503	0.068356108	0.101485282	0.081761638	0.06135706	0.042412229	0.035354364	0	0.053341254	1.61E-17	0	0	0.000809275	0.007640107	0.0002965	0.050380746	0	0.076212846	1.37E-18	0.067428697	0.028586281	2.18E-18	0.052472486	3.13E-20	0.053898222	0.018738285	0.056783902	0.026297952	0.037482436	0.050169926	1.53E-20	0	0.01232186	0.04005076	0.046140761	0.0846973	0.003774276	0.08694014	0.063406284	0.072100922	1.98E-18	0	0.046090223	0.035896785	0.039907636	0.028984723	0.005411948	0.033963269	0.087636949	0.017882217	0.047868518	0.047572519	0.087068124	0.04195578	0.014797571	0.027666582	3.25E-19	0.017839007	0.019353421	0.01277482	0.092343195	0.063432806	0.031529175	0	0.027447394	1.40E-17	0.001759517	0.039892281	0.053731585	4.87E-19	0.02833542	0.102056435	0.085702012	0.020763121	0.010345447	0.035003514	0.056038667	0.041411725	0	0.008561928	0.01286287	0	0.0022498	0.018108447	0.012746077	0.021314885	0.080187275	0.083310232	0.045941977	0.053557503	0.066933693	0.164066094	0
CD4_memory_T_cells	0	0	7.90E-19	0	2.04E-18	0.000630677	3.84E-20	0.00531762	6.87E-20	0	0	2.75E-19	1.52E-18	1.25E-18	0	1.02E-18	0	0	2.50E-19	7.35E-19	0	0.00448139	1.17E-19	0	0	0	0	0	3.14E-20	5.13E-19	0	0	0	4.77E-19	7.35E-19	0	3.29E-19	2.66E-19	2.57E-19	9.42E-19	0	0.001991231	3.56E-19	0	0	4.91E-19	0	0	1.19E-19	1.98E-19	2.12E-18	2.69E-19	0	1.47E-20	1.75E-18	3.88E-20	1.53E-19	0.003619185	0.006875386	1.05E-19	4.94E-19	0	3.81E-19	0	1.64E-19	0	0	1.39E-20	0.006953399	0.016680741	0.000889091	4.42E-20	0.008754474	1.36E-18	0	3.78E-19	0.006083031	1.00E-18	0	0	0	0	0	6.18E-19	0	0	0	7.64E-19	0	0	0	7.82E-19	0	9.29E-20	0	3.35E-19	0.000383435	0	2.76E-19	0	0	0.011574136	0	0	0.006346582	0	0	0	9.23E-20	0	7.51E-19	0	3.06E-19	2.12E-20	0	0	1.45E-18	0	4.59E-19	0	0.000903655	0	0	4.65E-19	0	0	0	2.74E-19	0	3.04E-19	5.41E-20	4.70E-21	9.41E-20	0	0	1.09E-19	0	1.92E-19	1.15E-19	6.11E-19
CD4_naive_T_cells	0.011965264	0	5.07E-18	0	1.22E-19	1.68E-18	0	5.52E-20	0	0	0	2.61E-18	0.005065891	4.92E-21	0	0	2.51E-18	0	0	0.008940784	0.005400115	0.021290037	0.012030651	0.033463796	0.024751919	0.01519228	0.025585016	0.014240921	0	0.001778359	0.002396614	0.016009047	0.024471247	0.000166892	0.023669768	0	6.68E-19	0.022216181	0.003351463	0.00624642	0.02614313	0.061177413	0.013716615	0.0123413	0.02362341	0.012409932	5.18E-20	0.021537383	0.023560888	0.003953116	0.015725259	1.09E-18	1.34E-18	3.01E-18	0.007135917	0.000290879	0	0.006600692	0.007395227	4.05E-19	0.01163423	0	4.94E-18	3.23E-18	4.05E-18	0.021019546	7.04E-22	0	0.012107689	0.044135432	0.021425225	7.80E-19	0.037344063	0	0.000572317	0.010223891	0.027260687	0.026833017	0.001216524	0.017338171	1.22E-20	0.000110226	0.01188513	0	0.010231777	0.004383899	0.004379992	0.000734876	1.03E-19	4.50E-20	3.91E-18	5.01E-19	3.52E-19	0.008093134	0.00385037	1.18E-19	0.000606724	0	0.001768073	0	0	0.047480443	0.016655952	0	0.015578629	0.041233202	0.00021915	0.002181254	3.22E-20	0	0.012019777	0.003457765	0.005639487	0.004019871	5.58E-19	0	3.26E-18	0.016878134	5.31E-21	0.007260642	0.044377762	0	8.58E-20	0.010415924	0	0.005421417	6.60E-18	0.004467181	0.007374437	0.001323493	0	0.012479297	2.70E-18	0	1.58E-18	5.20E-21	7.23E-19	7.42E-20	0	0
CD4_T_cells	0	0	0	0	6.39E-18	0.005832513	6.22E-18	0	0	0	0	0	0.000280026	2.88E-18	2.73E-18	8.21E-18	0	0	7.10E-19	1.14E-18	0	0.002255327	5.45E-18	2.33E-18	0	9.06E-19	5.08E-18	0.000369089	0	2.42E-18	1.79E-18	0	0	4.08E-18	0.008419742	2.97E-18	0	1.75E-18	1.53E-18	0	0.006500882	0.025074856	2.21E-22	0	0.012476539	4.49E-20	0	5.43E-18	0.003965584	0	9.51E-19	0	0	0	4.38E-18	0	6.55E-18	2.78E-18	0.00705774	0	0	1.71E-18	0	0	0	4.12E-19	6.24E-19	0	4.89E-18	0.026341453	0.012128279	0	0.017441032	6.98E-18	0	0	0.011282958	0	2.60E-19	0.000296559	0	0.000908184	1.09E-18	4.06E-18	0	3.29E-18	3.72E-18	0	0	1.07E-18	0	0	0	2.31E-18	2.04E-19	0	0.001878385	2.04E-18	4.89E-19	8.19E-18	0	0.035806809	5.07E-19	0	0.009417044	0	0	1.60E-18	0	2.36E-18	9.94E-19	0	2.43E-19	0	9.82E-18	3.81E-18	2.24E-18	0	0	0	0.029701674	0	0	0	3.99E-18	0	0	0	0.005461897	6.33E-19	6.18E-18	5.76E-19	1.96E-17	0	6.06E-18	1.68E-18	9.37E-19	2.58E-20	5.39E-18	2.06E-18
CD4_Tcm	0.034002895	3.01E-18	0	0	0.01890905	0.094677334	0.001414713	0.041997621	0.000951482	0.009756511	0.013407525	0.03481726	0.01901439	0	0	0.018841512	0.004508117	3.12E-18	0	0.009336118	0	0.063088319	0.049393592	0.086130158	0.046314462	0.03620108	0.058758973	0.032327622	0.03623441	0.041003162	0.034829917	0.026757478	0.043653581	0.005759861	0.065718343	0.038278702	0.023931638	0.060621479	0.034998155	0.028458415	0.077634673	0.10637767	0.057002016	0.06853513	0.081471096	0.05871025	0.064230446	0.05112194	0.07075633	0.032207058	0.05387033	0.007868691	0.012564039	0.008695147	0.012238633	0.032321637	0	0.038710002	0.049993486	0.029552536	0.060851921	0.02732337	6.60E-20	0.018657771	0.049772055	0.00560986	0.065137518	0.049176401	0.01205796	0.103876762	0.046324206	0.037754036	0.084860215	0.020470148	0.024298192	0.041716732	0.089885447	0.078188816	0.019059973	0.048479614	5.90E-19	0.055863647	0.047309845	0.021466215	0.034752948	0.022151184	0.031087872	0.015476135	0.030208463	0.073105185	0.017950567	0.049422558	0.041939368	0.030110048	0.034212646	0.051583053	0.057911592	0.053714603	0.042454147	0.024099361	0.021825422	0.106514625	0.049459789	9.14E-20	0.087342694	0.064250191	0.040954651	0.027950863	0.041839591	0.029287033	0.047091513	0.055996005	0.022257034	0.050628294	0.05312543	0.038029297	0.036277067	0.045155762	0.070735358	0.013155832	0.055414901	0.021435907	0.048912539	0.030222518	0.023321885	0.052655596	0.014946437	0.02725144	0.067958695	0.041498274	0.02879619	0.059998289	0.006504692	0.052598527	0.029383361	0.021267569	0.031075094	0.058911836	0.021675954	0.065624416
CD4_Tem	1.41E-18	1.94E-17	1.59E-17	2.13E-18	0	0.068801735	9.93E-18	0	3.87E-18	0	3.55E-18	6.61E-18	2.28E-18	0	0	2.42E-17	3.61E-19	1.47E-17	2.05E-18	0	1.20E-17	0	1.29E-18	4.22E-18	0	3.56E-18	3.63E-19	2.08E-18	0	3.79E-18	7.97E-18	2.44E-18	0	5.17E-18	4.26E-18	4.12E-18	0	0	0	0.005971317	4.30E-20	0.008843189	1.92E-18	0	0	1.36E-18	1.71E-18	1.35E-18	5.86E-20	1.05E-17	1.10E-17	8.12E-18	0	6.50E-18	7.11E-19	1.65E-18	2.25E-18	0	0	2.90E-18	3.34E-19	7.36E-18	6.47E-18	4.58E-18	1.12E-19	6.48E-18	4.35E-18	5.82E-18	8.24E-18	0.016224598	3.14E-19	4.15E-18	1.04E-17	1.16E-18	4.22E-18	1.08E-17	0	7.23E-18	0	7.06E-18	5.75E-18	3.13E-18	1.10E-20	1.34E-17	0	5.25E-18	1.02E-17	6.61E-18	4.21E-18	4.02E-18	3.92E-18	5.55E-18	6.22E-18	8.53E-18	9.30E-18	5.99E-18	0	1.92E-18	1.89E-18	3.21E-18	6.56E-18	0	2.50E-18	0	3.92E-18	2.06E-18	2.61E-18	0	0	3.87E-18	5.82E-18	1.82E-19	3.58E-19	6.67E-18	0	7.57E-19	2.76E-18	8.68E-18	0	4.62E-18	7.19E-18	9.74E-18	0	9.37E-18	1.36E-17	0	0	1.23E-17	1.20E-18	6.15E-19	1.05E-17	3.47E-18	6.73E-18	4.85E-18	6.63E-18	8.52E-18	2.01E-18	1.26E-18	4.78E-18	6.26E-18
