Mixture	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
aDC	0.0267086878029314	0.0269545511479608	0	2.29215384172297e-19	0	0	0	0.0138432398907882	0.0376897075843478	0	0	0.082345058213719	0.0585825978605458	3.60133285719394e-18	0.110552968722885	0.0107237997676307	0.0158355102021106	0.00570840556404464	0	0.0962585752266546	1.04057924281995e-20	0.0157243067620034	0.00759896308958148	1.70344649038684e-18	0.00732696132475916	0.0174843065404464	0.00225007198321859	0.0752929716629169	0.0398580822412834	0.0392644692856709	1.14645072057329e-19	0	0.00328598707372576	1.17943757748853e-17	0.0184016240177446
Adipocytes	1.69384381193451e-20	0	0	3.78665892592001e-19	4.47821333362604e-19	2.10626410985322e-19	1.05773050239178e-18	1.33469535264704e-19	2.7653570717734e-19	0.000164553713794673	4.25792091772016e-19	0	5.22347867399271e-20	1.66506640239289e-21	0	3.86281462635237e-20	0	0	0	0.0020295874385362	0	1.92301331645745e-19	0	0	5.83202538105776e-20	2.67526577102128e-20	1.84170976915849e-19	0	7.64472220604704e-19	5.65019413773427e-20	5.29009477980816e-19	0	1.95929838693349e-19	3.46834991159488e-20	0.021766727278623
Astrocytes	0	0	2.08043556428817e-17	4.84220029952191e-18	0	0	1.39423475262159e-17	0	2.46619103385653e-17	0	0	1.18346409370247e-17	2.35174366637481e-18	1.56707539202968e-17	1.76387208385322e-17	0	0	0	0	1.21254932111943e-17	0	1.0899912676453e-17	0	0	1.1489215057559e-18	1.12856340126211e-17	2.90868163111068e-18	0	0	5.5409369937278e-18	0	1.14218010816157e-17	0	0	2.59335348181261e-19
B_cells	0.013254412567467	0	0.0363966900477299	5.40847092365894e-18	0.0671549430180651	0.0499679321098781	0.167517477771519	0.097859568788018	0.0147496588335168	0	0.00033866545808538	0.0234603593084638	0.0397861384516555	0.0430146513800788	0.0491304035081296	0	0.0276578272266178	0	0.00978405817278103	0.138531060059661	0.0833088439603545	0.0187421861867833	0.166700275410575	0.0651373966011797	0	0.093974522098252	0.134026204474361	0.116178766844616	0	0.00885258234370878	0.051056006412832	0.0588990168157424	0	0.00935008199008372	0.0206658273260711
Basophils	0.0651626860780527	0.111406940584369	0	5.52653699450161e-18	0	0.0133001557949284	0.0380550605777716	0.101985111204229	0.176815697465673	1.33795838585705e-17	0.0331482173394813	0.201872179712337	0.0859240289306877	0.125616980839845	0.0840850803434242	0.0789404421079396	0.027534258606665	1.78529354116121e-19	0.149357913213552	0.189172421971477	6.65448512863681e-18	0.0595376444352338	0.077056573656614	0.0612730502363924	0.0194741051131246	0.0155250273460827	0.0329229229508083	0.137810622664467	0.0810135903121984	4.82647108213772e-18	9.33711470656742e-18	2.99743036091473e-17	0.0669501193190553	0.0247926382580589	0.172202966842629
CD4_memory_T_cells	0.0119949169783854	0.0238957071748432	0	0.0041431228508559	1.29939027231623e-18	0	0	0	4.02830993296704e-19	1.10360371871418e-18	0	2.61203728324476e-19	0	0.0129616721968867	0	0	0.00145525315744196	0	0.0144361126375291	0	5.84229683472971e-19	1.9188576516725e-18	2.95124282343999e-19	0	0	0	0.0286248413097134	0	7.6365271842916e-19	8.24359905391153e-19	0	0.00154671731112215	0	0	1.2607571481752e-19
CD4_naive_T_cells	3.48867514362833e-18	0	0	0	0	0	0	0.00721002915258686	9.18820017246445e-18	2.06533250144518e-18	7.90077815627043e-19	7.09318844784486e-18	0	0	4.47040805729715e-18	0	0	3.18580065157888e-18	7.77351819832083e-19	4.36297624093099e-18	0	0	2.15443598059082e-18	0	0	0	0	0	4.08930472189468e-18	1.65480028465374e-18	0	1.54156752486908e-18	3.58120983641722e-19	0	0
CD4_T_cells	0	1.11101911111062e-17	1.27927236576446e-17	5.50167725791296e-18	1.22103305815666e-17	0	1.52579476572116e-17	0	0	0	4.56446461079373e-18	0	0	0	0	0	1.11180744050768e-18	0	0	0	0	0	0	1.12668698011836e-18	0	9.42559784641624e-19	0	3.7017754601807e-18	5.26277602955644e-18	3.06863705994932e-18	1.18710085438318e-18	0	5.87286864611725e-18	0	7.57751464741803e-18
CD4_Tcm	0	2.37344844770446e-19	2.57185973440438e-17	1.78785692374251e-19	0	1.32283158740126e-17	0	5.64946259872516e-18	3.04254415015912e-18	0	6.91175855293518e-19	9.11181584447093e-19	0	0.00169914181115645	1.31131260451082e-18	2.58007322013385e-18	1.10165537341662e-18	1.32872321754611e-17	0.0184400736856394	2.25615654021036e-18	0	0.0214843437904717	8.76633742311331e-19	1.32835842507008e-18	7.48265162400085e-18	4.4723930624419e-18	0.0117149722983342	2.62501862340215e-18	0.0167558099857869	0	9.10699527680487e-18	0	7.30064104653602e-18	4.54078913692141e-18	0
CD4_Tem	0.0388214564505606	0.0421078007787189	0.00570352599714994	0.0404076184549123	0	1.62375554472101e-18	0.00178669579229925	0.0256901480718752	9.75459777414914e-18	0.0217042000823828	0.0666128840342221	0.0451153137102323	7.96509612774171e-18	0.0454856057497291	0	0.00802959038690015	0.00426982153966357	0.0254858243555704	0.145404549626113	0	0.0301513352812875	0.00632483859781453	0	0	1.4498486566896e-19	0.0599216872026239	0	0	0.00437213813510457	0	2.11530387541823e-17	0	0.0186933809452518	0.0279960568343761	4.78495074005727e-18
CD8_naive_T_cells	0	0	1.72685060331268e-17	1.70042390488384e-17	0	3.28004400258643e-18	1.09062558865572e-17	2.83693435185868e-19	0	0	2.04818289981524e-18	0	0.00584290133172744	0.0107598879711023	0.0060393256907699	3.83691022427875e-18	0.00492459524034549	6.71022737040539e-18	0.00674870556836602	0	0	0	0.0100444294332876	8.47584268376759e-19	0	1.44789298811206e-19	0.0144648939402809	0	2.07585671209515e-23	1.0742242972403e-17	1.43075909503218e-17	0	8.9375503009988e-20	5.45763510432926e-18	0
CD8_T_cells	0	5.62449772860559e-18	2.83798552631336e-17	0	9.02813246194109e-18	0	0	0	0	0	0	2.57435175676723e-18	1.80637765787335e-17	0.0123307806563644	1.39922934636875e-18	0	0.027857381276775	0	0.0127914500299104	8.47551715219952e-18	5.37043199806334e-18	0	2.10088501369517e-19	0	1.1165449870215e-17	7.43149497761281e-18	0.0152925745046097	1.46216985861878e-17	0	7.66952774746061e-19	9.53688167603674e-19	3.17312165642054e-18	3.79376088184601e-18	1.61944234341893e-18	5.63275430662825e-18
CD8_Tcm	0	0	1.00833477548088e-17	0	0	9.86435489513035e-18	1.19635037890259e-17	8.79853507529882e-18	9.39463331283941e-19	0	0	9.47776367239062e-20	4.31505914862572e-20	0.0203263153071566	0	2.15054197660248e-17	0.00146345855520521	0	0.00955114589152601	6.4652900651203e-19	0	3.49890251324049e-18	0.0114988883058121	1.44546315538924e-18	2.2938654715379e-18	4.42158031665779e-19	0	0	0	0	0	9.73689564246111e-18	2.09786146795095e-18	2.83783217638918e-18	1.39213569291069e-17
CD8_Tem	0	7.03220756927152e-18	0	0	0	1.35196444591686e-17	0	2.88713507797026e-19	8.41537283245467e-19	0	0	0	0	9.507331777147e-19	1.38635298098952e-17	0	0.0237371942974399	0	5.56560478056995e-19	9.91789510869793e-18	1.05501126778404e-17	0	9.88679365573666e-18	5.71439644790179e-18	8.85358034960503e-18	0	0	2.64046416558752e-18	0	3.36061376010306e-20	0	0	5.36415413595123e-18	3.83613018140653e-19	0
cDC	0.0870391482746683	0.00999200755894535	0	3.14919400426782e-18	0	0.00178342915415135	0.00811980333509457	7.13862575574708e-19	0.068590338834179	0	2.57971149028243e-18	0.0026612139371862	0.038664338092564	0.000824845432792426	0.0324026606823113	0.0356096325184632	0.00187948935962826	0.0579039944229104	0.0280500643439696	0.00888654196712525	2.96576776380556e-18	0.0354703494485413	0.0608943875393143	0.0925881844500382	0	0.120138263063171	0.0416209932361634	0.118762246196106	0.0376902280918931	5.0296594044641e-19	1.05698480839349e-17	0.00121325530122698	7.52461274911735e-19	0	5.36017045115075e-18
Chondrocytes	7.86624270854489e-18	0	0	1.84610767271474e-17	2.56427283589639e-18	0	2.2384888742834e-17	0	2.5894508183586e-18	0	0	0	0	4.28557977848346e-19	0.014943861736278	0	1.41566551232108e-19	5.4281687491849e-18	2.71755463162756e-18	0	2.40791634976767e-18	6.73500127760849e-18	6.63901765512108e-19	4.26295186428695e-19	0	0	5.17191703203069e-18	0	1.32473889079105e-17	0	4.94586378570332e-18	9.13562136975561e-18	0	0.00233081200985023	0.029660574343689
Class_switched_memory_B_cells	3.24287855218087e-18	0	0.0209613547890307	0	0.00143870274711904	0.0024359240620582	0.0797103539050056	0.0326442832973718	0.0137992395823021	1.25183655357834e-18	5.22681870549137e-19	0.0103472529860709	0.045811590850556	0.000368034947232587	0	4.29581656959086e-17	0.00142875099297956	2.880505676015e-18	0.00760234182199434	0.0948976631173969	0.0313069305408479	0.00939578170056978	0.0352406305190737	0	1.85354601060741e-17	0.117038115972045	0.0716735057222059	0.00868315230568422	0.0259722582805783	7.90755748032885e-18	0.0461641621161056	0.0163143506448968	1.50790122070282e-17	0	0.0193598527543442
CLP	0.00406142925691301	0.00918039592688771	2.54917496274953e-19	8.96053918342227e-19	0	0.00689300062145747	0	0.0114026455410032	0.0307600333308773	0.00643434527542983	0.0180386287289781	0.0116347448937313	0.0127814663930377	0.018523210713853	0.0383248742554496	0.0128271781399852	0.0200660887838827	0.000670565165823945	1.20509802974189e-20	0.0294667622854492	0	0.0155666908365277	0.0823453023018128	0.06090146972931	0.00360488513788674	0.0127847130178173	0.0315341462331261	0.054747864891657	0.00768597982011595	1.7587253633903e-18	0.00766326698641017	0	0.00246803909598131	0.0169243267218432	0.0347849772612682
CMP	0	0.0211664845438792	0	5.50202844503337e-18	0.000920010949899679	1.34763288028442e-18	0	0.0132198110958057	5.10590440948274e-18	0	0	0	0	2.6736686449851e-19	0	0.0404072945920168	1.50801185388078e-18	0.00473318578133661	0	3.03540635987564e-20	4.37476520660456e-20	0	3.60306911379982e-19	8.23389948512652e-18	0.0372353310379331	1.29156445599761e-19	8.80290970052286e-19	0	0.00356016400759058	0	1.47916022007358e-19	0	0	7.18073985776293e-19	0.0253211631063563
DC	0.0162331129441722	2.15855575446866e-20	2.01240874308431e-18	2.47678628954467e-18	5.69426158051232e-18	0	3.48412048656021e-19	1.55642926488458e-18	1.96457198005414e-19	0	7.90201653311958e-19	0.00233324919099038	0	0	0.00149043656464194	0	0	0	0	3.37387363107446e-19	8.05514476635843e-19	0	0.00209193592188223	0	2.06266664979179e-19	1.11819897672636e-20	0	0	7.40737609990872e-19	1.7804275382197e-18	3.40286555521529e-18	0	0	0	7.69467056724887e-19
Endothelial_cells	0	0	0	0	2.33956597319077e-18	0	2.85260823143185e-18	1.61583863279575e-18	0.010515599243738	0.00527396988169616	1.69549213794648e-18	0.00226697056470707	0.0215953070622642	1.21729473844415e-18	0.0159796248311474	0.0166339169866867	0.0131914746716272	1.49561610144649e-18	8.60560634510153e-19	0.000621459871125053	0	0.0289730539262733	0.0213061580319431	0.0100394347988754	1.82564462746918e-18	0.0208934191005337	0.000375193617637472	0.0249033063207189	0.0415942909067141	0.010163731309543	7.34490426806768e-18	5.33832456415571e-18	0.0121850155692057	0.00764638492048974	0.0144194477047339
Eosinophils	0.00874966028965334	0.00662419159642326	5.12804385576271e-18	4.72022741471605e-18	5.00089737159857e-19	0	0	0	0.00566408475695244	2.93924585096599e-18	0	9.62363312858362e-19	0	0.00736872161320368	0	0	5.08607933081598e-19	0.0165248187337078	0	0	0	0.001188251317303	0.0124536586098361	0.0032538172950265	0.0060575368401009	0.0202698376844042	0.00668172356882209	0	0.0176835915868583	0	1.01127520990918e-17	3.32707524163251e-18	0	0	1.11833018318403e-17
Epithelial_cells	0	0.00298639055104652	0.00890775029923609	0.002564954705848	0.0153360947134377	0.0111841597496197	0.0142705725157601	0.00815434755300896	0	0.0122111689350412	0.0113328251529754	2.00185470904293e-19	5.70636466679702e-19	0.0128215046244773	0	0.0258377989215336	0.00137998525126791	0.0152250983357265	0.004655674647753	0	0.0147785863062207	0	0.00198738563393195	0	0.00428064366995563	2.55161551765727e-20	0.00611348766271507	2.09647550505364e-19	3.02498673482146e-19	0.0109102133526174	0.0185189601672651	0.0141052208898463	0.0085590913554899	0.0174523124111452	0.00286210336679114
Erythrocytes	1.1367732185121e-19	0.00395559857821462	2.84477469550326e-18	1.11338548971657e-18	0	0	0	2.54770462975727e-19	1.77719402594121e-18	0.0116891912183533	0	0.00401124099853132	0.0141613503113915	0.000437082890132516	4.7131602162594e-20	0.00150926282440771	4.31487558084206e-19	0.00264451629788408	0	0.0408615568785224	0.00303505667285102	0.00719853197752655	0	0.00793486389384367	0.0171352520332694	0.00560211871206234	0.00735269397416914	2.0571535268965e-19	0	1.63573950668684e-20	0	0	0.0112612958038845	0.00266094540629283	0.0017200336403105
Fibroblasts	0.0111945478582494	2.79658898942208e-18	0.0924708899606408	0.038256630354448	0.0439584942553452	0.020756293537552	0	0	0	0.0979956167414603	0.0190858903703662	2.15006432221795e-17	3.32621078511117e-18	1.02082398100218e-20	0.0507534975717795	0.016502803224689	0	0.0336607506277912	4.33840834244144e-18	0.0408160411662014	0	0	0.00557061163451244	0	0.0394307094805026	0.0106199159915181	0	0	3.21193467060888e-17	0.0476944467804552	0.0376610924704171	0.0139352486473106	2.63905993741915e-19	0.0592512253756697	0.065207712907171
GMP	6.28233669189438e-18	0.03912617642585	3.40267628872126e-17	0	5.36637533515116e-18	0	0	1.1966086385782e-17	0	1.82155924673992e-17	0	0	5.96070555787376e-19	1.05051765085968e-17	3.99367392601802e-18	0.0267150087917675	0	0.0096959398359264	0	0	6.63145918077423e-18	0.0177926235947446	0	0	0.0273177412814134	0	0	0	0	0	2.200765353331e-18	5.96650920738874e-19	0	0	0.019990060031106
Hepatocytes	0.00064504537049363	0	0	8.05110468035263e-19	1.69947620401648e-18	2.04732886343003e-20	0.00180781890820902	2.28854233644298e-21	0	0	0.00139323204327531	0	0.00311768349012179	0	1.41182924660664e-18	0.00586815061200744	0	0.000390993164651938	6.92321791004912e-21	0.00267006233043574	0.000108283625006089	0.00168464277449071	5.50190323681321e-05	0.00253928972434952	0.00350124461438147	0.000366709520565709	1.78413078230419e-18	0.00275558792597017	5.89005957583711e-19	0.00108193198866403	4.18924181295046e-20	0	0.00243577041622249	4.02710178463844e-20	0.00152356511910135
HSC	0.0448880949704772	0.127040224644865	0.101271815355927	0.155871059135104	0.13087691756696	0.135175273266491	0	0.114216007086088	0.136306786142153	0.293118672977999	0.167720544464059	0.119379941879569	0.239105386415825	0.0753289806593935	0.149997848567406	0.126774040817097	0.168499521248036	0.114334374194762	0.075989894936719	0.0600228205552353	0.121099309321515	0.332964251559717	0.103346453540228	0.115420831011374	0.204467590641328	0.125329360940251	0.102165025221751	0.0163961115141789	0.237374923357687	0.223594557762098	0.0638206800064369	0.0527813156924432	0.213192128335708	0.195979599616421	0.261762364538621
iDC	0.161954906394499	0	0	0	0	4.15629180128932e-18	2.8153727170174e-17	0	0.0931355519297532	0	0	0.00854577143312661	0.0085619494215345	0	0.0123962563060397	0.0192339538246278	0.0709854309618752	3.83207904270247e-17	3.07921324513628e-18	0	0	0.00148550519575331	0.0284126729628751	0.142076794591163	6.37627349820587e-19	0.0191387059476107	8.77667304273268e-19	0.0402440550386131	0.012116635193693	0	0	0	0.00719053691115444	0.0745104170717399	2.42479190434263e-18
Keratinocytes	0	0	0	3.34867227632471e-19	1.28388005972075e-19	0	0	0	6.24312980663456e-19	1.31952921449617e-19	5.59055841655811e-19	6.53847407586965e-19	6.91949064196492e-19	1.45185647878803e-18	1.94270699983645e-18	0	5.76511072734557e-19	0	0	5.47630766595528e-19	0	3.41586436535643e-19	1.30309565508905e-19	0	0	0	0	1.09476965779639e-18	1.46481227138164e-19	2.78009910693431e-19	2.17437353984184e-19	2.06117104376851e-19	0	3.00417303553675e-19	0
ly_Endothelial_cells	0.000143118747354524	0	4.77655912641182e-18	0	0	8.51261395609547e-19	0	4.48933353690469e-19	1.81261721922571e-19	5.4443390245379e-20	0.000384858913859554	2.55186413555121e-20	0.00678310092172453	0	0.00772851466656818	0.000435058396813537	0.0031578049693522	0	0	0	0	0.00545047328478184	0.000748985298893524	5.8440234920095e-19	2.88048192023602e-19	0.00793875195479947	0	0.00269360735254372	0.0217802919677533	0.00148044397236703	1.52886361003819e-18	0	0.00194139135196266	0	0.00423742738952566
Macrophages	0	1.5791292524489e-19	3.40132414780025e-18	0	0	0	4.01467392659541e-21	8.3187974477842e-18	0	4.07092333082522e-19	0	1.32312876750404e-18	0	2.86922290644139e-18	2.99549691085806e-19	0.0025991951592146	0	1.80934083822553e-18	0	3.01028332598353e-18	0	0	9.59686404396757e-19	0	0	0	0	0	1.67420705148882e-18	0	0	1.32902973352408e-18	2.19573219149792e-19	0	1.97953138466861e-18
Macrophages_M1	0	0	2.44491454754199e-19	1.00086605904538e-18	0.00150437293632734	4.78586056166673e-19	1.26475127139914e-20	2.37241618385574e-18	0	0	3.13417129461924e-18	0	1.03650413477148e-18	0	0.00167215295673398	5.59274581948045e-19	0.00461082915297696	2.76214011717947e-18	0	0.00605059049707234	1.24966579538209e-18	5.20419661646898e-19	0	4.74996239779896e-19	0	2.95209004289017e-19	0	2.63140027070556e-19	0	0	0	0	6.02791904944501e-18	0	0.00328330901992717
Macrophages_M2	0.00831863119919484	0.00230313734034949	0	2.06913980967838e-18	0.008478865641788	0.00231803976284761	0.000488492652949333	7.82201891914472e-19	0.00551893724187346	0.00918450185555784	0	0.00476120925789614	0.00608250320373969	1.32801149563687e-19	1.87191466436724e-20	0.00538874796131061	0.00404787048057818	3.64227438198969e-20	1.96117435595593e-18	0	0	0.00278943470797255	0.00848685231967959	0.00102486526833795	8.12137003814236e-19	0	0.00119521670399461	0.00748118758889462	0.00978129535262243	0	5.55169086483475e-19	4.78775040402531e-19	0.00179253564701017	2.59409265911515e-18	0.00274913782909937
Mast_cells	0.0085578127118672	0.00448951940533906	0.0001911051224964	1.20045185981254e-18	0.00764143825562598	0.00603891665591659	0.0146497422533006	0.000936851158398177	4.13622433433279e-19	0	0.00278836695878683	0	0	0.00322453325660593	4.23044566151906e-05	0.00174933583139902	0.00170673883524021	4.81370427474234e-21	9.19855067635808e-20	0.00731386833962708	0.000722667282199017	0	5.66532675046131e-20	0.00644651661933484	0.0115743821039757	7.50175411081327e-20	0.00212041680563583	1.22994219221199e-18	0.00612448971072693	1.3370760693681e-19	5.25194356277556e-19	3.64505666758332e-18	1.68076701725155e-19	1.61176084480507e-19	1.93030322886345e-19
Megakaryocytes	0.0124965715497703	0.0132328320189122	0.0255849324977979	0.034106205992971	0.02131841597454	0.017439975651896	0.00878857924266048	0.000717311362301733	2.30269441080122e-18	0.0168232109834359	0.0252278549345784	0.00214203681549051	0.000943667202558801	0	0.0111953684059125	0.0242519525026007	0.00506996711862279	0.00939637106497055	0.00219712458482242	0.00161384343942901	0.0107304671974052	0.00935745367026857	0	0.000149775635546049	0.0254050672174811	0	0.00750109618556154	0.011447488098598	0.00691882897266818	0.0313019274626359	0.00237314180364385	0.0018881322949595	0.0217458701720376	0.0194993711145522	4.84148536046585e-20
Melanocytes	0.000781148693927631	3.58871865568321e-05	0	0	0	1.17425829148922e-22	2.314351722198e-21	3.98251654094018e-21	0.00208990476186476	4.14380390773699e-20	0.00105661740456875	0.000606793969854737	0.00207414044445178	0	0	0	0.00119048383323046	0	2.56635052609431e-05	0.00229996996782248	2.13206917126421e-20	0.0014917832938791	0.00165256853042114	0.00446124676471112	0	0.00165242859023014	0.000809845405434104	0.000753402845574557	0.00213832390973137	0	0	0	5.78392457308774e-06	0	0.0017022961456955
Memory_B_cells	1.58712060971585e-18	0	2.93337295621096e-18	2.85153628777944e-17	1.14258560847864e-18	0	0.0294045543596692	0.0435268014132288	0.00771058274304715	0	3.97583423358375e-18	5.22314786286356e-18	0.0138574993190931	0.00314560172222594	0	0	3.39361807410877e-18	2.32044764686868e-18	6.07175073693189e-18	0.0584047085320382	0.00754874025163599	0.00583480559934041	0.0461505091742692	0.0374754612350633	1.13546516909151e-17	0.0139111089698849	0.0362977103179682	0.064762575760351	5.15617577614139e-18	1.48452355336876e-17	2.79553418298787e-18	1.24805806040002e-18	1.34655180434125e-18	0	1.59652589937891e-18
MEP	0.00909702675270373	0.0128521999215759	0.0145265779943514	0.0344779350858338	0.00980527881438144	0.0262761445847106	0	0.0238188707473943	0.0134705348250836	0.0182565105653333	0.0369435066586145	0.0603201642180803	0.0630328015773845	0.0165097370377035	0.0223219939472332	0.0291401992681414	0.0382359769240012	0.0224464138376417	0.00289616408078289	0.0388638538526659	0.0396338223195886	0.0459730958720785	0.0298050311469617	0.0494746900991866	0.0449891435703705	0.016311102717979	0.0173847750347769	2.08104168925417e-18	0.0227824145379815	0.0397563422551715	0.0355482359510025	0.0218944200218939	0.0204041062824856	0.0255587451256334	1.02334864766961e-18
Mesangial_cells	0	3.26345749341264e-18	4.74970774244778e-18	0	0	0	2.4816818997252e-18	0	0.00515299619715054	0.0205919380521732	0	0.00462220290533316	1.77914687771876e-19	0.00641081290678625	0.0112463072915926	0.0028607359853827	0	0.00740189886877567	0.0155799623627706	0.00509001637842673	6.95007426771378e-18	8.37824975591819e-19	9.38323465208602e-19	0.00743542243982419	0	0	0	0	2.03097224118551e-19	7.9641891759621e-19	0	0	0.0106615545382389	0	0.0146136120492858
Monocytes	0.00579704762839085	0.0115593678668572	5.75647037997945e-18	2.35909134928978e-17	0	0	0.0239546546228515	0	2.67118593724492e-17	0	0.0487994089607105	0	1.11301269070004e-18	0.044547506359257	4.61779196458489e-19	0.0183732745301674	4.61431781110287e-18	0.0745621454930115	0.0418315773615552	1.65426668282886e-17	1.45326999770074e-18	1.78078595900319e-19	0	0	6.28671096742194e-18	5.69720435019216e-22	4.71729316422902e-20	1.1663292094034e-20	0.00734897079795567	4.93296684038619e-18	5.53261489660389e-18	1.58797007389474e-17	0	0	3.53735977412314e-18
MPP	2.48179450098381e-17	1.25524004313544e-17	0	0	3.01934430614564e-17	0	8.69153425258571e-18	0	0	1.1352898410078e-18	0	0	1.8854877179464e-19	5.44398527764636e-18	0	2.35787415064294e-18	3.16679107811199e-17	2.60690118508948e-18	4.8079080149478e-19	0	0	1.62571926129787e-18	8.13793618910633e-18	8.38489955929929e-19	3.81608254844698e-18	4.70254959417409e-19	0	2.20992442654823e-17	0	1.41886826426646e-18	0	3.10270414342863e-17	9.78866090664809e-19	0	8.48697267704555e-19
