Mixture	ESCC1	ESCC2	ESCC3	ESCC4	ESCC5	ESCC6
aDC	6.67566703032664e-19	0	0.00240732958333769	0	5.42894615310507e-18	0.0119290922516798
Adipocytes	3.52163334690919e-19	0	0	0	4.54353885991076e-19	0
Astrocytes	0	1.63198427792038e-18	0	0	2.0266289059775e-18	2.68949624816808e-17
B_cells	0.0213793345315022	0.00768598499638763	7.19344332083836e-20	3.71977067426767e-18	0.00404769131956277	8.15239701895274e-18
Basophils	0.166657754754635	0	0.104846989395989	0	0.0632534279515526	0.037979471639149
CD4_memory_T_cells	0	2.34876357094785e-20	0.00422590300554204	0.0179408387618969	3.57406392686204e-19	0
CD4_naive_T_cells	0.0109043838798189	1.38626388893084e-18	1.17688617174941e-18	6.59407612372612e-18	0	3.20454279553371e-19
CD4_T_cells	6.92461912389456e-18	0.00307969376672088	1.29660009721627e-18	0	0	0
CD4_Tcm	0	0.0393230579235134	0.0165940894553662	0	2.38549973710744e-18	6.58636843354722e-18
CD4_Tem	0	2.9792230139704e-18	0	0.0138135604824909	4.53346333609609e-18	0
CD8_naive_T_cells	0	0.00760035508902228	0.0298078808360091	0	0.0151694873776007	5.15997007028112e-18
CD8_T_cells	0.0756024687380695	0.00040556955712239	0.00241739290772386	0	2.86812191108271e-18	0
CD8_Tcm	0.00546656015709425	0	1.08420675967389e-17	2.59063640945312e-18	2.73521626034689e-05	0
CD8_Tem	0	1.51265372611788e-18	8.56986839031334e-18	0	0.00871806878293193	0
cDC	2.81649793990222e-19	0.0469012991232284	0.0042845254295551	0.0479661515995044	0.195250930543531	3.99736094529472e-18
Chondrocytes	1.49499482478858e-17	0	4.09154552398053e-18	0	0	0
Class_switched_memory_B_cells	0.00385119116934705	0.013142109661073	0.00620572943157215	0	0.0102354647334389	0
CLP	0.00817808968149224	0.00328442887471346	0	1.82786277764367e-18	0	6.64709710934551e-19
CMP	0.0104059462559465	0.00575467905145896	5.98403659139889e-19	0	0	1.00493276093666e-20
DC	0	6.06313587516322e-22	0	2.00190580919364e-18	6.59110128598998e-19	0.00569306234147374
Endothelial_cells	0	0.00710917313252131	0.0110987985406319	1.95020873171387e-18	1.20354741672839e-19	0
Eosinophils	2.62559134438121e-18	5.60644052531937e-19	0	2.70612734842215e-18	1.43223459629359e-19	1.70331938071968e-20
Epithelial_cells	0	0	0	0	0.00275164277684478	0.0163439272762714
Erythrocytes	0.000689707820064602	0	0	0	2.44043731247192e-19	0
Fibroblasts	8.62291919860851e-18	0	6.94326303456945e-18	2.53230521024504e-17	0	1.64530713188905e-17
GMP	0.00612680164983033	0.00653009159161458	2.43873919954507e-18	0.120237601672999	0	0.0584390557765761
Hepatocytes	0.000347008500887113	6.19775781873958e-19	0	0	0	0.00449697330479842
HSC	2.86628070906329e-18	0.0296653653887707	0.119156791325788	0.135290944588483	0	0.142440146770326
iDC	0.0278325050251929	0.137070048264276	0	0	0	0.0245421826455853
Keratinocytes	0	2.45670218448056e-20	0	0	3.67258534253485e-21	0.000200197099296435
ly_Endothelial_cells	0.00112979532476027	0.00508320135960609	0.00187556214195143	3.42701428166655e-19	3.71905235031653e-05	2.13996007181886e-20
Macrophages	2.46371312486077e-18	0.00434985553082364	0.00843274542968746	2.09886028402811e-20	0.0214213043521148	0.0149302774773756
