Mixture	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
aDC	0	0.00496932424755593	5.09631179081729e-19	0.0274909157007976	8.73459506508475e-19	0	0.04817225616703	0.0177199384379073	0.00314717016045558	1.00233387737406e-19	0	0.0841143905304282	0.0127883017465976
Adipocytes	6.18086535839634e-19	0.00412580672549142	7.07657787301304e-20	2.03428198812672e-18	0	8.81945922865745e-19	0	0	0.00221616039239443	1.67577201047261e-20	0.00628160431734334	2.01224020716972e-20	0.00494050855381011
Astrocytes	0	5.03725144790956e-18	6.13721995538253e-18	9.27568019587154e-18	1.57839440490913e-18	0	1.30583253366561e-18	0	8.76175302506065e-18	0.0199480072708207	2.04397860532621e-18	1.51727470571578e-17	4.91339572788457e-18
B_cells	0.110953879573913	0.00643833758772609	0	0	0.0105585233189005	0.118139696069491	0	0.0561261415071766	0	7.10048693810225e-19	0	0.0222931919827122	0
Basophils	0.0998955482439033	0.106653953376611	0.0781032718219308	1.43892721763742e-18	0.0815504527980108	0.045313692394929	0.0634201173931526	0	0.0414293983691226	1.50106235943677e-19	0.0337344448266503	0	0
CD4_memory_T_cells	0.0134405389450662	0.0312530809641522	0.02540236192995	0.00536489801862436	0.0387584903851753	0.0385737065815844	1.67597603877154e-18	0.000773160194830238	0	3.38916607756292e-19	0.00291066751764442	0.00182258182067003	0
CD4_naive_T_cells	2.21804017753631e-18	3.67361272288641e-18	0	0	0	0	2.96055598682009e-18	0.00846688881671763	5.51896456364821e-19	9.60055666163928e-18	0.0281115319741379	6.57119973823743e-18	0.0105493918979837
CD4_T_cells	4.84321757488133e-18	7.54725559151733e-18	0	3.7287157654663e-18	9.76380233597125e-19	3.26357429659604e-18	0	7.28188909922048e-20	3.56176274699357e-18	0	0.00770813443623197	1.02118945345757e-18	0
CD4_Tcm	2.89643235582926e-20	6.3609213158788e-18	0.00792403749365675	1.37281600857701e-18	0	0.00434426645249261	0.0230066691352979	0	1.33134927676994e-17	0	0.00667916807477854	2.47997041586407e-18	1.3658125381785e-18
CD4_Tem	0	2.6878280666303e-18	0.0192701634250176	2.17297060678819e-19	4.89635153228025e-18	8.14190041630519e-18	0	0.0212424767312231	0	0.0702076940407797	3.05012064209038e-19	0.0279156353716156	0.0117099212004539
CD8_naive_T_cells	0.0665316548118308	0.0160769104705957	0	0.027742426313585	0.048615870319611	0.0146805651551113	0.0183659105297302	0.0196536319579148	0	0	0.00498205424400803	0.0193692944417386	1.06637188192842e-18
CD8_T_cells	3.83876129704277e-18	0	6.54191386060932e-19	8.63113656953648e-18	0.0155907829115342	5.28519880140622e-18	1.96142646785139e-18	0.0463147496668691	5.75601552662842e-19	7.70249509858816e-18	0.00298054304568943	0.0241108553466997	0
CD8_Tcm	4.26152104743149e-19	0	7.30268076537651e-19	1.47307681327376e-17	0.0203744690459212	8.15234758394773e-18	0	0.0372308819727364	2.3902117923955e-18	0	0.0171668714567931	0	2.0955143952365e-17
CD8_Tem	0	0	0.0046060166343663	2.8278906401268e-17	2.2013724954601e-18	0	4.79652944454381e-19	0.0141452726852367	0	8.53323883386027e-18	0.0220520387154823	0	3.44465385008805e-18
cDC	1.86651461527132e-19	0.0577666679805408	0.0832976935056529	0.00138278110727789	0.0270152005352278	0.0106316188470717	0.0201210864519216	0.00738570989514902	0	0.0938030894655642	0.208101055186494	2.50857692557375e-18	0.0226512141532652
Chondrocytes	0	0	4.24431387763568e-18	9.29169616934902e-18	0	6.55865424506293e-18	0	0	0.00255251521192352	0	0.00478107069963794	0.0212533663243983	0
Class_switched_memory_B_cells	0.0393965465762342	0.0179273044273896	0.0167276958434099	0	0.018949547263228	0.0333901887007297	0.00790287074665522	0.058019777210659	4.87485683138836e-19	0.00966450215826432	0	0.0135620647470261	0.0166050892471666
CLP	0.00219115332980852	0.0221627207829408	0.0219459971088588	0.0500243150040357	0.00617965425272476	5.21771707099282e-21	3.19166232614422e-20	0.138474971468514	0	8.4542944350052e-20	0	0.0559750828076759	0.00766295921595267
CMP	0	1.32619321706914e-18	0.0202585390502887	0.00712296112411811	0.0109866530984139	0	0	1.15971983995677e-18	0	2.50180707214659e-19	0.0159889650263805	0	1.95138307526914e-19
DC	0	0.0110974314157971	0.00942657547620199	1.59078423031892e-18	3.18566837207161e-22	0	0.00206031140307149	0.000801681208808665	1.25895843273847e-19	0.0175014009645254	0.00158063604502922	4.61747878807367e-20	2.19117647771746e-22
Endothelial_cells	7.63464407506874e-19	0.000372259252659429	0	0.00961282498371001	0.00095967916410836	1.28755155058928e-19	0.00357643865765488	0.0074019590458221	0.0320785242141243	0	0	3.19888016170893e-19	5.88954261747062e-19
Eosinophils	0	1.15401971621041e-18	2.34875144686357e-18	0	0	0	0	0	0	0.00593993982484689	2.88678842240926e-20	5.88937190656998e-20	0.000882838117950754
Epithelial_cells	4.31985243156798e-20	0	0	4.16038843131365e-19	0	0.00346208163958418	0.0126050693850133	0.0044148527864763	0.00938163910972069	0.00551601018636121	0.0231658731561177	0.00341381735877651	0.00289404759614487
Erythrocytes	0.00120472960213475	0	0	1.61885791943994e-18	6.38385844744034e-05	0.00606510876715709	2.19783654492093e-21	0.00107423591172123	8.73833451350742e-19	0	1.62878778609432e-19	0.00352802766675517	0
Fibroblasts	0	0.018760114479051	4.40830868231641e-18	0	1.54191500949119e-17	0.0212260762344162	0	9.24960455952013e-18	0.0177886659623189	3.69409358173125e-18	0	0	1.26722741168814e-18
GMP	0.02248526191547	0	4.49270535396035e-18	1.06049762692281e-17	0.0467526605187278	0	2.0238180270454e-19	9.01482686409417e-18	2.70534680760352e-20	0.0239673314879694	0.0123798682867018	0.00298742414549712	0.0620377367174785
Hepatocytes	0.0015380174736484	0.0020912328417983	0.000718897940729291	0.000626258887298069	0	0.00213394034634273	0	0	0.000920422294782822	4.77776519960363e-18	3.27412994483469e-20	0	1.93664654315333e-20
HSC	0	0.0139080984366782	0	0	0.11270557733341	0.0111466211686982	0	0.0217790652901493	0.0028873830003147	0.131809984209882	0.0166022576740699	0.00246681611811551	2.42411667114721e-18
iDC	0	0.0507889718431812	0.0324781061469417	2.11792104226421e-17	0.00350138240325489	0	9.93365744232749e-19	0.0383460286479768	0.0566268425211922	0.0999659296281252	0.0640737688348725	0.00513922897473462	0.0348643693678981
Keratinocytes	5.64703533402486e-19	2.56138628066098e-18	0	4.95379056229334e-20	1.26002936465019e-18	1.38909388540349e-19	0	0.00165367196062298	1.08315987122703e-18	0	1.99960983579864e-05	3.20403749099892e-20	3.15041274874233e-20
ly_Endothelial_cells	4.72360654563067e-20	0	0.021098319944326	0.0014003995667069	0.00493527936117295	0.000762831580662581	0.016292632503208	0.00844384818046594	0.047030831390232	0.0122612697676667	0.0171303599562122	0.00205391176440989	0.00876479377210638
Macrophages	0	4.75160891271905e-20	0.00178560400204122	2.14459841002867e-18	8.58798444856469e-05	0	0	0.00874553905957836	0	7.38759025865574e-21	0	1.69684213397449e-18	0
Macrophages_M1	1.54106925728388e-17	6.24583284273998e-19	0	0.00170294550659167	0.00343855406783053	0	1.34127203308494e-19	7.07566939811494e-20	0	1.45551670944911e-19	3.26193091600464e-19	0.00258904563826557	0
Macrophages_M2	4.07016218279758e-19	0	0.00481126362227033	0	0.00767431081134128	0	0	0.0159073023128314	0	3.30328303336995e-19	0	0.00102701336460343	1.42300301945744e-19
Mast_cells	0.0104696912082058	0.0123770237475566	0.00194592482841254	0.0234668705799344	0.0253183904638166	0.0116469900980318	0.016075140251469	0.00117911462815256	0.00744345008451475	5.4908107853691e-19	0	1.3767202242978e-18	0.00761380919739641
Megakaryocytes	0.00426366705211087	0.0189973094817424	0	0.00924956155570966	0	0.00143162651288686	5.5495106357241e-20	9.50903825288077e-05	0.0427237995351159	6.04951191282437e-18	7.20887071707036e-19	0	0.00408467282383818
Melanocytes	0.00129112892897694	0.00104497684584719	0.0085580321432886	1.49854684872534e-17	0	0.00505144928032634	0.0262558208079361	0.00151057381553682	0.00671891525735622	0.0100211431603243	0.0101559392745434	0.00398999172085774	0.0113964973906653
Memory_B_cells	0.013621912083962	0	0.000215915123678137	0	0	0.0541553427969466	4.19414536789509e-19	0.0223842512268061	2.73300939694984e-18	2.92560486349772e-18	2.8909778221598e-18	0	2.7543732195555e-18
MEP	0.00226036087377338	0.0135045942270486	6.5125000376882e-19	0	0.0213089044948048	0.0332978638343977	0.0281815454273787	0.00234884008276715	0.0135037978403009	0.00857239110238613	2.07518702107001e-18	0.0115402993534212	0.0011085113267621
Mesangial_cells	0	0	4.52164330899623e-19	0.0061402769352351	0.00184042689353095	4.17588240236836e-19	0.00279921877742572	0	0.0613030828023048	0.0134747367602556	0.0366503216051951	0.000699864192970148	0.000557454592772347
Monocytes	0.0926944050005342	0	5.15194545075389e-05	0.119859663998548	0	0.0491596537446959	0	0	0	0	0.00810862535472783	9.65420180562125e-19	0.0446989791642027
MPP	1.53800056017386e-17	0	1.56235015565282e-18	0	0	1.49207030378852e-18	0.000754148802914727	0	0	7.44995355650368e-18	6.3705194249724e-20	3.13864652038259e-18	0.0293495962998743
MSC	0.0949051597892076	0.0181638954328752	0.423426856223495	1.56320765056736e-17	8.40844120253772e-18	0.0675961763456882	0.29041953277219	0.194500256525837	0	0.16889173929413	0.0923999830137546	0.232776303068861	0.171580016159941
mv_Endothelial_cells	1.42958907034545e-18	2.79517138920282e-18	0.00477535742086549	0.000624220753923382	2.59254469322661e-19	0.00347177052648429	0.00606212074172653	0.0223065974925769	0.0352674216077549	0	0.0146454815602509	0.00599252790291559	0.0150942776717282
Myocytes	1.32552149416542e-18	0.00139582008345006	0.0183060732167878	0	6.17789452499107e-20	2.64176705117499e-19	0.0252687636621756	0.0103883216683089	0.0237288616619748	0.0347583700576785	0.0115092181352963	0.0252463162956564	0.0105779890234642
naive_B_cells	0.0122925770139354	0.00356146005295527	3.99063286518508e-18	0	0.0055514020082803	1.30760748379716e-18	1.9561677442379e-18	0.00258661554204302	0	0	2.23398826126467e-18	1.38170045511777e-18	1.60259992229486e-17
Neurons	0	0.00122307576731306	0.018678283337068	3.77529609980303e-20	0.00168555479114384	0.00382910953872565	0.0277828142268542	0.00731061353747642	0.00159962683321883	0.0217163496628449	0.0125249074245584	0.0116161031122517	0.0116372204110695
Neutrophils	0.0716498867750815	4.25897270797097e-19	4.78235628891637e-19	0.0436519089816062	0.00876686840424975	0.0285300065564804	8.17678680158843e-19	3.13645502684509e-19	0.000726115598588669	0	0.0174812455164018	9.70307380355764e-19	0.000339029053363702
NK_cells	2.99194360465617e-17	1.72258535883591e-17	6.54333974514958e-18	8.95565925903955e-18	0	2.42525930333224e-17	0.0433382833770242	1.69252530324467e-18	5.97774882886662e-17	3.65064665123009e-20	0.0129037146262586	0	0
NKT	0.0649252956233943	0	0.0143841981092116	0.0643455761997361	0.063549856439769	0.0403219491555871	0.00144267017358709	0.00379908654058198	0.0655629701707569	0.0259391121936027	0.00462940968248625	0	0.101377948625047
Osteoblast	0.071619507592067	0.113567024561381	0	0.0523279806732013	0.0470651280014014	0.0727135057111029	0	2.84525374650079e-18	0.164740002010042	9.29733415435345e-19	0.0316641281225293	0.0859649382016747	0.0734573441004543
pDC	0.000289825926524551	0.0499070715256342	0.00689392367951484	0.0059681958887574	0.0529259995529118	0.0509716807436915	0	0.00158643988597934	0	0.0483170997476456	0.0060288051413891	8.89101327901201e-20	1.45680215607944e-19
Pericytes	0.0490597701081521	2.23883027855367e-18	0.0119053715461507	0.0179018203134321	7.94363397947864e-18	0.0152996119487547	0	0	1.50347824618774e-18	0	0.00780493419389575	0	0.00151433311124585
Plasma_cells	0.00875329384937001	1.2450524946561e-19	0.0015791030180269	0	0.00210864040140827	0.00796601362437977	0	3.99431619631383e-18	0.0131723441948905	0.000507262657863776	0.00382661104084264	0	0.0547203629824346
Platelets	0.0181860641244143	0.0716571125419601	0	0.150785855730455	0.0203439481113937	6.39423864628817e-20	0	0	0.201794171719602	0.0589216394855157	0.0235082005654539	0.148902731860126	0.165150372199253
Preadipocytes	0	0.0300853166941885	0.00311092215997968	3.97586802925924e-18	0.0455129854028163	0.0266711794367117	0	0.00920345690798348	0.0492242552724873	0.0549567020803522	0.0769877324947157	6.78167605591647e-18	0
pro_B_cells	0.0184814435740499	0.015545256792435	0.0387277781782305	0	0.000730690753318387	0.0399776280700512	0.0148674278447241	0.0673829322249714	0	2.33779354409329e-19	0.0496962935344377	0.00926413136077857	0.0242763611311216
Sebocytes	4.50413349500373e-21	0	0	0.00113287698964976	0.00137787428422969	0	0.00149342992801388	0.00109659913301565	0	0.000918669435444788	0.000619820491470772	0.000303123971568488	0.0011635386734132
Skeletal_muscle	0	6.1825118509309e-19	0.0046921621432217	0	0	1.17518286266017e-20	0.000790893071849354	0.00468711353506855	0	3.40079292400819e-20	0	0	5.51287574338663e-18
Smooth_muscle	0.107598680004231	0.256924959268702	0	0.310303692696555	0.207972803369001	0.16837569652878	0.111532321315428	0.0887080060275159	0.0364842942849959	0.0111606468923204	0.0626628661079445	0.0789389031391446	0
Tgd_cells	7.17335409526549e-18	0	0	0	0	0	0	3.92747823668786e-19	0	0	3.88216963211517e-18	0	7.44729739956542e-19
Th1_cells	1.26772796294665e-19	0.00684684872269967	0	0	4.19726206242841e-18	0	4.88378672908584e-18	0.0126856323839097	0.0578363792553	0.0365857515257472	1.71304169215839e-19	0.0821691814033029	0.0430981769229118
Th2_cells	2.05286649567555e-18	0.0208060394220415	0.052801225528813	0.0617707724905115	0.0352437206103707	0.00966235160800723	0.110262502588514	0.0121186735095537	8.60650920478715e-18	0.00982840448827289	5.01837653405684e-19	0.00897383601234798	0.0308523375522315
Tregs	9.58439029214459e-19	0	0.042092809943106	1.10142470252011e-18	2.86621672791964e-20	0	0.0771500038580531	1.48688701534999e-18	0.00211095924421413	0.004844822450809	0.0197608525412143	0	0
