Mixture	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9
aDC	0	0.0366539051814871	0.124228548063951	0.0272949505842679	0.0628095616436028	0.0298059789807693	0.0588555829158824	0.0423435631904548	0.0502207971747242
Adipocytes	3.53409143704614e-20	5.55008104025143e-19	3.04833737909085e-20	0	0	1.79119480670731e-19	0	1.29542269986129e-21	5.21286123819819e-19
Astrocytes	6.30185481458739e-18	2.0626413637446e-19	0	0	0	0	4.45011374004851e-18	0	0
B_cells	7.00054086449725e-19	0.0410173782108707	0.0397229449231746	0.0208343688162692	3.84536893561218e-18	4.16564640472217e-18	2.52622504342984e-18	0	0
Basophils	0.0230057222941126	8.51494168154835e-20	0.0789514731774861	0.0446549349165932	0	0	0.133577847017569	0	0
CD4_memory_T_cells	0.00572377710286363	0	1.5828467383458e-21	0	2.26597757614616e-17	0	0	0	0
CD4_naive_T_cells	0.00352337327344647	4.08745857123785e-19	1.43503116022051e-20	0	0	1.64243036251999e-17	7.22335937662587e-18	3.16058689214114e-18	5.61937309931168e-18
CD4_T_cells	1.88645505900022e-18	0.0107853533580744	0.00150609297531674	0.00112184500065457	1.93177122834876e-18	0	3.54370223120843e-18	0	0
CD4_Tcm	0.0116948882406179	0.002396249561092	1.22228874368616e-17	0	0	1.65993005733723e-17	6.37148341842538e-19	0	0
CD4_Tem	0.140585594402604	0.14954101448219	0.0540481775025844	0.147910108156472	0	0	0.0196463439749691	0.0379383447664141	0.0501860297392168
CD8_naive_T_cells	0.0712003156368407	0.0120371448263781	0.00146641897117634	0.030899184602474	3.97175711107462e-19	0	0.00130641001331392	0.0406693249385147	0.00322864125613126
CD8_T_cells	0.151509683027675	0.0201861596916793	0.0408598209491035	0.154825258874389	7.28559953923823e-18	1.51565815046815e-17	0.0365323425340365	0.0266524761153837	0.0852142146963824
CD8_Tcm	0.10554282806801	0.0486502826054203	0.105005031782461	0.181684386567858	1.51336384354741e-18	0	0.129926826408063	0.0303017033743719	0.0455006980299725
CD8_Tem	0	4.82740011305532e-18	5.33027675957923e-19	0.0366531113011728	0	2.15130626374806e-17	0	6.50521093209822e-18	0
cDC	1.16678596012296e-17	0.0139938157198066	0.118446724085283	0.0151628640483493	0.0180183650158444	1.41677133976431e-19	0.0468258680074534	0.0543218879747668	0
Chondrocytes	1.12805644655659e-18	0	0	3.28295282507782e-18	3.27125934219069e-19	0	7.59379433634019e-18	0	1.51234254250407e-18
Class_switched_memory_B_cells	1.03303859746654e-18	0.0206129891535415	0.00756373868679552	0	4.5142155087121e-19	0.00151763809491959	2.69313296898526e-19	3.42696335572273e-18	0.00439855499750001
