Mixture	HD1_AD	HD2_AD	HD3_AD	HD4_AD	HD5_AD	HD6_AD	GBM_A1	GBM_A2	GBM_A4	GBM_A5	GBM_A6	GBM_A7	GBM_A8
aDC	0	6.31741830451279e-18	0	2.38136704882252e-18	0	0	0	0	0	8.32010452266295e-18	0	0	0
Adipocytes	6.58658524272315e-19	1.39338753461806e-19	0	0	0	2.08064381784058e-18	2.83842224675478e-19	1.55042725792229e-20	0	2.69183608040284e-19	6.26832477953961e-19	0	0
Astrocytes	1.70120850032956e-19	0.00429450568646246	0.0313107752711857	1.0009042685634e-17	1.14118676480999e-19	0	0	0	0.0187343349243648	0.0240094262352562	0.0414897341231314	0.0201873507264379	0.0263174551532337
B_cells	0.196469805340958	8.13464836579862e-18	2.35279533323302e-19	0.14506367166231	0	0	1.39368115952181e-20	0.0919165740384768	0	0	2.62227147218323e-18	0	1.04295995806178e-18
Basophils	9.26087903333448e-18	0	0.00806432571079905	8.34340409339607e-18	0.0566011518952584	0	0.0239317276188125	0.0339468115408816	0.0675028091447926	0.0440338179650761	0.0677083050489169	0.0908508316746146	0.00518924687886308
CD4_memory_T_cells	0	2.87787588718597e-20	2.3684206338219e-19	4.87360952612655e-22	0	2.83178859920458e-18	0	0.00888504164448967	0	1.66791895939652e-19	1.92266406214642e-19	1.13222985115697e-18	2.54372988813814e-19
CD4_naive_T_cells	0.00384616430625571	4.58321348419766e-19	0	0	0	0	9.33917579849057e-18	9.19015125371588e-19	0	0	0	0	0
CD4_T_cells	0	3.01632157337956e-18	7.69699462950962e-19	9.20742659694464e-18	4.33869766182115e-05	0	1.15205476760463e-17	6.21667323311529e-18	0	1.10082395870306e-18	1.08396461042126e-18	0	0
CD4_Tcm	0	0.00648835775133591	0.026458428335786	0.00339198573789432	0.0214863785230714	2.7905726715815e-17	0	0.0079536060838514	0.00278724176002961	0	0.0072252780587301	0.00615246540509557	0.00833931985524162
CD4_Tem	0	0	5.51579419601656e-18	1.15911029319559e-18	0	1.42909601936257e-17	1.81758432080212e-18	3.69310615766747e-18	0	5.0794064323973e-18	0	1.07864928026914e-18	4.90337320996026e-19
CD8_naive_T_cells	0.0290027863703267	0.000146243991955372	0.00232383197264747	0.0015954623815257	0.00460416392882949	0	0	0.000560585110324812	0	0	0	1.52261555772011e-18	0
CD8_T_cells	9.54133643437387e-19	6.39103965791635e-18	0	0	0.0402994680126269	0	0	7.94142818937099e-19	5.67716136324783e-20	0	5.24665179867956e-18	1.3976447060109e-17	0
CD8_Tcm	2.09395341712886e-18	0.00127179111994141	0.000765361334009215	2.19392459224761e-18	0.0140290831991243	3.90311237190395e-17	0	0.00799130788974335	0	0	1.49120420326385e-18	1.06274308397385e-18	9.87644137705373e-20
CD8_Tem	1.63026803062419e-17	0.00116285096460434	0.00602042958207808	8.0402507959809e-19	0	0	0	0.00875987259820952	5.76634438127766e-19	9.82625865202075e-18	0	0	3.19552758397629e-18
cDC	0.0222865782791983	0.0975625862652477	0.134767379641043	0.0301203957445649	0.0695436235195832	0	0.0628969857368202	0.0428315165327429	0.156711043567299	0.0865811722381338	0.131583297659109	0.106322680988522	0.0840511709585606
Chondrocytes	1.74841060967427e-19	0	7.1532045680575e-19	3.90000871154424e-18	0.00955456125243532	1.28432650752257e-18	0	1.51083179835043e-18	0	0	0	0	0.000431545981893942
Class_switched_memory_B_cells	0.0413648278814372	0	0.0120626573527229	0.0452033384531123	5.01057041853276e-19	2.62191999285809e-18	0	0.0421439341974369	0.00426595306280401	1.67463541096373e-18	0	3.95081477412639e-19	0.00242575677237156
CLP	0.0815411658163243	0.0586279950272206	0.000131945321504428	0.0679981074715488	0	0.0699583398260236	0.0788755775193406	0.125647446879944	0.0104699928700852	0.0174423174771415	0.0127068641888986	1.0643480383607e-18	0.00813480263916252
CMP	0	2.6209027435085e-18	0	0	1.49665848239049e-18	0.0121303563870252	0	0	1.66364589935223e-18	1.39717453641424e-18	0.00154360218766128	0	2.32564208071528e-18
DC	1.42840278179365e-19	0.0261139696948027	0.0311300034223519	0.0075021212379846	0.0112767878751236	0	0.017350581912518	0.0137184075353316	0.0258993045097865	0.0229053117558789	0.0273411653660766	0.0327378501246076	0.024602170047089
