Mixture	Utest1_RPKM	Utest10_RPKM	Utest2_RPKM	Utest3_RPKM	Utest4_RPKM	Utest5_RPKM	Utest6_RPKM	Utest7_RPKM	Utest8_RPKM	Utest9_RPKM	ctrl1_RPKM	ctrl10_RPKM	ctrl2_RPKM	ctrl3_RPKM	ctrl4_RPKM	ctrl5_RPKM	ctrl6_RPKM	ctrl7_RPKM	ctrl8_RPKM	ctrl9_RPKM
aDC	0	0.10417305431475	1.77289727188858e-18	1.33355480996605e-18	0.0362327421963118	0.0215697048483619	0.0328726901694895	2.96062614620642e-19	0	0.186018813277212	0	1.96483322831546e-19	1.29647376911804e-18	5.22811587779125e-19	0.0299862464226645	0.0149210923345109	0	0.0511172541696387	0.0565781305302327	0.0253149611641205
Adipocytes	1.19156128262575e-19	0	0	1.7877121491748e-19	2.06475881384517e-19	0.00298248476060521	0	7.33913482739355e-19	4.47292807746606e-19	0	0	0	0	0	0	2.51945968149245e-18	1.61394376469542e-18	0	0.000670605157237597	0
Astrocytes	1.94044821838898e-17	1.19927442363197e-18	0	6.92921129146775e-20	0.0281860656789635	0.00948082636098021	0.0362477089900995	3.89658110670376e-18	2.19552087097192e-17	8.65437928967282e-18	5.45865253130104e-18	4.30485269649367e-19	0	2.91231984383711e-18	7.18894928358314e-18	3.21142420990622e-18	6.29149449860394e-18	4.45490066743982e-18	0.0251022815920101	0
B_cells	2.5144456382083e-19	1.55232462307764e-19	0.0115002412111735	0.00186729039158972	0.00740461174525499	0.0125708887236948	0.0172288427934908	0	0	0	3.96674966986426e-20	0	0.000654401897883162	0	0.0217844785531533	0	0.0208272813560274	0.00301895847069748	0	0
Basophils	0.0354332200993228	0.0681340378184629	0.0261877259036938	0.104400072317831	0.0933284763185827	0.0734907996527643	0.053980424174223	0.0196610642820589	5.82055094658271e-18	0.0386614498883993	1.74430809854061e-18	0.0963525406604337	0.0306085933936024	0.0308302832362062	0.0305975179319695	0.104568143700996	3.69720744487548e-19	0.120997740575984	0.158621222532211	0.0587866758611934
CD4_memory_T_cells	0.0531767533139683	0	0.0557307887400496	0	0	1.64477837168849e-20	0	0.0491430824416474	0.0726539409082656	0.0294406396238359	0.0683839100373032	0	0.0851415014156785	0.0200728246608325	1.41578163516477e-19	0.0357036483425479	0.0381170944839302	0.00517597379335575	1.34170865199844e-19	0.0300845224824885
CD4_naive_T_cells	1.34171077467928e-18	5.35923093596381e-19	0	6.71058332623146e-18	0	0	0	1.19878971356012e-18	0	0	0	1.95277657945628e-18	0	2.92391768337206e-18	2.22286943344367e-18	0	1.81298275500741e-18	0	0	0
CD4_T_cells	1.34077697077429e-18	0	0	0	0	1.66220333672211e-18	0	1.62809201356094e-18	1.06785938335037e-18	1.29761482862409e-18	0.00191132252893143	0	0	6.75869085900381e-18	0	3.37106414849542e-18	6.21370558513789e-20	6.52628332220327e-18	0	8.22273287599894e-18
CD4_Tcm	0	0	0.00527145278405385	0	0	0.000115666537158246	0.00170121318854106	4.00036116433403e-19	3.82951569920681e-18	0	0	0.0201178300308161	0	0	1.35755964587037e-18	0	0	8.55532248822252e-21	6.39922116377745e-21	0.00412378217604938
CD4_Tem	0	0	0.00493688049184222	0.0253203148267769	0	0	5.16482948296944e-19	3.57218166918641e-18	0	1.4013178297681e-19	0	8.52558257243081e-19	0.0114645807153596	0.00159809856841264	0	0	0	4.24951813416153e-18	2.82366063634247e-18	0.0121620153270502
CD8_naive_T_cells	0.0050817903109698	9.08590841627713e-19	0.00349908790617983	1.07144700638746e-18	0	0.00486664905220835	1.11945305748847e-18	2.97233010651721e-20	0.00610820122555581	0	0.0158456721875429	8.3776827875913e-05	0.0028602267227635	0.00263917564893629	2.92335757677178e-19	1.07820766139278e-22	0.00502437493633526	0	0	0.00604028754728562
