Mixture	GSM4289946	GSM4289947	GSM4289948	GSM4289949	GSM4289950	GSM4289951	GSM4289952	GSM4289953	GSM4289954	GSM4289955	GSM4289956	GSM4289957	GSM4289958	GSM4289959	GSM4289960	GSM4289961	GSM4289962	GSM4289963	GSM4289964	GSM4289965	GSM4289966	GSM4289967	GSM4289968	GSM4289969	GSM4289970	GSM4289971	GSM4289972	GSM4289973	GSM4289974	GSM4289975	GSM4289976	GSM4289977	GSM4289978	GSM4289979	GSM4289980	GSM4289981	GSM4289982	GSM4289983	GSM4289984	GSM4289985	GSM4289986	GSM4289987	GSM4289988	GSM4289989	GSM4289990	GSM4289991	GSM4289992	GSM4289993	GSM4289994	GSM4289995	GSM4289996	GSM4289997	GSM4289998	GSM4289999	GSM4290000	GSM4290001	GSM4290002	GSM4290003	GSM4290004	GSM4290005	GSM4290006	GSM4290007	GSM4290008	GSM4290009	GSM4290010	GSM4290011	GSM4290012	GSM4290013	GSM4290014	GSM4290015	GSM4290016	GSM4290017	GSM4290018	GSM4290019	GSM4290020	GSM4290021	GSM4290022	GSM4290023	GSM4290024	GSM4290025	GSM4290026	GSM4290027	GSM4290028	GSM4290029	GSM4290030	GSM4290031	GSM4290032	GSM4290033	GSM4290034	GSM4290035	GSM4290036	GSM4290037	GSM4290038	GSM4290039	GSM4290040	GSM4290041
aDC	0.0708900531747286	0.00250707520796899	0.0183447364526937	0.0017629269808343	0.070617670493277	0.022923825201104	0.062615834993495	0.0283464993438345	0.00383336534621673	0	0.050227748604316	0.0638263939603049	0.0181605129647384	0.0420990178929269	0.0694849629403908	0	0.0256939178451045	0.0367671121405589	0	0.0272389492872927	0.0967675363029614	0.0142052336073846	0.0105796599642159	0.0227225153134672	8.55070670437855e-20	0.0649997731252793	0.0470132532416638	0.0364765477764029	0.0196539877680628	0.0453615220538088	0.011589670301965	0.0242804440777719	0.00719897990162604	0.0382370813803045	0.0367942017633254	0.0948403148446048	0	0.00187646307058726	0.0319750352604164	0.0194981538962862	0.023473423555844	0.0280446797857655	0.00394386466482588	0.0242698124155242	0.00669265898637649	0.081764566495789	5.73329127868147e-18	0.0443476499880076	2.47379245073155e-18	0.0278942186344252	0.0299276853035621	0.0599893400092206	0.0326419045302175	0.0283112900504767	0.063577406383276	0	1.82662782160603e-19	0.0399777693358421	0.0177105682826549	0.0361367926315213	0.0203518720091074	0	0.014832139853724	2.95864676046775e-19	0.0316619186458756	0.0170815404138317	0.0548995866429239	0.0469544134017756	0.0132230458724929	0.00248071410186744	0.0337799080724348	0.0351320731191168	0.0125739564516181	0.0400008591103145	0.00570878889315689	0.0897965750459549	0.01972127157438	0	0.0039055346650275	0.0239687193633149	0.0327834211433914	0	0.0178999137666913	0	0	0	0	6.36462482313665e-19	9.06639846963445e-19	2.65278746636775e-18	0	1.51474520862508e-18	0	0	3.30501679890038e-19	0
Adipocytes	0.00505179493543917	0.00407821457812511	0.00266243650136102	9.60712315342043e-05	0.00815424912436527	0.00539091505281357	0.0119015986433918	0.00882429427608869	0.00184963639340857	0.0241586264057405	0.00826606886047129	0.00877958897937006	0	0.0105619140912705	0.00931569251905019	0.00177938491172733	0.000223733133634765	0.00283818465927125	0.00902004259572963	0.00504057421584312	0.000967692158441571	0.00636176759776985	0.00998947675545658	0.00727056808201596	0.00642643603313562	0.00650418827577297	0.00591030762671747	0.00473958508787395	0.00245995213681547	0	0.00613690923655654	4.4903907395982e-20	0.00219762782338179	0	0.0112054624150841	1.43043012633857e-20	0.00323947522356774	0.0086305333366136	0.0024395168982444	0.0141700019832401	1.12904545964414e-20	0.00139455788765851	0	0.00579396030426715	1.96415276992187e-19	0.00220304616017725	8.54899698399542e-19	8.16762919848546e-19	0.00289250044905569	0	1.086138439232e-19	0.000858527958398262	0.00696511048875849	0.00478993000366561	0	1.98203746668676e-20	0	0.000412288220797222	0.00194305875645245	0.0159340492563165	0.00435283234865587	0.00134685173961035	0	7.706982298038e-21	0.00640071431056359	0	0	0	0.00509158322746846	0	0.00225381638262101	0.0108880745009722	0.00253144173318842	0	0	0.0315518363957363	6.30865850166168e-21	0.0188931916227891	0.00130162666063658	0.00687164652720618	0	0	0.00329844473707263	0.00217465888277264	9.24081528344725e-19	0	1.10905566509712e-19	0	0	0	1.05440448057851e-18	1.02377130903811e-18	4.06974689572342e-19	1.53395289036678e-18	4.43443998624948e-19	3.8554831221677e-20
Astrocytes	5.56044834047592e-19	0	0.00904543649026798	0.0243182109019109	0.00586339498638348	0.00471478673611583	0	0	7.19629593538349e-20	2.2331485832883e-19	0	0.00719113784527302	2.63144776414029e-19	0.0134255759795692	0.00964266483456475	0.0191699635701032	0.00355421036997961	0.014383081539519	0.0183172894155416	1.26817656396532e-18	0	0.008201491643498	0.0159132227491014	0.0183343465851768	0.00324236617169668	9.89258089313317e-19	0.019707617071069	0.00604478922723021	0.00492850530004674	0.0267077914957784	6.15952052264501e-18	1.89923766728335e-17	0	0	1.25942923560463e-18	0.000587411328273016	0.000466280561102606	0	7.00067832200898e-18	0	1.44391928412165e-17	6.74061027433291e-22	0	0.000674718003549137	2.47182814992548e-17	0.0432098587562371	0	1.20567305996426e-17	1.11942008285189e-18	0	0	0	0	3.75726211694165e-18	0	0	0	0.019567188763772	3.50847175709659e-18	0	0	1.04423647884886e-17	0	8.85496364642806e-18	6.44043120922789e-18	0	1.66080224988737e-18	0	5.82445675751235e-19	0	1.84827547812733e-18	2.0041468400301e-18	0.0134923349371502	0.00139761656783015	0	1.6450146005528e-18	0.0159881189517179	0.0183584331578439	0	0	0	2.40893106760898e-18	3.6649127131357e-18	3.83770303947242e-18	7.10397735510873e-19	8.19351898804242e-19	0	4.64718814424247e-18	1.46266290769792e-17	2.07979023495643e-18	3.2979724657877e-18	4.18737850694351e-18	0	4.14027064032593e-18	0	4.24501198935136e-18
B_cells	0.0237233742769821	0.00350988567459654	0.011566351395587	0.0166988216377561	0	0.00656811982343812	3.23512195610646e-19	0	1.03562741726394e-18	0.0127650211169989	0.0231288432689653	0.0286819663169008	2.31942802187309e-21	0.0334829735102405	0.0231735500231844	0.0190543302951267	0.00389416143852985	0.0206443592555031	0	0.00660850912391383	0	0.0141158010809768	6.65663304091978e-19	0.00329027592612686	0	5.17985190677891e-20	0.00414818052877414	9.93715106941131e-20	0	0.00865929965619781	0	0.0401035661432325	0.0267279161823604	0.0212479983719855	0	8.22652102702486e-19	0.00883517420207695	0.0388988405955566	0.0166246774639898	0.00419120320446541	0.00400232011489702	0.0295727494954181	0.0109694020463701	0.0295269071684797	0.00710821867872703	2.67481404655275e-20	0.0091090260734498	0.0354874582729751	0.0101175755214222	0.00696570498190639	1.36246159338104e-18	0.0383259935712684	0.0168504381597993	0.0186325091557294	0.0252841009202663	0	0.00788116203351028	0.0418390200639971	0.0169679982433828	0.0161486665180707	0.0146378572918826	0.0113107277033188	0.0187953577392536	0.0271944999593155	0.00238883096663424	0	0.0001396976442161	6.84469175105901e-21	0.0070333391497821	0.0191324682271465	5.21336841951306e-19	0.00804561099999399	0.0261163663091504	0.0143599498063651	0.0335520710842365	4.72877349046632e-20	3.890702624739e-19	0	0.00350768946387885	0.0206891950394297	0.00616872733900142	1.95044318424147e-19	6.15274103555172e-19	0.00372455541948352	1.71265241649416e-20	4.44956933114201e-22	1.56264534572646e-19	2.08697513649663e-19	0	5.03932112960452e-20	2.26950127753072e-19	0	1.91751275066607e-18	0	0	1.13955360829978e-20
Basophils	0.0843891378552736	0.132519114962627	0.0822396465144146	0.0762682647186206	0.108008344890423	0.135012243805454	0.087671380481933	0.083338423906593	0.0520400468437033	0.115504079567113	0.123319803767163	0.0642051879025551	0.100465891115506	0.0582626228597087	0.0319762059617535	0.0308707460320726	0.0902816091420132	0.0923153064685081	0.141568500771609	0.0910787978690563	0.107654170370761	0.153017149917789	0.131346608844882	0.187166447721544	0.145930366182877	0.122495130602416	0.160392767351454	0.127006923276478	0.166311632535975	0.104564658578603	0.0701413121907147	0.0207993029205915	0.0818224555932812	0.0433163984646288	0.132762093789541	0.210465788174927	0.075753954498494	0.07287038355549	0.0764611514687374	0.0543459793717376	0.164441491504807	0.122838914175179	0.0328698469549061	0.062475981677796	0.125974058744096	0.177044386736036	0.0906586407220698	0.0714171745752996	0.142934200359086	0.113571647950584	0.05406194967394	0.126996480985458	0.0780260771431512	0.0578359529486836	0.0982388096953782	0.0354094845387991	0.0565934259922263	0.0440913492252666	0.11598893419028	0.139317865970938	0.0729919653763124	0.114737723729956	0.0325448463631067	0.0366604817962937	0.0780855356418002	0.0766478694565103	0.0909711210072735	0.0867634441034893	0.0755217391453633	0.0503780114621183	0.00966884254078388	0.0462685481067936	0.0876379584279127	0.0164336696847949	0.142657299480873	0.163179629144515	0.0468181597724994	0.133842867320927	0.132299207209382	0.0827307590876557	0.0221848301389512	0.0892563004179028	0.107662926344516	0.103904185155775	0	8.5752794262948e-18	1.54368288816308e-18	0.0106870563526007	1.57457382682094e-19	0	0	0	1.0952107346948e-18	0.0033559553521881	0.0025020075524639	0.00164701214411449
CD4_memory_T_cells	0	1.79708097599912e-19	0	0	0	5.1639235690753e-20	0	2.0500685044474e-19	3.58315451531974e-18	0	0	0	4.74445381811617e-20	5.11098178689462e-20	0	0	0	1.43472799742934e-20	4.61631240438344e-19	0	0	0	0	9.70673637601408e-20	1.11812712435376e-19	0	4.16846261441857e-20	1.81087032227036e-19	1.63971468249633e-19	1.73958898682379e-18	1.0501728396595e-18	0.00843322869533678	0	0.00947459928647257	0	2.39665854280532e-19	0	0	1.85770757484545e-20	0	2.73237483054914e-19	0	0	1.10860792492355e-19	0	5.44129337896713e-19	0	1.52866716274672e-18	0	5.07719267349746e-19	0.000411716827545625	0	7.1683944749715e-21	0	0	0.00547402897985306	0	9.33190529678642e-19	0	4.20259630498957e-19	2.34016516853662e-19	4.26404059141263e-19	0.00158640457664306	0.00301991073819522	2.12082615991226e-19	0	6.50502471496656e-19	4.08511407084455e-19	0	0.0017355632935938	0	0	1.48827927905326e-20	0	0	6.29971452784587e-21	1.62549287128518e-19	0	0	2.73003187134824e-19	1.94968930761398e-19	0	0	1.73687362532376e-19	0.000159964076260006	0.000223562281356589	0.000443546967284286	0.00106975031071631	0.0044391410340993	0.00207557071262798	0.00312586203742795	0.00272564516598365	0.00225492086808684	0.00244601137827552	0.0012766684792487	0.00283392719369903
CD4_naive_T_cells	0	0	7.15387028172996e-19	2.67843748176775e-18	0	0	8.30689373893003e-18	2.15285036171769e-18	5.55934811247152e-18	0	0	3.93126085273021e-19	0.00171833051868092	1.52125160484098e-18	0	0	3.30185596390249e-19	2.98125683589707e-19	0	0	0	2.93307862382679e-19	1.36729007411814e-18	0	3.26526074563425e-18	0	1.02863390588307e-18	0	1.47416032007388e-18	2.48179805797934e-18	1.59446581825378e-18	0	7.92828670695546e-18	6.62562615235213e-18	0	2.67971742572084e-18	3.55033158269053e-18	0	0	0	3.80668802567039e-18	1.9389736021044e-19	6.51626492590381e-18	1.40576307282247e-19	1.02303776577335e-18	0	0	0	0	6.67526576269829e-19	1.7574998563839e-18	5.51751874671518e-18	7.07406967446608e-19	5.03818474511899e-20	0	0	5.89939069286073e-19	5.69627928933178e-18	1.66442140156168e-18	1.03506378817876e-18	1.71915185370657e-18	9.08657912949817e-18	0	0	0	0	3.92510426641087e-18	0	0	0	0	0	2.76490796834597e-18	0	4.55186089431613e-19	6.96246804366469e-18	9.97140250375163e-19	0	0	3.71896820776878e-18	0	0	0	2.57454632466341e-18	0	3.14967493702791e-19	2.48245675010544e-19	3.91961896761939e-19	0	6.96659403765131e-19	0	0	8.68102574384623e-19	0	1.26284882816994e-18	4.97098989467067e-19
CD4_T_cells	4.95176881069327e-19	6.44006544107724e-18	1.82185563500819e-18	1.77801145106611e-18	0	0	5.07348689090493e-18	0	0	7.26596005374723e-18	8.56391181196392e-19	1.45600110562934e-19	0	2.83806273290642e-19	6.31623340707884e-19	7.75834721101978e-19	2.46844727164338e-18	3.91344712476668e-19	2.19200631918505e-20	2.14514587930747e-18	3.65326755457698e-18	6.32582486753617e-18	0	2.17438401020198e-18	3.93645007188111e-20	5.01411806978181e-18	0	0	0	0	0	2.36974479742264e-19	0	0	1.16225934658871e-18	6.52460175234274e-18	2.83347347034473e-18	0	2.24568984799634e-18	0	0	2.71316797858267e-18	0	1.82158412061521e-20	6.50201865660153e-18	0	3.91421769743763e-18	3.46537224589404e-18	0	0	0	0	0	0	1.69819460043745e-17	0	5.48818007686282e-18	0	0	0	7.18460586923393e-18	4.24254944473874e-18	0	0	0	1.05404032645208e-17	0	1.9077006215646e-17	0	0	2.44644109651271e-18	9.45922262722159e-20	0	0	4.83016367159299e-18	0	0	3.12985561554598e-18	6.27200758154795e-18	4.63925931128119e-19	5.18882578032677e-19	1.06586493564887e-18	3.57595676460992e-19	0	0.000630504651578283	0.00133123985447588	0.00151013563095666	0.000936161288737503	0.004657986957856	0.00331277811307908	0.000297902933242836	0	5.40334724133661e-20	0.00146462969682561	0.0003405216329656	0.00159451428639018
CD4_Tcm	6.96682487702127e-18	1.03154300339854e-18	0	0	0	0	0	0	3.20285137045878e-18	3.50030742352657e-18	0	4.9087008977303e-18	0	0	0	5.00789450944726e-20	2.64234172300883e-18	5.5660402270909e-19	0	0	8.35066587079529e-18	0	3.72742145310083e-19	0	0	0.00325346015147685	0	9.87515535860854e-21	0	2.76971305504072e-20	5.15633013028224e-19	0.00184759346727692	0.00771536753281598	2.81501198769917e-22	7.79263982748657e-18	4.96594393332257e-19	0	0.00317795765706875	1.3142256710126e-18	0	2.57480842484308e-19	0	2.38263802498848e-18	0	0	6.04269800258359e-19	0	0	0	6.01154129297804e-19	0.00828942889192507	0	0	0.0100943162157252	0	0.0116831462931008	0	0	0	0	5.9466548697932e-20	0	5.19334065287374e-20	0	2.05072404837212e-20	2.6367894003616e-18	8.81785122626823e-18	1.52290468778927e-17	1.16296668820409e-18	1.32881866509427e-19	0	0	0	0	0	3.46268802422076e-19	0.000933764348166272	0	3.16878324786517e-20	8.39557049027918e-20	0	0	3.21167013115959e-19	5.55148958553972e-18	2.62543106597229e-18	0	1.84893418906631e-18	0	0	0	2.96382882538244e-18	0	0	6.40712105958271e-18	0	9.47111274302432e-19
CD4_Tem	4.74736908774917e-18	0	5.77952451668636e-19	1.31017039938964e-18	7.39179692254118e-18	3.4159390362655e-18	2.55365338350458e-18	4.04757737395844e-18	0	0	2.91743104155551e-19	8.08509876976392e-18	7.01328151690939e-18	0	5.44894461671023e-20	1.88995286807989e-18	0	0.000600084562041677	0	5.7576405917444e-18	1.42138465639367e-18	0	0	0	0	0	5.05504065537223e-18	0	5.62335936135782e-19	0	0	0.0209841142803896	0.0446188642895593	0	7.79588344559606e-19	2.07832726427244e-18	3.69528677492716e-18	2.05149047928536e-18	0	0	0	0	0	2.98507491837239e-18	1.48268885198821e-17	1.06845406634045e-17	2.68872765160479e-18	0.0105165187146055	2.45012956495168e-18	0	0.0322933470631174	8.45109523912338e-19	4.04630673344046e-18	0.000481935604447983	0	1.65159368218506e-18	0	0	0	0	0	0	0	0.00157866799605111	5.77236919436248e-18	6.34932862653391e-18	6.12565986150443e-18	1.20345936455132e-18	1.27724000340028e-18	0	0	0.029471652769345	2.78028969513169e-20	5.17117073175648e-19	2.03020280406523e-18	0	0	0	0.00437297842790368	0	0	0	1.11333914257861e-18	2.59341632101435e-19	0	1.76364937183425e-18	7.3492838865437e-19	0	1.44706329518442e-18	1.06015899933927e-17	3.11878689277982e-18	4.46076777829526e-18	2.02286956286169e-18	4.9257347335624e-20	3.45350720680409e-18	2.26119104466539e-18
