Mixture	MRC5_1	MRC5_2	Cocx_1	Cocx_2
aDC	0.0748646194999337	0.00633732900710215	0.0206326169667909	0
Adipocytes	0	0	0	0.0105517624362276
Astrocytes	1.06063974399004e-17	1.61726961456055e-18	0	0
B_cells	1.06944754508489e-18	0	0	0
Basophils	0.1848814780894	0.151346692648074	5.64541126352901e-18	0.0628187724388749
CD4_memory_T_cells	0	0	0	0
CD4_naive_T_cells	0	1.58525033920111e-18	0	9.61774937867329e-20
CD4_T_cells	0	1.85479736164245e-17	0	1.2617404746746e-18
CD4_Tcm	0.00576006128570542	6.60849420069587e-19	4.08201995764124e-18	0.0384992600628878
CD4_Tem	0	2.2418552602523e-18	1.41784277630633e-17	0
CD8_naive_T_cells	3.7259630731607e-19	6.22307784606492e-18	0	0.0674144618320097
CD8_T_cells	1.42703556825264e-17	0	0	0.102145953766142
CD8_Tcm	0	0	0	0.0375858014375222
CD8_Tem	0	0	4.50646604474581e-19	0
cDC	0.129888765815006	0.0970945733950735	0.12444906996495	0
Chondrocytes	0	0	0	2.66379043309641e-18
Class_switched_memory_B_cells	0	4.00982363011048e-18	0	0.0412822560338014
CLP	0	1.84040797821704e-19	0.0381152957025693	0.318124620821325
CMP	6.888720381229e-18	0.0306954133002022	2.99543300521683e-20	0
DC	0.0089815698439633	0.00284781827996728	0.000817462489971768	7.03263909932665e-20
Endothelial_cells	0	0	0	0.00450398574714141
Eosinophils	0	9.11731875226165e-18	0.00245524468034306	0
Epithelial_cells	0.0114903638711943	0.0154476604923172	0.0387742892177456	1.71853636161352e-18
Erythrocytes	0	0	0	0
Fibroblasts	3.87521669263226e-17	0.0205927356243509	1.1413472306744e-17	0.00216959173317228
GMP	3.28658902126333e-18	0	1.28494400614011e-17	3.83116964548425e-19
Hepatocytes	2.59540326990657e-18	4.44324117045587e-19	3.92531612920801e-18	0.00386579480841782
HSC	0.0648231251163162	8.79118072252907e-18	0.0582818592721057	0
iDC	1.30253208247628e-18	0	0.0666533624103597	0.170004629633724
Keratinocytes	4.13623865415163e-20	1.88749976149103e-18	0.00115318055674882	5.31324399594195e-19
ly_Endothelial_cells	0.000271446162647118	1.77172051323474e-19	0	0.00135459110254242
Macrophages	4.25261830207173e-19	6.39405495707711e-18	0	8.22303833148454e-18
Macrophages_M1	2.30002944222109e-20	0	0	0
Macrophages_M2	0.00518215146384024	3.10434785191612e-19	1.4663005982477e-19	1.93873547565081e-18
Mast_cells	2.48250352737389e-20	0.0060747721285622	3.46017225798593e-18	6.24571759698299e-19
Megakaryocytes	0.0644991583920471	0.0170399337250841	0.0171927940506997	2.81115874511705e-19
Melanocytes	0.000423538672693004	0.00346436564877844	0.000157983225388574	0.000333926857121375
Memory_B_cells	0.00896310681750456	0.0137513320441572	0.010953064972592	7.21868015423744e-18
MEP	0	2.79992518095031e-17	2.39611687066521e-17	2.82194247596418e-18
Mesangial_cells	0	0	6.28835244112849e-18	0.0333906018604902
Monocytes	2.13664660241794e-17	0.0142135023269517	4.85556917884847e-18	2.27071329566202e-18
MPP	0.0657719945056387	0.110473215233863	0.104181220859501	3.75113990262011e-18
MSC	0.250402117846632	0.0720767894474389	0.0395219607835565	1.6724799712667e-19
mv_Endothelial_cells	0	0	0	0.0073829219502538
Myocytes	0.00369761681632014	0	0	0.0294824188674571
naive_B_cells	0	9.51291313198473e-19	0	0
Neurons	0.00030937284878772	7.93984375226539e-05	5.09703340415387e-22	0
Neutrophils	0	0.00223863424960903	0	5.75156943864676e-18
NK_cells	0	3.69265134689218e-17	0	0
NKT	0	0.0716897036683451	0.0143610789815619	0.0161681045738225
Osteoblast	0.0545569237282347	0.112853865771885	0.0383466084137957	0
pDC	3.02585038091381e-18	4.57418336980221e-18	0	1.15141752076284e-20
Pericytes	8.90823932749084e-19	0	0	0
Plasma_cells	0.0325151629129409	0.00598986873467476	1.400978774034e-21	0
Platelets	0.00741762933792348	4.35905679936055e-18	0	8.84421724412995e-19
Preadipocytes	0.0225515084936052	1.41408687441442e-19	0.102736040154372	4.73521799852462e-18
pro_B_cells	9.62365401438588e-18	0	1.95717789585008e-18	0.0199421495318145
Sebocytes	0.0027482884796655	0.00069576477537718	0.000191459867538653	0
Skeletal_muscle	0	0	0	0.0329783945052517
Smooth_muscle	0	0.169750819818693	0.248772123509915	0
Tgd_cells	0	4.99518010111006e-17	0	0
Th1_cells	0	4.40346226475068e-18	0	0
Th2_cells	0	0.0740155959170327	0.0302036391028989	7.21041880811778e-18
Tregs	0	0.00123021532493865	0.0420496448165959	1.69725343944985e-18
