Mixture	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
aDC	0	0.0098149606937988	0.0152283764234146	0.0810163419323185	0.0361531184027055	0.0305285861330126	0.119380219128257	3.90052027710502e-19	9.76705401701967e-19	0.0436782856749323	0.0142039329046845	0.00560891165394158	0.0437868221992898	6.03978777753933e-20	0.0140466513022337	0.0534679060742265	0.058960696252434	0	0.0272298302875185	0.0401936516921863	0.0140765073690097	0.0582455759166648	0.0596149690736473	0	0.0117722224220082	0.0186589421973818	0.0164485654385065	0.0648506169574125	0.0305318557476339	0.0427648743253473	0.0503525818884226	0.0778213443804455	0.00680801591589458	0.084373010850746	0.0302912880516116	0.0348572120312113	0.0688329026488273	0.051566822149142	0.0146052628854552	0.000758914810372714	0.052933508156334	0.0434585157440897	0.0976282504062704	0.0393772766452693	0.0170011151764054	0.00867448754425381	0.0313927001845942	0.0492433938121754	0.102279807548084	0.0882054439108792	0.0770411209218224	0.0628392943769918	0.0514053891384339	0.0850093710027545	0.0410166936308156	0.116941267280206	0.0669601724369786	0.0183654602814853	0.0808743947918999	0.02947767942585	0.0492451475272997	0.0405734095695129	0.056234831175593	0.030942439456108	0.0288662991889718	0.0578845586783947	0.0334278782495917	0.0396838871815549	0.0112587871609201	8.75885588900374e-20	0.0936711176907958	0.0391712500388328	0.0326074552257536	0.00849602194842602	0.00354461122154312	0.0664214331504902	0.00639290901004301	2.77092002367613e-19	0.0279076971913288	0.0492833119171701	0	0.0276632100059264	0.0448195010084258	0.0461469026248762	0.0243555315983082	0.0445860850360993	0.0234772202612631	0.034537937162334	0.0176263903419591	0.0864169296107385	0.0743080509789587	0.0276177922150362	0.01590701122594	0.0912280209116087	0.0509578979383494	0	0.0235424094934427	0.0426012548746385	0.0269659330071816	0.0351388592881984	0.0378760830009803	0.0157088733662141	9.55238699703441e-21	0	0.0492401017145266	0.0428701745766304	0.069643031111185	0.00604847455947237	0.0424791688796205	0.100964392394983	0.0845435476740628	0.0283511255925111
Adipocytes	9.85900976778438e-20	1.69032854940794e-19	3.68848549990744e-19	0	4.68982030816469e-19	0	0.0139550070274235	0.0101386333754419	0	1.26102685087295e-20	0	1.9019872798463e-19	0	0	4.87811579839097e-21	0	5.35343890192676e-20	0	0	2.29777898594628e-19	3.90122003592905e-19	4.04844315608356e-19	2.64312019307445e-19	3.98260985018877e-19	4.17232775680896e-21	0	2.03584105991417e-19	0	8.65350994031172e-20	0	5.38900573908274e-19	0	0	0	0	0	1.42937951264447e-19	2.906138445104e-20	0	1.52463454087451e-19	0	0	2.21241755069111e-19	4.10560049060042e-20	2.72090433076476e-20	2.64768199404302e-23	0	0	7.67129579551811e-21	3.50490920802712e-20	0	0.000912567713199107	0	1.41538122638829e-21	0	1.80123690586387e-19	1.20199492476887e-18	0	0	0	0	0	0	0	0	0	1.06171175562984e-18	0	7.26064028044245e-20	4.81664574700631e-20	0	0	8.78295737055624e-20	0	9.74637930007013e-19	0	1.44820180221733e-19	0	0	1.50073935996152e-19	1.13428206911624e-18	8.71658064181044e-20	0	1.30643549017294e-19	7.82055962102307e-21	0	0	6.86602229821153e-20	0	1.43987292506481e-19	1.9907036470433e-21	0	0	3.3951191994811e-22	7.39748676674973e-20	0	2.59850320061518e-20	0	0	2.67019453036295e-20	2.20993503420335e-19	7.84359125834414e-20	1.04254335124617e-20	1.81824306775076e-19	2.61932700423089e-20	9.09563453963054e-19	9.03094213336045e-20	5.78088095485383e-19	0	5.93873572381358e-20	1.53146356599326e-20	0
Astrocytes	0	5.44217642484782e-19	0	0	1.02061305043379e-17	3.53591257068282e-18	0	3.92794839940723e-18	0	2.54455089696987e-17	0	1.70255838795288e-17	2.03450438805045e-18	0	0	5.14686684656479e-18	0	3.0865430722145e-18	2.33771943225917e-18	0	8.60519488310882e-18	2.53733803743351e-17	4.12078552334377e-18	7.81015559416731e-18	0	1.16957153661055e-17	0	1.62052386838392e-17	3.60758661543187e-19	1.42087810072552e-17	1.98920210233065e-17	0	0	2.43841631936771e-18	0	0	8.96270420552305e-18	1.17185180117134e-17	2.26775612555058e-17	0	0	0	0	0	5.70304722774113e-18	1.3998728989801e-18	2.11169014289582e-18	5.66935413994978e-18	8.32418043206406e-18	1.12275416584609e-17	6.09634579627303e-18	1.07851069345617e-18	9.35579469972868e-19	8.72427754463147e-18	0	5.43228627237245e-18	1.34282205078815e-17	1.06476289589205e-17	0	0	0	0	0	1.19141430457874e-17	6.9595949419853e-18	1.53578534587266e-19	0	0	1.61222654644214e-19	6.26653315268902e-18	0	2.28939216042723e-18	5.2478587145183e-18	0	0	0	2.38653319240603e-18	1.64923614021537e-17	0	1.21605455702115e-17	3.03107878350321e-18	1.31733224137733e-17	4.71538383362372e-18	0	0	1.03976541142639e-17	0	9.9089654131735e-18	2.20324310946847e-18	2.79159537794877e-18	1.82516668617408e-17	0	1.60277086931845e-17	7.23965040303529e-18	0	2.13120629751573e-18	0	0	0	6.50147530353201e-18	3.77769361268301e-18	0	1.10248094209203e-18	0	0	0	1.10687682596169e-17	1.62912093646506e-18	0	0	7.94241621136096e-18	1.00792144993911e-17
B_cells	0	0.00583711566628077	0.00448927705170641	0.094362703669075	8.29733991028791e-20	0.0954577936200377	0.0474516768000831	0.0234604593303926	0.0635338321410613	0.0663725055626526	0.109982112755842	0.110445535986745	0.0677896126555644	4.17362364250529e-19	0	0.107714218480654	0.127483014738523	4.0494994219426e-18	0.0445486419848975	0.0871805113166411	0.0778151269772201	0	1.35588343719075e-20	0.0446794440965371	0	0.142416538044884	0.0529973698571728	0.0642477705932031	0.0713865101920731	0.0574653046396684	0.0316367595181815	0.08891990576365	0.0830491067392609	0.0647398706276167	0.061754901605136	0	0.0949629507020153	0	0.0326262673142491	0.0958193680753103	0.068407544088083	0.038866365341779	0.0717005415024572	0.101272696720703	0.0775144764221198	0	0.0192186876533694	0.0220034537189643	0.0974247554393022	0.134184191477228	0.122257615977411	0.115317518177185	0.0771628766448069	0	0.0754086679866036	0.0381400406924488	0.0670029699123743	0.0315107882971686	0.0175859699089921	0.0834719869773861	0.0865136281705366	0.104880829555287	0	0.000936858617164437	0.0137069681662714	0.0416279018826847	0.0333619557896664	0.047045363674484	3.77404189490173e-20	0.118552782706308	0.0315949070160713	0.132497472933112	0.0486733385466231	0.0744452534921817	0.0915368514468455	0.0953675606799232	0.0521697132392313	0	1.19241292097121e-18	3.12125306200899e-18	0.0171468852022104	0.094418230396992	0.0663565813025279	0	0.00725066029761768	0.0864810806630312	5.21019569835776e-18	0.0140755888736023	0.0880241015559956	0.0660974509057316	0.0301723448430976	0.0430594635842489	0	0.0502056957287985	0.0385205566745515	6.28160577740783e-19	0.0374643823762186	0.0540727512885948	5.7779984491179e-18	0.0497953564472496	0.0429833065963528	3.80686024132575e-18	0.0314938822052487	0.0290885965001601	0.042483603883232	2.84169117312615e-18	0.0992313130664521	0.0310289398704237	0.174041491138634	0.0873644376450821	0.123270389181388	0.080960260701834
Basophils	1.2398737343821e-17	0	0	0.0793990836210954	0.0163256079523924	0	0.0690796526551474	0.00867019361533166	3.13266920549573e-17	0.0627929150425732	0	0.00483135546063829	0.0748590194340468	1.88445392952435e-19	0.032107262625774	0.101296067901922	0.0137743138910936	0.0357959438118857	3.46406381998447e-17	0.0813034927909798	8.74546349185968e-19	0.0247024823475728	0	1.51036234088321e-19	0.0165200745430011	0.0204974914922083	0	5.9091392307821e-18	9.8846627630818e-18	0.00549849792510001	1.0738117609333e-17	0.15318088781562	0.0590741352588041	0.000504420212426583	0.0344745819800018	0.00668100786584428	1.06176720104116e-18	0.0185314768337569	0.0827529467432352	0	0.0273513675457546	0	0	0.0372541158856547	0	0.0567350851121145	8.05063970588904e-19	0.069655518196995	0.00672938158259615	0.025739773202548	0.0559633974218982	0.0150013006011123	0.0518828261554766	0.0064874282960685	0	0	0	0.0235437326264285	0	0.0401215694281551	0	0	9.69822894719306e-18	0	2.06994425167966e-20	0.0859681205366665	0.0632537871232634	1.50513632695319e-17	0	0.0314646277601761	0.0502213552912544	0	0.017450817038214	0.0145605104801532	0	0.0338516377874333	0	2.69952016717201e-17	5.96919041660004e-19	0	0	2.41341779751888e-19	0.0975530450500603	0	7.4849321006158e-18	0.0832677564175844	1.1938698185868e-17	0	0.0281880738242304	0	0.0264680195079751	0.0575747310091458	1.25820989333549e-17	0.0216879025618498	0.0699688069993282	0.0399069135609167	0.041081757045057	0.0810728461243554	0	0.0512735918503919	6.2656018936015e-18	7.61731555837852e-18	0	0.00769471095062281	0.113892615186457	0	0.00695966858156137	1.8126567856293e-18	0.0584362521997841	0.0473955165596223	0.0419004248035693	0.0154299522816736
CD4_memory_T_cells	0.041648215194619	0	2.20663786619034e-19	0	0	0	9.55100352503081e-19	9.28913084813051e-20	0	0	1.6698280671908e-18	0	6.80036738604716e-21	0.00529927768862859	0	3.90052770262857e-20	0	0	0	0	0	0	0	0	0	0	0	0	3.34645613520417e-20	1.65702450593292e-19	0	0	0.00234536348352251	1.22960325438595e-18	0	0	0	0	0	9.40937845939841e-19	2.53711826714435e-20	9.46462184716021e-21	4.1630507973953e-18	9.40025285976128e-20	3.0960362518298e-19	0	5.83920514804862e-19	6.04834694675135e-19	0	7.87421455850223e-20	2.18940608525665e-18	0	0	0	2.89902202762634e-19	0	7.27014961561965e-19	0	0	3.35744929738036e-19	0	0	5.2912018016224e-18	0	0	0	1.09336546059893e-18	6.31523954975309e-18	0	4.25382143640261e-19	0	4.20125336880079e-19	0	7.32390744030809e-19	2.56173397315585e-18	0.00138098853969635	0	0	0	0	0.0230530936635793	0	1.30493051274728e-19	0	7.61240750520472e-19	3.09470507133488e-18	2.78105150610182e-18	4.93399737503736e-19	0	1.04875797172699e-18	0	0	0	9.77344682709125e-20	0	0.0114074199954996	6.64420324758003e-19	0	0	3.5352766325436e-20	0	7.45280728961563e-19	0	0.0021967157090579	0	0	0	0	2.1467750801382e-19	6.32109953322473e-19	6.1095108082679e-20	7.78719789434181e-20
CD4_naive_T_cells	0.0226317541929947	0	0	2.97000199174351e-21	0.00797793540965356	1.2665080818969e-18	1.55563095679493e-19	1.68577703162637e-18	1.10024055728422e-18	1.60545368045425e-18	0	0	8.85360085542319e-18	3.92342686048681e-19	5.60600423074842e-18	7.5726495881547e-19	0	0.00396449221456808	0	2.00525738700628e-19	3.73469039602527e-19	3.58779734699445e-18	0	2.31437508891159e-20	0	0.00497584867806729	0.0102432974613737	0	0.000591071006703018	1.39990893448201e-18	4.8765806806002e-19	0.00537353814126634	0.00165645084076976	0	0.0049815964008114	0	0	0	0	1.22947815248276e-17	0	0.00148237885289478	2.33519051630746e-19	0.00849290380912705	0.0142227785793159	3.15164469251567e-18	0.00600137111275925	3.81161941627134e-19	2.74083925518988e-20	0.00802423101323235	0	0	0	0	0.0135393405536923	1.61107027522129e-18	6.6618104173378e-19	2.41555883036289e-18	0	0	0.00732522776036488	0	0	0	3.28040647697862e-18	0	7.07212169964496e-19	0	5.83281155144786e-19	2.19644327351967e-18	0.0136323767621539	0.00373864129152978	0	0	0.000533819727728894	8.85243875073648e-20	1.23548019728335e-18	0	8.037919639543e-18	2.53436427923379e-18	0.0175187017639145	0.00267202253341918	0.006053121162186	0	1.78146517420848e-18	0.000626241002364977	0	0	0.0160627451916957	0	1.66591387398274e-19	0.0110248718800045	0	0.00157269695811187	0.00385304795799066	0.0140067835378915	1.58452438799705e-18	5.75666841353238e-20	1.08367068742579e-17	3.00743590297795e-20	8.21243856760867e-21	1.54194941130693e-18	2.98828987472027e-18	0.00799080690429257	0	0	0	0.00925740499896605	0.0041251636306129	0	0.0102462349396335	0
CD4_T_cells	0.0511190478560135	1.20543652322244e-19	0	0	1.91376182436402e-18	5.5670071669128e-20	6.86538106883641e-19	0	0	9.54953058343873e-18	0	0	1.7117827548376e-18	0.0252561713457676	1.87334666372827e-18	9.68577114684141e-18	5.02097906898056e-19	8.5003485398681e-20	4.17287801367191e-18	5.28993338577548e-18	0	9.8541210865832e-18	2.21892171750404e-18	0	0	0	5.05132458151408e-18	1.27220741293724e-18	3.44362560369026e-18	0	5.39454957101828e-18	0	0.0149256038409868	2.54233658639433e-18	1.82481131808774e-19	0	0	0	1.10009528594699e-17	7.37734984558023e-18	1.42499141064707e-18	0	5.19832023659636e-18	0.00772039955642469	5.03819943225338e-19	5.44529961695142e-19	9.86860418632091e-20	8.21674151788616e-18	5.7852013648328e-19	0	0	9.50374284287507e-19	0	2.86382760133114e-18	0.00592107611009769	0	2.58800887151435e-18	0	0	5.36606317314715e-18	2.58917522719489e-19	0	1.78967461445035e-17	0	3.14619730891492e-18	0	0	6.54080095017107e-18	3.29573302807999e-18	1.48444075879289e-18	4.27896383979053e-19	3.64112125048907e-19	7.09202082199842e-18	0	0.00561479120319884	3.20000091233931e-19	4.83915963529535e-19	1.57423251689118e-17	2.81469370176671e-18	0	0.0492218053602394	0	2.32005634753373e-20	0	0	0	7.96087876980494e-18	1.4740858774647e-17	0	4.18326787049233e-18	7.78152686338642e-18	6.13628953101799e-06	0	0	0	0.0397129923011088	0	3.21173027250085e-18	7.47376670973134e-18	6.4687332215546e-18	5.20037512533767e-18	8.80765733969134e-18	0	0.00196372912207264	0	0	0	0	0	1.07665820610165e-18	6.07313692098218e-19	0.00381818084840365
CD4_Tcm	0.0636398350426524	0	0	0	3.05176509742082e-18	0	2.84710612788352e-18	0	0	9.36490462066687e-18	0	3.36513520190898e-18	2.3510301274115e-18	0.017898297671045	0	0	0.00319310063603719	1.9436855857576e-19	0	8.04729024398949e-20	3.75512360187368e-18	0	2.97844249413784e-18	7.53907383915615e-18	1.06478721149803e-17	0.000157591183870492	1.90437707204185e-18	0	0	5.29139304844233e-19	1.91784782750344e-18	0.01876034022763	0.0214739100356992	0	0.0128995992225518	3.09915995386543e-18	0	4.34552238914506e-18	1.2881841037925e-18	2.49898303274082e-18	0	2.37649431771849e-19	0	0.0200460299717903	0.0325429082253398	0	0	1.8504885938608e-19	0.00629912644570143	0.00287045407799672	0	0	1.76868884580822e-17	6.02717027354047e-18	1.18881144659654e-19	5.19981696267022e-18	0	4.47320048209427e-18	0	3.35921538132098e-18	0	0	2.04520634823101e-17	0	9.83378370035211e-18	0.00872740002603883	4.61201366421433e-18	1.2009432880858e-17	2.4818143751859e-17	0.0221677202857148	0	8.96344559211964e-05	6.28601249603187e-19	0	0	0	0	3.7574565001406e-18	1.32769525459505e-17	0	0.0513630435416692	1.04694760801903e-18	1.9234109607411e-18	9.07341247106092e-18	3.0615387579362e-18	8.23235052261113e-19	0	0	0.00370894106571092	3.93164969649539e-19	0	0	0	7.17697535359418e-19	0.00116087714560899	0.0392406447982254	0.0233875507251576	3.30740870522047e-18	0	0.00277641283734403	0	4.48861936896722e-18	0	0.0263602372870367	7.20069251718897e-19	0	0.0109116046953207	0	2.2668596359494e-19	3.1982095984606e-19	9.27372990943137e-19	1.15982681568557e-20
CD4_Tem	0.0431991261027172	2.0100498564897e-18	4.3239799536242e-18	7.34141047630959e-18	0	0	4.56951836187209e-18	4.43555087668093e-18	8.92773408170575e-18	0	5.23368817816619e-18	0	0	0.000832707138716648	0	2.52421026109659e-18	9.00534341154731e-19	4.064748474001e-18	1.07194341655123e-17	5.2333455732708e-18	1.65241227027796e-19	0	1.04002755386811e-17	0	7.82353289362737e-18	1.6938638125358e-18	1.38658027954843e-18	1.62645279056358e-18	0	5.85803499039722e-19	3.50080038493271e-18	0.00372061242709663	3.26264313694239e-20	6.31108670148897e-18	0.0143412870671228	2.41626723660411e-17	0	9.02452430338704e-18	0	9.08172051646692e-18	0	1.19952357606072e-17	0	1.97430163527941e-18	0	0	0	0	4.42295828418698e-18	1.03752506187691e-17	0	4.04866345885031e-18	0	1.71593612040271e-18	3.63861856763125e-18	1.42013390101493e-18	0	0	1.1252892678384e-18	1.12660126168326e-19	0	0	0	1.40156882846364e-17	0	0.00242899433059692	8.98957523293199e-18	0	9.95845531056524e-19	0.00777800590397665	0	0	1.06809930978734e-18	1.71199007499946e-17	0.0161552065722994	1.34456024339303e-18	0	6.04482325603123e-18	1.41675985874916e-17	3.03334278251872e-17	0.0233009821201856	0	0	1.42218821024776e-17	0	1.73408758172072e-18	0	1.52957962975555e-17	7.99128872096411e-19	0	3.79333148467611e-18	7.82274377182449e-18	9.34141533554471e-19	1.92619129045865e-18	0	0.0518012842073422	0.00245750067864542	0	2.93693686173688e-18	0	0	3.61038852920983e-18	0	0	2.36301392322646e-17	0	5.46744773543756e-18	1.99531238230999e-17	1.98925884541836e-18	0	0	0
