Mixture	KIRC01	KIRC02	KIRC03	KIRC04	KIRC05	KIRC06	KIRC07	KIRC08	KIRC09	KIRC10	KIRC11	KIRC12	KIRC13	KIRC14	KIRC15
aDC	1.87591747243609e-18	2.3085958109398e-18	0.0505320656397535	0.0442316080735477	9.9699924408725e-18	0.121878257192043	0.0154290710380952	0.000804061987281875	3.64112225323742e-18	0.00449172139689087	0.00765638603060673	0.0359095944839699	0.014884171316129	0.0119678708913501	6.94788074036762e-18
Adipocytes	1.4922401178452e-19	3.90960412953413e-19	2.05287384552682e-19	7.83826897821703e-20	0	4.47320238740346e-19	2.62994847150195e-19	7.36672514980316e-19	4.21788668522035e-19	0	0	0	6.4317117388708e-19	7.27266803921185e-19	1.92586917446387e-18
Astrocytes	0	0	1.82197396804628e-17	0	5.98077792400613e-18	0	0	0	1.3547433833067e-18	1.29755482085492e-17	0	0	0	0	8.37835380601859e-18
B_cells	0.0248346004849482	0.0641475075655545	0.0309116742861624	0.0112151918954288	0.0144501523331363	0.0311137466656883	0.0639554450147066	0.0526558207694662	0.0021312309016377	0	0.117536958138393	0.0299180893594832	0.113486070296955	0.0290550602549023	0.0119831195925178
Basophils	0.0372315302192449	0.107233781949942	0	0.140176953037007	0.176333191194961	0.112124531043838	0	0.0876733935965678	0.0915106609953539	0	0.0261033929426194	0.086781955505442	0.0538809555293572	0.152190310698765	0.159170176770856
CD4_memory_T_cells	0	0.00238464452774254	5.33896406616838e-21	3.1854437529101e-19	4.00787347027788e-18	7.6352005748857e-19	1.3651194416005e-18	0	1.10940595893979e-18	0	0	0.0039060275458991	1.9178102322912e-20	1.55181336077952e-19	0
CD4_naive_T_cells	6.22761047177141e-18	6.52771358169974e-18	1.40254767218426e-18	9.04883303820256e-19	0	2.43418951391296e-18	0	2.29990393242727e-18	0	0	6.90976218658403e-18	3.38980571920747e-18	8.34076473896056e-18	0	1.60659243519599e-17
CD4_T_cells	0	0	0	0	7.07135277684808e-18	4.29790035869524e-18	0	4.98866589336539e-18	5.4914340278729e-19	0	0	0	7.7729077688544e-19	0	0
CD4_Tcm	0.00193196558813991	0.0472209127971287	0	2.1510363948451e-18	0.0369553212760634	6.56157957315303e-18	0.0159013522801426	0.0233248990262874	0.057261424509321	7.52088213545106e-18	1.8329745005807e-18	0.0113563473830444	1.8672681853227e-20	0.000486707752582098	0.019718849160189
CD4_Tem	0	0.0437510375948577	0.0184062098556322	4.39440409208382e-18	0.0235983671224955	0.00578884520805924	0	0.0142424964385186	0.0298043386565837	6.46947505617657e-19	4.23029626092634e-18	0.0209903670910204	0.0119298139311354	7.60919431772192e-18	3.47868331175598e-19
