Mixture	MEL01	MEL02	MEL03	MEL04	MEL05	MEL06	MEL07	MEL08	MEL09	MEL10	MEL11	MEL12	MEL13	MEL14	MEL15	MEL16	MEL17	MEL18	MEL19	MEL20	MEL21
aDC	0.0812989023127909	0.0732115272327753	0.0622321068049169	0	0.0134507089082015	0.0130782350761005	0.0402702884631379	0.0505638282116897	0.0677332382947341	0.0421950128365303	0.0514398412733896	0.0505810592033978	0.0209920256900396	0	0.0164938454593895	0.0395166570328786	0.00469606745592804	0.048872291453877	0.00997405681766309	0.000828465459449165	0.0550406595008949
Adipocytes	0	0.00911687838541273	0.00669751150534839	2.57981691193394e-20	0.00375445525399323	0	0	0.0122177198566005	0.00995180244640414	0.0122534141073431	0	0.00650680452667542	0.000293655525019454	2.4536305224511e-19	0	0	0.00760994272537149	0.00743355472841707	1.1869542404983e-18	2.18516173880864e-19	0
Astrocytes	0	0	1.47402468927226e-18	0	2.76551940478407e-17	5.38207945945604e-19	7.33430355404921e-18	3.75455436741118e-18	0	4.79703573408547e-18	6.50462946776306e-18	0	4.60360909651243e-18	3.0295008751655e-17	3.79891897390881e-18	0.0111013041438516	3.77056628238561e-19	0	0	6.96283909407735e-19	0
B_cells	1.54916971732044e-19	0	0.00900844624493876	0.010591954576229	0.0557004449059569	8.24894029398829e-20	1.39371878155371e-19	8.77633614516683e-19	8.91884203032845e-21	0	3.28414136462524e-19	0	7.43982413284515e-19	0.0316364313639912	0	0	0	0	0	3.92919102914933e-18	0
Basophils	0.168330179754643	0.180354976013346	0.179434642167528	0.0935943716987704	0.191105221330817	0.20358113422056	0.10692039975505	0.204317800254801	0.123023545760842	0.137236825076586	0.210229062686489	0.119768940309689	0.170783464144443	0.0898946903322391	0	0.189092535040318	0.212366399259877	0.149441193565075	0.271032114287716	0.0646015715283064	0.130599450365719
CD4_memory_T_cells	0	0	0	0.0469141550352267	0.0257053785397239	0	0	0	0	6.26102593968178e-19	0.0239386067009614	3.78868649562532e-22	0.0499729152327299	0.0863294868771149	0.0666791142405709	0	3.36594917204461e-21	0	0.0356086869208729	0.00374176305325021	0.0299114352739475
CD4_naive_T_cells	0	0	7.98351242352924e-18	0	1.63217107083111e-18	5.15967362990458e-18	0	0	1.11349633639367e-19	2.95074653299077e-19	1.88716425828486e-18	0	2.71663263060411e-18	0.0196593273927819	0	0	0	0	0	1.28026160478767e-19	7.58768388149851e-19
CD4_T_cells	0	0	8.64170388853823e-18	1.78311801541713e-18	2.51529414562443e-18	0	3.87537712839167e-18	1.98707310480248e-17	0	4.75641066577557e-18	2.62171568539223e-18	0	0	0.0185815916456691	0.00425303038898906	0	0	0	0	0	5.92733344041634e-18
CD4_Tcm	2.9471798578168e-19	0	0	0	9.88150020433723e-18	2.36777201446218e-18	0	0	0	9.47636326179207e-18	1.67235996253266e-17	0	8.90625460662405e-18	0	0	1.47830133480967e-18	0	0.0066041883331077	0	3.61359148466374e-18	0
CD4_Tem	9.76250175224219e-18	0	0	5.86163565439461e-19	5.11742670277697e-18	0	0	0	0	0	0	0	0	0.00608652120880018	7.11275515682763e-19	0	3.74439187487494e-18	0	0	1.35245049016611e-17	0
CD8_naive_T_cells	0.00588617566163596	0	6.51143977086214e-18	6.92786887073113e-19	0.00398842605747071	0	0	0	0	0.00188877379487258	0	1.72877587744399e-18	0	0	0.0146565817586887	0	4.88362604950604e-19	2.64495764743519e-19	2.03641169197967e-18	0.00492454393316215	0
