Mixture	ML01	ML02	ML03	ML04	ML05	ML06	ML07	ML08	ML09	ML10	ML11	ML12	ML13	ML14	ML15	ML16	ML17	ML18	ML19	ML20	ML21	ML22	ML23	ML24	ML25	ML26	ML27	ML28
aDC	0.051658935649149	0	0.00708561224755326	0.0217188198939014	5.50522890375956e-19	0.0200953333688836	0.00557767814500336	0	0	0.063764834070916	0.0280405422065695	0.0230686234578936	0.0366070027532005	0.0415301630287402	0.00954370046981641	0.00728328363362609	2.29440652994185e-18	0.0260078496259359	0.0581713802914792	7.71759609081318e-19	0.0841189344936444	0.0819110568079862	0.0492558679724515	0.0528633122308634	0	0	0.0497285129976386	0.0159927653337837
Adipocytes	0	0	0	6.44604465544682e-20	8.6099331891619e-19	5.26549890924375e-20	2.71920796867385e-19	0.000377436301734542	4.98882210960395e-19	6.93138092526291e-19	0	1.94981990997094e-19	2.84846248702267e-19	0	2.77123743718921e-19	8.63037747761133e-19	0	0	0	0	0	0	7.01341363525286e-19	0	1.43182404234527e-19	0	8.00511985618075e-19	0
Astrocytes	4.15483876164975e-18	0	3.13612527767175e-19	0	0	0	1.24378090466964e-17	0	0	0	0	6.27037538540588e-18	1.31188146236529e-18	0	0	0	0	4.01054221191969e-18	0	7.28122977351183e-18	0	7.38094154910678e-19	1.34406683901499e-17	1.11378191172479e-17	0	0	2.62590340661128e-19	0
B_cells	0.0539905956492912	0.0670803823537967	1.84840032885504e-19	0.142047314028844	2.36765039869848e-19	0	0.209225491594276	0.0495744199011206	0.111860762454027	6.48827564309573e-18	0.165288290877108	0.242371693162542	0.08710460680139	0.0702607289950392	0.273327182829819	0	0.0504548126972428	0.166541846045935	0.0804971596107388	0.125346866967147	2.23773491509866e-19	0.0369324816175499	0	1.30555253942665e-18	0.108300486596459	0.0371897572244991	0.0574196226904891	0.103110733047149
Basophils	0.237052174512543	1.17330029996877e-18	0.0833656342239862	0.0303941183859121	0.0279276123482912	0.000374126578944463	0	4.42848616425088e-18	0	0	0.0104741090714208	0	0.0330043660736686	0	0	0	2.5875407916152e-18	0.0298513941325574	0.0547055821073782	0.00972928357709815	0.00832243925000521	2.09156125092364e-17	0.0179390871903459	0.0872512394538944	0.074912040056439	6.47488264490809e-18	1.2125877258424e-17	0
CD4_memory_T_cells	0.00109934419630486	0.0163997138912752	2.71311044492833e-20	0.00881721535235363	0	4.73105893803462e-19	0	0	0.00368349287937605	0	0	0	6.62877240067285e-21	0	0	0	0.00548793921511613	0.00421418286306671	0.0250109213797251	0.014100879677887	0.00233131865463109	0.000786253954082241	0.00418310991112445	0	5.31005138174549e-19	0.0259826818101795	0	0
CD4_naive_T_cells	0	0	0	0.0214621920676714	0	0.0190238430939163	0	0	0.0123746452898155	1.82821913250914e-18	0	6.99688158547684e-19	1.73383927125821e-19	1.11148470815322e-18	0.0168521754238366	1.74449065803944e-18	1.3772793253943e-18	1.648546701366e-20	0.00155748349036924	0	0	9.40325819225112e-19	7.08189657611112e-20	1.52137277006471e-18	0.0155760408420246	0.0226673394440149	8.94991127729637e-20	9.83144579454845e-19
CD4_T_cells	4.73209290081309e-19	0.0245668658863013	0	0.00577522717380562	0.00932332354372842	0.000409320482500361	0	1.48199298042898e-19	0.00794252968515862	0	4.30666545438797e-18	0	5.08585726272971e-19	0	0	0	0	0	0.0204928517942989	5.98031229230133e-19	0.00580872387346891	0	9.00861843080411e-19	1.78409031865769e-18	0	0.00356574523778298	1.92873138726623e-17	0
CD4_Tcm	0	0.10551372734214	0.0220609062514274	0.0195960022932596	0.0290928926087269	4.53108521579152e-18	4.53632278519157e-18	0	3.51283268470288e-18	6.17761265549365e-18	2.15559724393102e-18	4.99474090686277e-18	6.32554896393211e-19	2.52318181190613e-17	2.24201849532454e-18	0	0	1.36363414519014e-20	0.0098812119437459	0.0169150864925143	0.0191997309484584	0.00672382954373539	5.71606513767343e-18	0	0.00431318738367612	0.00922007236053506	0	0
CD4_Tem	1.22811478005308e-17	0.0041195975999935	0	2.47043325100395e-19	0.0246859423495031	8.40076299646772e-19	1.23401411171772e-17	5.19147353914002e-18	3.16992349661588e-18	8.5115028430328e-18	8.77214570884412e-18	8.00469195364006e-18	0	0	4.73350101332702e-18	0	0.0969510942223467	5.59098394709197e-19	0.0667510248248473	0.00776109562793388	1.09491372528331e-18	0	3.71007718716753e-18	1.67972413405064e-18	8.54948344754275e-19	0.0601330504721044	1.62127564417547e-17	2.46458779755985e-18
CD8_naive_T_cells	2.75824142298979e-20	0.000962695046336709	0.00848296706068392	0	0.0146844647600938	0	0	0.00348302400182798	0.002833816331865	0	0	3.81774197720763e-18	0.0105870480125377	1.45229841264299e-19	1.54099532000118e-22	9.54955287527716e-19	0.000731923623712074	1.32221571111248e-18	0.0123793712403846	0.00314192995549121	0.00971994290586104	0	0.00595433771923106	1.5433680028658e-18	0	0	0	0
CD8_T_cells	0.00515057887947365	0.00409990478665932	5.00179717520975e-18	0.0023628280546134	0.0383725930574322	0.0304624789856164	1.20621855601721e-17	1.06529091795427e-17	0.0219829472472814	2.69936147697668e-19	0	0	4.54689099205094e-19	2.97130620964926e-18	0	0	0.0296109490183325	0	0.00549064518813726	5.15410533483198e-19	0.0134593008853366	3.75546888410883e-18	4.18040967550416e-20	5.71347265047877e-18	0.00239107359692514	2.40407155975978e-18	0	0
CD8_Tcm	0.0332747724295532	0.00416518331088991	0	0	3.02422601320147e-18	0.0578810322782226	1.89976691364741e-19	2.09735403747554e-19	1.0330675085603e-19	0	9.70797115312343e-18	9.22380713415534e-18	3.22043369708481e-18	0	1.60358010880932e-21	6.75002759742436e-19	0.0395540811869172	0	0.00270165218079562	3.78368439930916e-19	4.14765908487811e-18	2.28602244111927e-18	0.00717024065660045	0	8.20893654481455e-19	0	5.94405474255766e-18	0
CD8_Tem	9.11533973472636e-18	1.48628080388127e-18	0	2.47815191373188e-18	0.0112420876328098	0.0115255289558929	9.54614523674422e-19	0.0263929979914409	0.0248654044348087	7.33596969128767e-19	1.40015983783958e-18	3.48981634539787e-19	0	0	0	6.51967502607661e-18	0.0379773845049731	2.206141256073e-17	2.81706078148323e-18	0	0.00207403903479889	5.22286736815068e-18	0.0117037413648433	0	0	0	3.99987081897337e-18	0
cDC	0.0872698119230043	0.0357006272847125	0.0930182991886251	0.0402259800626125	0.0862781502403237	0.0550011404923755	0.0405101800023189	0.0630661560387088	0.073751896245365	1.6828953256059e-19	0.00760783494862782	0.00289592873052434	0.0110147474395312	0.0149747051130818	0.00175831933683167	0.0206087900424394	0.00315138297622912	0.00240702199374496	0.00333107211711136	0.0163729845437114	0.000863525081535996	0.0142260703526946	0	0.0476022591982544	0.0378537918863404	0	0	0.0181716636985768
Chondrocytes	1.07943871573801e-18	5.21023316121199e-19	1.0264986734858e-18	0.000253064807431447	0	0	4.27309621367412e-18	0	0	8.92684979976839e-21	0	0	5.53445043612711e-19	0	0	2.9310102432523e-18	0.0137534431006366	0	0.0277992906255948	0	0	0.00169808395839191	0	8.49344726557955e-18	0.00905587960538239	1.55158210476406e-19	0	0
Class_switched_memory_B_cells	0.00311269852221665	0.0154411696531837	0.0180989572320567	0.0935347251331903	2.76676865841585e-19	7.30509104176425e-19	0.108591717921823	0.0587481706309827	0.0832158961419337	4.49724173573551e-19	0.0566932611200062	0.12003465056843	0.0644984273696376	0.0448423448114911	0.0856222983271229	1.00363556319989e-17	0.0513121792204445	0.0813511225100549	0.0520637677765324	0.0542214933908892	0.00779476222846601	0.0421342315761868	0	5.7772912326796e-18	0.0369841849893422	0.029532331865114	0.065986094692309	0.0787622387123198
CLP	0	0.0162880728568301	6.33758684517502e-21	0	0.00499659486891166	5.73643815978014e-19	0.00925909699664717	0.00167956013381444	0	5.17772518823154e-18	0	0.000657202721855265	0.00893280795995571	0.0124990264859128	0.00398259528325492	0.0109326110747219	0.00462620041035488	1.85571854540275e-19	0.00676844452330883	0	0.00359029182200247	0.00344640829707288	0	0.00348596472443411	7.98744526949197e-05	0.00547507347878683	0	2.24162185765722e-20
CMP	0.00691084467392082	2.32246542803305e-21	0.0208429882878325	1.21063915844459e-22	0	0	0	2.64599057026645e-18	0.0115123058674731	0.0724909520723929	1.78684292736723e-18	0	0	0	0	0.00245741177691506	0.00842152888721396	0	0	2.39328169863305e-18	9.75866962594224e-19	0.012993751586471	0.0465717374219341	0.0633438091068902	0.00555458817464645	1.06996289753915e-19	0.0379765063711603	4.36679085970521e-19
DC	0.00234108643720831	0.00153365220574244	0.0217173367827971	0.000100912231965378	1.86224555820258e-19	1.11525272487039e-19	0	7.60757386142412e-19	0.00346813822743547	4.46842352312469e-19	0	3.76476689053279e-19	0	4.7727024546675e-20	0	0	1.64592621389702e-20	0	0.000296822535212009	0	0.00707516318800311	0	6.61895738159801e-19	3.86407538262218e-21	0.000314994355883697	6.81498947027185e-20	9.95460829848939e-19	0
Endothelial_cells	7.47393587637912e-19	0.0239883750248378	0.0083173691042937	0.0265026500150052	0.0449363307943208	0.0654791361191375	7.14585504215969e-20	0.0231020462426377	2.51761421116114e-19	0.0600623042514455	0	0.00238303306613123	0.00130929259975574	0.00791801853204117	3.65810449687427e-19	0.00600052578063052	0.0600930067982084	0.0154476188104803	0.00543652254727235	0.00767388413324922	0.0477681096367067	0.0328568333763027	0	0.00378885201003151	0.021622519703323	0.0261741527728955	0.00127276278861346	0.0193829177793525
Eosinophils	0	1.13049429845854e-19	0.0025777354438016	0.000670028584825189	0	0.0176440474401915	1.98837356655798e-18	0	0	0.00227437705833503	4.1201386532631e-19	0	0	0.0219927086131701	9.64358133899329e-20	3.15914667203609e-18	0.0131747086190676	1.1087504494838e-18	1.46568697811676e-19	2.21053777594075e-18	3.53320233466737e-19	0	3.0282169044749e-19	0.0158080710027075	0.00764908893078291	1.57076535024091e-18	0.00332038840037587	0.000191614563853128
Epithelial_cells	0.0112612565219608	0.000884345498756104	0	8.19897412623615e-05	0.00887111546899907	0.00135209853846262	0.00224255908196926	0.00238608797962055	0	0.0233425458100865	0.00284358766969501	0.00355110182601781	0.0187067662007022	0.0157913274968234	0.000324418178237288	0.000563539144944149	0.00396727437116473	0.00100337905050371	0	0.000180397142991194	0	0.0169552154617687	0.00147090366215062	0.00214148774828602	1.41785073798904e-18	0.00359792952864529	0.0064173480454979	0.0036290975079501
Erythrocytes	0.0120922684254031	0.0162432811320729	0.00667402941142665	0.00169765673162985	0.0132517287854715	0.000798034051857372	0	0.0547087536385619	0.0199760678893099	0.0440522720922363	0.00461696394419534	0.00340238518963371	0	0.0164464217262697	0.00554670552302988	0	0.0126125297760839	8.42801670556829e-20	0.0173745566374083	0.0134369903703259	0.0262641591982936	0.0353992897776457	0.0551929579840818	0.0142755923746876	0.0089688798500234	0.00854465747691434	0.0273628815069997	0.000396163054131239
