Mixture	OV01	OV02	OV03	OV04	OV05	OV06	OV07	OV08	OV09	OV10	OV11	OV12	OV13	OV14	OV15	OV16	OV17	OV18	OV19	OV20	OV21	OV22	OV23	OV24	OV25	OV26	OV27	OV28	OV29	OV30
aDC	0.0719249545621926	0.0353500051816192	0.0199744997955795	0	0.00242078004444806	0.0253526700019757	0.0546354682466375	0	0.0247453740665955	0.0628483361720205	0.0423446446893905	3.50121244305036e-19	0.0169179494397604	2.31969310273599e-18	0.00810314227746008	5.53717825235298e-19	0.0336300606996599	0.0489522072813355	0.00314642985017682	0.0164245315274763	0.0752623963009019	0	0.121554856949153	0.0548368806579341	0.0984941869603727	0.0114690228912389	0.0298044065596601	0.00426414268510645	0	0.00200022647939148
Adipocytes	1.07340825069419e-20	0	3.6925795978311e-19	1.17884684369894e-19	0.00130125591420969	4.66980938949049e-20	0.000188917010629983	0	0	8.33294977084109e-22	2.69100441805074e-19	0	1.40842197548789e-20	0	2.36500063955399e-18	0	1.17125367606422e-19	0	4.51862861367572e-19	2.16218704459916e-19	0	0	0	0	0	0	4.51886643867552e-20	0.00140933716190285	1.54991368925483e-19	0.00335476333244014
Astrocytes	2.72550084548947e-18	0	0	0	6.54299486112633e-18	8.90699542587688e-18	0	0	0	0	2.8233763001678e-18	0	0	0	6.14646841007764e-18	1.17976732016071e-18	0	6.7063114274355e-18	1.25664293138919e-18	0	5.15956837266913e-18	8.17740525268342e-18	0	3.17718937981589e-18	0	0	1.36351511622228e-17	4.80816245567344e-18	2.0037156986417e-18	0
B_cells	0.0276472316677195	0.117905075227105	1.64959324161162e-18	0.150627834352451	0.086920362560187	0.0679206829771056	0.0213281639485147	0.119144917950209	0	0.0981672104890959	0.134861191263464	0.0204461172812999	0.15176153496959	0.107138178548378	9.77278046477861e-05	0.102657152932861	0.131860727998817	0.026835801815332	0.0351865905332951	0.0886841753250906	0	0.157654188263808	0.0991998627817618	0	0.0536975801117636	0.0843533355577674	0.00416916572788378	0.082211085486078	0.0369112856408336	0.0457060929793717
Basophils	0.205102657891884	0.166625833626043	0.0269059038648313	0.100052180497612	0.115766567444238	0.0238593855588366	0.156158641981648	0.203659827088161	0.168407338453045	0.0847011947753858	0.0204242005199103	0.252212023662998	0.166900808827923	0.135291336223026	2.97638873973009e-17	0.120821018404139	0.149550918874244	0.13813604762955	0.0966210118906949	0.166595539717637	0.0661119483117657	0.165207380546429	0.184158737790586	0.0358570172353063	0.147333706559263	0.124623028173399	0.00488458641422258	0.11843756727166	0.0527712280266169	0.23352669808156
CD4_memory_T_cells	0	2.66458237040164e-19	0	4.01779164590474e-20	0	0.00839203179574745	2.69521301525844e-19	0	8.52614259819278e-19	0	7.31952598598673e-19	3.30048159429983e-19	1.17742372679153e-19	1.8334296811881e-19	0	1.05748805258777e-19	6.19950951956036e-20	0	0	5.33956470951929e-19	1.91832287735451e-19	0	2.89273521631644e-20	1.60156441231827e-18	5.75042625275069e-19	0	1.00593153945031e-18	0	1.396119796157e-18	0
CD4_naive_T_cells	0	2.91687710953265e-19	0	0	3.6085887586652e-19	0	1.77493495242669e-17	0	0	0	5.57566496876373e-18	8.10232125148386e-18	5.33648504750471e-19	0	0	2.54083678887255e-18	0	0	0	1.86666047505688e-18	7.81195715594348e-18	0	0	0	6.90157020715177e-19	2.75806953130207e-18	0	3.14827654460668e-18	0	0
CD4_T_cells	9.83479405015649e-18	0	0	2.09131693815739e-18	0	7.29270178783952e-19	1.38745816235869e-17	0	6.96980779396134e-18	2.67129092349666e-18	5.91584065444784e-18	1.9937021878731e-18	6.09938090182425e-18	0	0	4.09308370533492e-19	5.67189628294928e-18	0	0	2.1307455821263e-18	0	0	0	3.20781204139874e-18	1.47558511289014e-17	1.50053507315004e-18	2.0827986434016e-18	0	4.72187895803283e-18	0
CD4_Tcm	0	0	7.10500819100342e-20	0.00918426887541203	0.000565292634386186	0.0152169619714034	1.3967313795917e-18	6.80946826862251e-18	4.34333675615746e-18	0	3.71830501740967e-20	0.00676386969931982	0	8.25722635850849e-18	0	0.0119938140004025	2.72011096198974e-18	3.77279717262521e-19	0.0433031190872947	3.46995952869303e-18	4.44869955896642e-18	0.0245385554351729	0	0	2.26203167204997e-18	0.0208037915607405	1.54696696159289e-19	0.0105019670725951	0	0
CD4_Tem	0	0	0.00268064267828189	0	7.89177207022773e-18	0.0211260622434196	2.2205409637526e-18	1.30733098672063e-18	2.68020920355579e-18	0	0	0.0222126549075753	1.68086440000442e-17	0	1.2154872548475e-17	2.14606885300855e-18	8.71188712498628e-18	1.35523424384463e-17	2.84111925680749e-18	0	6.06766528630685e-18	0	0	6.00536328487443e-18	1.26899831783514e-17	0	1.61104883848789e-17	0.00410510011372303	0	0
