Mixture	SCLC01	SCLC02	SCLC03	SCLC04	SCLC05	SCLC06	SCLC07	SCLC08	SCLC09	SCLC10	SCLC11	SCLC12	SCLC13	SCLC14	SCLC15	SCLC16	SCLC17	SCLC18	SCLC19	SCLC20	SCLC21	SCLC22	SCLC23	SCLC24	SCLC25	SCLC26	SCLC27	SCLC28	SCLC29	SCLC30	SCLC31	SCLC32	SCLC33	SCLC34	SCLC35	SCLC36
aDC	0.135424338391411	0.0339776313159241	0.01120452717528	0.0288350240600537	0.0123790191655675	1.79516955711083e-18	0	0.0110495541192947	0	0.0691929303886057	0.0095397865878609	0.0224598966429773	0	0.0104185400139393	0.0247430945463626	5.72005354212957e-19	0.00040892896540762	0.0456754341929154	0.000622935993606408	1.35722273981879e-19	0.0304537405728744	0.0188999286264114	0	4.45148247205046e-19	0.0064870048905972	0.0123874339931112	0	1.18938889555933e-18	1.35439387598571e-18	1.97097114761097e-18	0.00433617668163193	0	0	0.00505569702421547	0	0
Adipocytes	0	0	7.06652322578058e-19	1.54920981301943e-19	1.11781022923956e-18	6.21322824951274e-20	1.3912699615707e-18	0	2.67614889121552e-20	0	0	0	0	1.65392472650004e-19	3.18242280019485e-19	0	4.24138407401071e-19	0	0	4.51284465318215e-21	4.57746452834209e-21	0	0	0	0	3.44314916098179e-18	7.76981141298237e-19	0	0	0	0	0	0	0	1.24253546830128e-19	1.93969902548256e-19
Astrocytes	0	6.21295390635945e-18	0	4.96105338952444e-18	2.05643017494054e-19	0.0123867583848152	0	5.85657753072619e-18	3.37520543618289e-18	1.73912684308674e-18	1.65296908460097e-17	1.61849038583466e-19	2.83845938970937e-18	2.38240033122797e-18	9.30195921860644e-18	0	0	2.07688399688232e-18	0	0	0	1.84526016723315e-18	0	0	1.32056469025866e-18	0	4.64574644192993e-19	0	2.16066185216581e-18	0	6.21281865501519e-19	5.55462710319477e-19	3.25452243811085e-18	1.05206185152239e-17	5.45434711013435e-18	1.48748782420771e-18
B_cells	0.0259018378677803	0.05677899979253	0.101193750172045	0.0249467834357785	0.0588835221224565	0.0236733892589229	0	0.0891836692269891	0.0461634898162219	0.0206975816103476	0	0.0512719560164162	0.0989127461788341	0.0421278019082551	0.0600891870225296	0.0985739777126487	0	0.0261247085168625	0.0506681616332856	0.0591523654272423	0.0246825696774017	0.0420640269050343	0.0304686303286573	0.00341465009860752	0.083213645309614	0.027987695875605	0.119688669317734	0.0160763806968573	0.0423528015993804	0.0233310868664937	0.0864462695235578	0.110517244251789	0.0190546691153705	0.0458231119712472	0.0177534839058015	0.139554964124024
Basophils	0.157400531508345	1.01086375909081e-18	0.10938284206978	0.0131965055546374	0	0	0	0.00443125679268826	0.0858925022853558	0.0183924558756383	0.0940028173949491	0.0398979161628285	1.31528941344974e-18	0.0465502945462942	0.0339690738496349	0.0109921363840202	0.000781693607716953	0.0207171205839241	0.0512532696729816	0.012754577168733	0.043330822800012	0.0044063378320719	0.0234720225140915	1.75595349657902e-18	1.19841742210887e-17	0.0901802165101667	0.160959016994492	0.0340645241676105	0.0369319109097777	0.0837051908603355	5.37381996224354e-18	0.0254719048856873	0.0660938537982811	1.90193324732374e-17	0.0525202222294688	6.84759085415252e-18
CD4_memory_T_cells	1.11661145830996e-18	3.18700659100373e-19	0	0	0	0	0.00147776304183222	9.44484067213298e-19	0	0.00944112802439512	0	0.000939337918844966	0	1.63919677817154e-18	4.22645096014948e-20	0.00110183200886658	1.99843418722585e-18	8.66454918107957e-20	0	2.32351380543114e-19	4.89035472005162e-19	0.00238878737082959	4.96319781825434e-19	0.0137201817330397	3.36164624764784e-19	0	2.40160093867937e-19	7.94036871878102e-19	0.00915183837043295	1.14878864273593e-19	1.09134012103069e-18	1.06301161551241e-20	0	0	2.07005958287561e-19	0.00260586021357934
CD4_naive_T_cells	0.0101615054327883	0.013685594720572	0.00473179925972498	0.0320628247119266	0.030563711082086	0.00830462427211325	3.39495794930113e-18	0.0216003438035225	0.0120924392456719	0.0119533190164502	4.11791166693113e-19	0.0315438190184509	2.88694446213386e-20	0.0218395335745172	0.00678468437935358	0.026965921438468	1.64642020212466e-20	0.00823254739729545	0.0432294155975662	0.0416414764496623	0	0.0118012892347135	0.0286008575530083	0.0193641676314483	0.0140581848384538	0.00973103488006591	0.00549563091438217	0.0388437686755849	0.0578824491332801	0.0118379663557811	0.000525775907906434	0.0222408234569884	0.013284430009047	0.00487356257957193	0.0134201974360789	0.0220595851363324
CD4_T_cells	0.00617297293521396	0.00876429785206054	7.62694217965829e-19	0.0105656961556422	0	3.76634234549417e-21	3.91466856870516e-18	0.0161399977524089	0	0.022904729515412	0	0.0103153529972033	0.0151474088953925	5.69997309086958e-19	0.00599898320153608	0.0212579997352047	0	0	0.0022120536504374	0.0182065170622963	7.18631939015855e-20	0.0100438250233272	0.00439975534852573	0.019213029442415	0.0052114455413533	0	0	0.0118864627420885	0.0513994970302195	0	3.50279759919412e-18	0.0102508856525371	2.47383475679429e-18	7.54686506333732e-19	0.00490730486773007	0.0236001375474167
CD4_Tcm	0.0775510789081427	0	0	8.86965884237785e-21	0.00506170352043732	4.45106453326898e-18	0	1.92485386223223e-18	0.034366060649655	0.0437470320278695	4.69641694675475e-18	1.51091117665412e-19	6.90641850513762e-20	0	0.00722558506610199	0.00352838246020993	0	0	0.00461210730859967	0.0388228543262452	0	0.0175542823653458	0.0226546644545222	0.000892930375534009	0	0	0	0	0.0301233046185481	1.25697326102495e-18	0.000194608186667683	0.0483953836619339	0.00544185038827927	0	0.0326862025832452	0.0120051857441132
CD4_Tem	0.0459453017738056	0.0285552891478156	0	0.030694831712773	0.0258565427619742	0	0.0154037761670216	0.0140090890897445	0	0.0643451716359931	5.04226397487614e-19	0	0.016723433630076	0.00501781782349202	0.00903145193634311	0	0.0373929702429131	6.90917625427454e-18	1.09506513740705e-19	0.0112954008849383	0.00833337641732008	0.0594269916226484	0	0.0175779444115089	0.0124730953628842	1.39646604869543e-18	5.19996937753222e-18	8.73610119045391e-19	0.0559686115683899	2.0408270513494e-18	0.0142479604245173	0.0547243319710511	0	0.00302701620931644	0.0101310853126255	0.00165203911185524
